source_file,source_batch,source_row,source_field_count,date_or_range,evidence_class,scope,item_or_person,source_or_repository,status,significance,next_action,source_id,source_type,date,title_or_description,author_or_signature,location_or_url,relevance_to_MS38_005,evidentiary_use,caution,author,local_file,relevance_to_004_005,date_or_stage,proposition,claim_strength,notes,locus,claim,evidence_status,use,title_or_item,locus_or_pages,url_or_archive,role_in_argument,source_overflow_1,source_overflow_2,title,exact_locus,relevance,relation_to_lovejoy,actor,url_or_location
research_notes/MS38_005_source_register_batch44_delta.csv,44,2,8,1896-1897,primary_reproduction,005,Marcel Mauss acknowledgement of Marillier bibliography and course notes,La religion et les origines du droit pénal d’après un livre récent; searchable reproduction of RHR 34-35 text,confirmed_text_exact_original_page_pending,Mauss explicitly says Marillier communicated his bibliography and notes from several courses for the third part of the study; direct evidence of teacher-held documentary apparatus entering published comparative-religion research,Align footnote to exact RHR 35 printed page and recover continuation after 'sur le',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch44_delta.csv,44,3,8,1896-1897,primary_reproduction,005,Mauss reclassification of Steinmetz endocannibalism,same Mauss essay; electronic pp30-31,confirmed_text_exact_original_page_pending,Endocannibalisme is narrowed to anthropophagie rituelle des parents; transfer of dead person's virtues and representative bodily fragments are explicitly classified as a simple act of communion,Fix exact RHR 35 printed page(s) before publication quotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch44_delta.csv,44,4,8,1896,bibliographic_primary_control,005,Léon Marillier review of Steinmetz Endokannibalismus,RHR 34 Google Books contents; BSB/DDB bsb11809713,pagination_confirmed_text_pending,"Contents fix review at p113 and unrelated notice at p116, securely delimiting Marillier review to pp113-115",Recover facsimile pp113-115 and classify Marillier's treatment of kin/body-part transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch44_delta.csv,44,5,8,c.1898-1905,archive_reclassification,005,Lovejoy anthropophagy transfer mechanism,MS38_004_001_061_005 PDF pp108 117 119,confirmed_archive,Lovejoy treats transfer of selected bodily qualities as sympathetic/transferable efficacy rather than sufficient evidence of communion; sacramental union comparatively exceptional,Use in four-column Steinmetz-Mauss-Marillier-Lovejoy matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch44_delta.csv,44,6,8,1896-1906,interpretive_model,005,Document circulation plus classificatory redivision,Marillier→Mauss notes; EPHE active-auditor evidence; 005 exact Steinmetz title; 1906 endpoint,strong_revised,"Paris transmission is best modeled as circulation of bibliographies source packets controversy dossiers and problems followed by active redivision, not doctrinal copying",Keep physical-sheet identity unclaimed until direct archive match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch45_delta.csv,45,2,8,1896-1897,near_primary_contemporary_review,005,W. I. Thomas on Steinmetz Endokannibalismus,American Journal of Sociology 2 (1897) 610-611; Wikisource/Brock reproduction,confirmed_text,Steinmetz is independently described as tabulating cases motives and source reliability while arguing hunger preceded superstition; plural apparatus feeds a single causal-priority story,Use as control until Steinmetz original pp52 and 59-60 recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch45_delta.csv,45,3,8,1899-1900,near_primary_secondary_control,005,A. H. Keane quotation of Steinmetz terminal claim,Man Past and Present; Project Gutenberg reproduction,confirmed_quote_context,Keane cites Steinmetz pp59-60 for the claim that endocannibalism was probably a constant custom of primitive humans/lower savages; independently fixes universalizing endpoint,Recover Steinmetz original final pages for publication-grade quotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch45_delta.csv,45,4,8,1900,contemporary_classificatory_control,005,J. Deniker transfer-of-quality versus endocannibalism distinction,The Races of Man p148 vicinity; Project Gutenberg,confirmed_text,"Deniker separately describes appropriation of virtues/qualities through eating heart eyes liver or drinking blood, then treats Steinmetz broad endocannibalism category; shows contemporaneous separation of mechanism from behavioral class",Use only as chronological control; no Lovejoy reading claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch45_delta.csv,45,5,8,c.1898-1905,archive_reclassification,005,Lovejoy anthropophagy motive-mechanism partition,MS38_004_001_061_005 PDF pp106-119,confirmed_archive,Lovejoy distributes anthropophagy among famine revenge kin relation quality acquisition sympathetic efficacy propitiation communion and treats transfer as separable from communion,Compare against Steinmetz original table once recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch45_delta.csv,45,6,8,1896-1905,interpretive_model,005,Plural evidence versus universal origin,Steinmetz contemporary controls + Mauss controversy + Lovejoy 005,strong_revised,The key contrast is not evolutionism versus anti-evolutionism but whether plural motive/source coding licenses collapse into one primitive-origin story; 005 repeatedly blocks that move through mechanism discrimination,Frame paper around legitimate comparative unit and evidentiary license for historical generalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch46_delta.csv,46,2,8,1896-1897,contemporary_primary_synopsis,005,W I Thomas review of Steinmetz Endokannibalismus,American Journal of Sociology 2 (1897) 610-611,confirmed_text,Confirms Steinmetz tabulated tribes motives and reliability of information while also advancing strong primitive-omnivory and hunger-priority claims,Use as contemporary control until Steinmetz original pp52 and 59-60 recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch46_delta.csv,46,3,8,1896,near_primary_direct_quote,005,Steinmetz concluding universal claim,A H Keane Man Past and Present quoting Endokannibalismus pp59-60,confirmed_quote_original_facsimile_pending,Preserves Steinmetz German wording that high probability supports endocannibalism as regular custom of primitive humanity and lowest-ranked peoples,Recover original pp59-60 facsimile and verify punctuation/context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch46_delta.csv,46,4,8,1896,bibliographic_primary_control,005,Steinmetz Endokannibalismus carrier,The Monist 6 (1896) notice; AJS review; MAGW XXVI,confirmed_bibliography,Contemporary notices fix Vienna 1896 Anthropologische Gesellschaft 60 pages and identify offprint/reprint from MAGW XXVI,Locate digitized original or 1928 collected reprint and map pagination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch46_delta.csv,46,5,8,c.1898-1905,archive_method,005,Lovejoy narrower evidentiary license,MS38_004_001_061_005 pp16-19 106-119,confirmed_archive,Recurrent forms and broad distributions are subjected to source criticism mechanism discrimination and historical-layer analysis before developmental inference,Use as methodological contrast without calling Lovejoy anti-evolutionist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch46_delta.csv,46,6,8,1896-1906,interpretive_model,005,Distribution-to-origin versus mechanism-first comparison,Steinmetz contemporary controls + Lovejoy 005 + 1906 endpoint,strong_revised,Key difference concerns evidentiary warrant: Steinmetz allows broad source-graded distribution to support primitive-state reconstruction; Lovejoy requires mechanism/history decomposition and permits convergent outward forms,Test directly against Steinmetz p52 sec26 and pp59-60 plus Marillier RHR34 pp113-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch46_delta.csv,46,7,8,1900,contemporary_control,005,Joseph Deniker separation of cannibalism category and quality-transfer mechanism,The Races of Man 1900,contextual_control,Shows around 1900 behavioural category and efficacy mechanism could be analytically separated; no Lovejoy-reading claim,Use only as field-level taxonomic control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch47_delta.csv,47,2,8,1896-1897,contemporary_primary_analysis,005,Steinmetz counterfact and deviation method,"Marcel Mauss, La religion et les origines du droit pénal; RHR 34-35 searchable reproduction",confirmed_contemporary_description_original_steinmetz_pages_pending,"Mauss reports that Steinmetz requires contrary facts to be presented and explained, treats variation statistically, and regards deviations as especially informative; footnote points to Endokannibalismus §§16-22 pp36-47 as an example of the method",Retrieve Steinmetz pp36-47 and collate German wording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch47_delta.csv,47,3,8,1896,primary_target,005,Steinmetz Endokannibalismus p45 col2,Mauss citation to offprint p45 col2,page_specific_content_secondary_control,Mauss cites this locus for rites that mutilate the corpse or eat selected parts in relation to magical vengeance or danger from the dead,Retrieve p45 with adjacent page and identify exact cases/mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch47_delta.csv,47,4,8,1896,primary_target,005,Steinmetz Endokannibalismus p52 §26,Mauss kin anthropophagy / bodily-fragment discussion,page_specific_content_secondary_control,"This locus sits directly inside Mauss's discussion of ritual anthropophagy of relatives, representative fragments and communion; exact Steinmetz proposition remains unresolved",Retrieve p52 §26 and adjacent pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch47_delta.csv,47,5,8,1896,primary_target,005,Steinmetz Endokannibalismus pp59-60,A H Keane direct quotation; W I Thomas contemporary review,quoted_conclusion_original_facsimile_pending,"Steinmetz's conclusion treats endocannibalism with high probability as a regular custom of primitive humanity / lower peoples, revealing a strong universalizing endpoint after a counterfact-sensitive apparatus",Retrieve pp59-60 facsimile and quote minimally from original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch47_delta.csv,47,6,8,c.1898-1905,archive_method,005,Lovejoy negative-case operator,MS38_004_001_061_005 pp106-112 117,confirmed_archive,"Ceremoniality, limited substitution cases, circumcision, and adult-men initiation beatings function as counterexamples that break proposed ritual genera and force reclassification by mechanism or relation",Use as paper-level evidence for evidentiary-warrant argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch47_delta.csv,47,7,8,1896-1906,interpretive_model,005,Counterfact-sensitive comparison to mechanism-sensitive classification,Steinmetz→Mauss→Marillier→Lovejoy 005→1906,strong_revised,"The Paris genealogy is better described as progressive tightening of evidence-category-causation relations, not invention of pluralism or exceptions by Lovejoy",Build four-dimension matrix after primary Steinmetz and Marillier pages recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,2,8,1905,primary_text_control,005,N. W. Thomas The Religious Ideas of the Arunta,"Folk-Lore 16 (1905), 428-433; public-domain transcription",confirmed_primary_text,"Former Marillier student performs source-critical comparison by testing missionary chronology, translation, diffusion, internal evolution and burden of proof before developmental inference; close independent control for 005 pp16-30","Cite as independent methodological control, not Lovejoy source",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,3,8,1911,primary_text_control,005,N. W. Thomas Animal Worship,Encyclopaedia Britannica 11th ed.,confirmed_primary_text,Explicitly separates outward form from inward meaning and states present meaning need not equal original cause; syncretism can transform form/meaning; supplies formal three-level operator for 005,Integrate into paper as later formalization of research grammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,4,8,1911,primary_text_control,005,N. W. Thomas Cannibalism,Encyclopaedia Britannica 11th ed.,confirmed_primary_text,Cannibalism is a broad surface label; motives and ceremonial rules require separate classification; magical quality-transfer is distinguished; Steinmetz endo/exo division criticized and multiple origins proposed,Use against 005 pp106-119 and batches43-47 Steinmetz/Mauss line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,5,8,1911,primary_text_control,005,N. W. Thomas Fetishism,Encyclopaedia Britannica 11th ed.,confirmed_primary_text,"Disaggregates indwelling spirit, communicated spirit-power and objects credited with intrinsic magical potency; near proposition-level control for 005 pp88-89",Use as independent causal-bearer control for 1906 bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,6,8,1911,primary_text_control,005,N. W. Thomas Taboo,Encyclopaedia Britannica 11th ed.,confirmed_primary_text,"Separates non-moral taboo, direct/communicated mana, automatic/animistic/social sanction; reinforces causal-bearer and determinant decomposition",Retain batch28 results but fold into common operator matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,7,8,1911,primary_text_control,005,N. W. Thomas Animism,Encyclopaedia Britannica 11th ed.,confirmed_primary_text,Postmortem fate can depend on rank sex mode of death burial ritual; refuses global origin inference from Australia or ancestor cult; animistic origin not proven,Use as independent control for 005 early eschatology and evidentiary-license argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,8,8,1911,primary_text_control,005,N. W. Thomas Sacrifice,Encyclopaedia Britannica 11th ed.,confirmed_primary_text,States permanence of ritual form does not imply permanence of meaning; summarizes Marillier and Hubert-Mauss anti-unilateral positions; single primitive form insoluble,"Use as later explicit formal statement, with Marillier primary cited where available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,9,8,1898,primary_student_product_target,005,N. W. Thomas La survivance du culte totemique des animaux et les rites agraires dans le Pays de Galles,"RHR 38 (1898), 295-347; BSB/DDB bsb11864666; Google Play volume 38 w9Q2AQAAMAAJ",digital_volume_confirmed_article_text_pending,Actual Marillier-era student product published at threshold of Lovejoy Paris period; potentially decisive for locating form/meaning/origin operator nearer seminar training,Recover pp295-347 and search survivance/origine/forme/sens/analogie/ressemblance/rite/totemisme/culte/emprunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch48_delta.csv,48,10,8,1898-1911,interpretive_model,005,Marillier student trajectories,Soderblom + Thomas + Lovejoy evidence,strong_revised,"Reproducible product is better described as generative research grammar or practice of redivision than fixed school doctrine: outward form, mechanism and origin are separated; contamination/diffusion and negative cases constrain genealogy",Use in revised paper architecture with explicit evidence limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,2,8,1895-1897,institutional_primary_secondary,005,Marcel Mauss EPHE training under Léon Marillier,EPHE Dictionnaire prosopographique: Marcel Mauss,confirmed,Places Mauss in Marillier's Religions des peuples non civilisés orbit immediately before Lovejoy's 1898-99 participation,Keep as institutional adjacency not classmate claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,3,8,1896-1897,primary_reproduction,005,Mauss acknowledgement of Marillier bibliography/course notes,La religion et les origines du droit pénal d’après un livre récent; RHR 34-35 reproduction,confirmed_text_original_page_alignment_pending,Direct documentary evidence that Marillier's bibliographies and course notes entered Mauss's Steinmetz research,Align exact original RHR page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,4,8,1896-1897,primary_reproduction,005,Mauss kin anthropophagy classification,same Mauss Steinmetz critique,confirmed_text_original_page_alignment_pending,Transfer of dead person's virtues/body fragment is explicitly classified as communion; proposition-level contrast with 005,Align original page and compare Marillier review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,5,8,1897-1899,primary,005,Hubert and Mauss sacrifice essay,L’Année sociologique II; 1909 facsimile reprint,confirmed,Rejects universal genealogy from totemic communion and explicitly cites Marillier as a major Robertson Smith critic; macro-method convergence with 005,Determine exact publication timing/availability in Paris 1899 without inferring Lovejoy reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,6,8,1902,primary_via_secondary_control,005,Mauss assessment of Marillier,Léon Marillier et la science des religions; quoted/reconstructed by EPHE and Pascal Le Maléfan,confirmed_core_quote,Mauss credits Marillier with teaching critique des faits while rejecting his universal psychological explanatory endpoint; models method inheritance plus theoretical break,Retrieve full Mauss 1902 primary text if convenient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,7,8,1904,primary,005,Hubert and Mauss theory of magic/mana,Esquisse d’une théorie générale de la magie,confirmed,Moves efficacy toward social/collective explanation and category formation,Build proposition-level comparison with Lovejoy 1906 if paper expands beyond 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,8,8,1906,primary,005,Arthur O. Lovejoy Primitive Energetics,The Fundamental Concept of the Primitive Philosophy; The Monist 16,confirmed,Impersonal quasi-mechanical communicable efficacy; Lovejoy states conclusions reached in 1900 under strong Marillier influence,Keep as endpoint and test direct Mauss/Hubert citations in full bibliography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,9,8,1948,historiography,005,Hutton Webster mana/dynamism genealogy,Magic: A Sociological Study,confirmed_bibliography_broad_grouping,Early reception groups Lovejoy and Hubert/Mauss within broader force/mana literature rather than reconstructing personal relation,Use only as reception control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,10,8,1980,historiography,005,Daniel J Wilson Lovejoy Paris biography,Arthur O. Lovejoy and the Quest for Intelligibility,confirmed,Paris narrative names Vernes Réville Sylvain Lévi and libraries but omits recovered Marillier EPHE node; helps explain historiographic invisibility,Avoid global claim that Wilson never mentions Marillier without full-book audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,11,8,2017,historiography,005,Nicolas Meylan,"Mana: A History of a Western Category, esp. Bringing Mana Within Theory",confirmed,Strongest prior theoretical comparison: Mauss trained under Marillier; Hubert/Mauss socialize magic/mana; Lovejoy 1906 reconfigures mana as causality/primitive energetics,Frame novelty as documentary reconstruction not first recognition of theoretical adjacency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch49_delta.csv,49,12,8,2026,current_audit,005,Direct Mauss-Lovejoy personal/textual relation,web + repository audit,not_located_not_disproved,No meeting correspondence or direct citation located so far; direct influence claim is currently unsupported,Search Lovejoy correspondence index Mauss/Hubert/Durkheim/Bouglé and Mauss correspondence/reviews for Lovejoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch50_delta.csv,50,2,9,,,,,,,,,AS11_SCAN,primary periodical scan,1910,"L'Année sociologique, tome XI (works 1906-1909)","Émile Durkheim, dir.; collaborators incl. Hubert and Mauss","https://commons.wikimedia.org/wiki/File:L%27ann%C3%A9e_sociologique,_tome_11,_1906-1909.djvu",Contemporary Durkheimian review environment for the mana problem after Lovejoy 1906,Full-volume reception control; public-domain scan; searchable OCR cross-check,Absence in OCR is not proof of non-reading,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch50_delta.csv,50,3,9,,,,,,,,,AS11_MARETT,primary review,1910,"Review of R. R. Marett, The Threshold of Religion",M. M. [Marcel Mauss attribution],L'Année sociologique XI; searchable OCR https://fr.scribd.com/document/45924385/Annee-sociologique-1906-09,Direct contemporary formulation of mana as pouvoir/efficace and category of primitive philosophy; insists on valeur et autorité sociale,Triangular control against Lovejoy 1906 and Marett 1909; social-vs-causal fork,Printed page/authorship index should be verified before final publication citation,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch50_delta.csv,50,4,9,,,,,,,,,AS11_WUNDT,primary review,1910,"Review of Wilhelm Wundt, Völkerpsychologie (myth/religion volumes)",M. M. [Marcel Mauss attribution],L'Année sociologique XI; immediately before Marett notice,Calls attention to vague energies / anonymous impersonal forces and rejects treating them merely as proto-science,Strong control for religion/science divergence between Mauss/Année and Lovejoy primitive energetics,Exact printed pagination to verify,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch50_delta.csv,50,5,9,,,,,,,,,AS11_NEG_LOVEJOY,negative search control,1910,Full-volume OCR searches: Lovejoy; The Monist; Primitive Energetics,n/a,https://fr.scribd.com/document/45924385/Annee-sociologique-1906-09,No obvious visible reception of Lovejoy 1906 in Année tome XI,Supports cautious 'silent convergence' / reception asymmetry formulation,OCR noise and editorial selectivity prohibit stronger negative inference,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch50_delta.csv,50,6,9,,,,,,,,,MEYLAN2017,secondary historiography,2017,Mana: A History of a Western Category,Nicolas Meylan,Brill; web-readable excerpt used for control,Explicitly contrasts Lovejoy's causal/intellectualist primitive energetics with Marett and Hubert-Mauss trajectories,Historiographical precedent: novelty must be documentary Marillier-mediated genealogy + proposition-level reclassification,Use published book pagination for final citation,,,,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch51_delta.csv,51,2,9,,,,,,,,,JACOBI1898,primary article,1898,Über das Verhältnis der buddhistischen Philosophie zu Sāṃkhya-Yoga und die Bedeutung der Nidānas,,,,Defines strong principled/vorbildlich influence while denying simple copying; also treats Sāṃkhya ideas as broadly circulating common property,Use page images / printed pagination for final quotations,Hermann Jacobi,1898_Über das Verhältnis der buddhistischen Philosophie zu Smankhya-Yoga und die Bedeutung der Nidanas.pdf_by_PaddleOCR-VL-1.6.json,Direct primary text for controversy Lovejoy studies in 004,,,,,,,,,,,,,,,,,,,,
research_notes/MS38_005_source_register_batch51_delta.csv,51,3,9,,,,,,,,,OLDENBERG_BSTUD_VII,primary article section,1898,"Buddhistische Studien, section VII responding to Jacobi",,,,Denk-atmosphäre and Familienähnlichkeit can explain shared concepts; explicitly challenges direct/special proof,Identify full bibliographic container and printed pages in final citation,Hermann Oldenberg,提取自12946592543477.pdf_by_PaddleOCR-VL-1.6.json,Direct negative control for influence inference,,,,,,,,,,,,,,,,,,,,
