notebook,pdf_page,ms_locator,topic,grade,published_pages,relation
"MS38_004","052","p.143","缘起整体来源次生且复合，但编排可解释","T3","131–132","刊文最关键的方法句：术语乃至观念或为借入，安排与应用则具原创性和特征性。"
"MS38_004","053","p.145","取/依止、业与再生差异","T2","129–134","刊文把业与取分配给不同因果任务，并转入upādi语义；材料重新编组。"
"MS38_004","054","p.147","āsava词源与技术义形成","C","134","与刊文‘用法优先于词源’的方法同向，但对象不同，不能算直接对应。"
"MS38_004","055","p.149","十二缘起逐支映射五蕴","T1","127, 132","刊文明确以省略句指向这种分析：无法在此复核1–8支如何指涉诸蕴。"
"MS38_004","056","p.151","涅槃的否定性与佛教思想层次","T2","133–136","刊文第二节采用灭除再生之因的框架，却收缩笔记中的思想史假说。"
"MS38_004","057","p.153","取的震怖、以蕴为我与非执取","T3","128–129","同一Khandha-Saṃyutta证据群支撑‘诸蕴是所取之物，贪欲才是取’。"
"MS38_004","058","p.157","Burnouf对upādānakkhandha复合词的两解","T2","126–128","刊文重述Burnouf传统并利用两种复合关系反驳Senart的同一化。"
"MS38_004","059","p.159","五取蕴皆苦及法轮经材料","T3","128–129","同一公式和经证进入刊文对upādānakkhandha的关系解释。"
"MS38_004","060","p.161","anupādāna、parinibbāna与不还/阿罗汉","T3","134–136","直接进入第二节：有余是伦理残余而非肉身/五蕴残余。"
"MS38_004","061","p.163","涅槃为贪嗔痴及再生原因之熄灭","T3","133–136","刊文以伦理状态解释涅槃及upādisesa，而非单以死亡解释。"
"MS38_004","062","p.165","涅槃结论与‘本文所需’的论证限界","T2","133–136","刊文延续主动限缩问题与暂定结论的写法，未承载笔记全部形上结论。"
"MS38_004","063","p.167","anupādisesa：余留的是罪性/执取","T3","133–136","刊文第二节核心命题的直接工作稿：伦理残余，不是现世物质诸蕴。"
"MS38_004","064","p.169","《经集》中的余留/彼岸用例","T2","134–135","作为刊文《经集》语用证据的一部分，具体取舍需逐引文核对。"
"MS38_004","065","p.171","所取法与取的明确定义","T3","128–129","与刊文所引Saṃyutta 22.121几乎同证同序：眼/蕴是所取法，相关贪欲才是取。"
"MS38_004","066","p.173","死亡并非佛教最高善","T3","135","‘把死亡本身视为summum bonum最不佛教’几近逐字刊出，用以否定无余=肉身死亡。"
"MS38_004","067","p.175","觉音《法句经》注：烦恼灭与蕴尽","T2","135–136","刊文结论所需的注释传统证据，经筛选后并入伦理/物理两层区分。"
"MS38_004","068","p.177","有余/无余与原生—派生要素","T2","132, 135–136","刊文保存术语功能区分，删除笔记较强的原生/派生佛教史分层。"
"MS38_004","069","p.179","Khandha-Saṃyutta：观蕴离贪","T3","128–129, 136","刊文核心经证场：蕴为对象、执取为关系，离取标志阿罗汉。"
"MS38_004","070","p.181","取、所取蕴、阿罗汉与漏尽引文表","T3","128–129, 136","同一经证群被选择性保留并重新分派至两节论证。"
"MS38_004","071","p.183","取/不取/阿罗汉道的残篇","T1","136","与结尾证据场相关，但本页残缺，不能建立逐字对应。"
"MS38_005","001","leaf not visibly numbered","封面/文具商页与“Symbolism”题名","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","002","leaf not visibly numbered","比较宗教与民族志书目","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","003","p.3 [?]","来世、道德报应、自然/超自然与净化","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","004","p.5 [?]","来世、道德报应、自然/超自然与净化","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","005","p.7","来世、道德报应、自然/超自然与净化","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","006","p.9","来世、道德报应、自然/超自然与净化","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","007","p.11","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","008","p.13","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","009","p.15","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","010","p.17","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","011","p.19","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","012","p.23 [?]","死亡起源神话、死后命运及其分类","X","—","引用1899年材料，晚于1898刊文；年代上不能成为其来源。"
"MS38_005","013","p.25","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","014","p.27","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","015","p.29","死亡起源神话、死后命运及其分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","016","p.31","自杀、道德化、文化接触与证言污染","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","017","p.33","自杀、道德化、文化接触与证言污染","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","018","p.35","自杀、道德化、文化接触与证言污染","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","019","p.37","自杀、道德化、文化接触与证言污染","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","020","p.39","自杀、道德化、文化接触与证言污染","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","021","p.41","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","022","p.43","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","023","p.45","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","024","p.47","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","025","p.49","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","026","p.51","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","027","p.53","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","028","p.55","来世观、灵魂生存、阶层及Marillier插页","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","029","p.55","来世观、灵魂生存、阶层及Marillier插页","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","030","p.55","来世观、灵魂生存、阶层及Marillier插页","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","031","p.57","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","032","p.57","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","033","p.57","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","034","p.57","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","035","p.57","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","036","p.57","来世观、灵魂生存、阶层及Marillier插页","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","037","p.57","图腾制定义与闪米特图腾制争论","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","038","p.57","图腾制定义与闪米特图腾制争论","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","039","p.57","希伯来末世论、nephesh/ruach及宗教史课程","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","040","p.57","希伯来末世论、nephesh/ruach及宗教史课程","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","041","p.57","希伯来末世论、nephesh/ruach及宗教史课程","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","042","p.57","希伯来末世论、nephesh/ruach及宗教史课程","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","043","p.57","希伯来末世论、nephesh/ruach及宗教史课程","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","044","p.57","希伯来末世论、nephesh/ruach及宗教史课程","X","—","本页明确标注1905-12-20，晚于1898刊文；年代上排除。"
"MS38_005","045","p.57","图腾制分类","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","046","p.71","Brinton书目条","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","047","p.93","葬俗、防返亡灵与学者证据纪律","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","048","leaf not visibly numbered","葬俗、防返亡灵与学者证据纪律","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","049","leaf not visibly numbered","葬俗、防返亡灵与学者证据纪律","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","050","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","051","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","052","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","053","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","054","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","055","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","056","p.115","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","057","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","058","leaf not visibly numbered","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","059","p.119","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","060","p.121","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","061","p.123","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","062","p.125","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","063","p.127","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","064","p.129","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","065","p.131","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","066","p.133","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","067","p.135","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","068","p.137","牺牲类型、赎罪/魔法/食用机制与群体角色","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","069","p.139","牺牲类型、赎罪/魔法/食用机制与群体角色","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","070","p.141","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","071","p.143","动物/人祭、血、巫术、fetish及仪式机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","072","p.145","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","073","p.147","动物/人祭、血、巫术、fetish及仪式机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","074","p.149","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","075","p.151","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","076","p.153","动物/人祭、血、巫术、fetish及仪式机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","077","p.155","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","078","p.157","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","079","p.159","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","080","p.161","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","081","p.163","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","082","p.165","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","083","p.167","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","084","p.171","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","085","p.173","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","086","p.175","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","087","p.177","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","088","p.179","动物/人祭、血、巫术、fetish及仪式机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","089","p.181","动物/人祭、血、巫术、fetish及仪式机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","090","p.183","动物/人祭、血、巫术、fetish及仪式机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","091","p.185","动物/人祭、血、巫术、fetish及仪式机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","092","p.187","Marillier牺牲分类插页与初熟祭书目","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","093","p.187","Marillier牺牲分类插页与初熟祭书目","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","094","p.187","Marillier牺牲分类插页与初熟祭书目","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","095","p.187","Marillier牺牲分类插页与初熟祭书目","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","096","p.187","Marillier牺牲分类插页与初熟祭书目","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","097","p.187","Marillier牺牲分类插页与初熟祭书目","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","098","p.187","Marillier牺牲分类插页与初熟祭书目","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","099","p.187","Marillier牺牲分类插页与初熟祭书目","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","100","p.187","Marillier牺牲分类插页与初熟祭书目","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","101","p.189","农业/丰产人祭、驯化与替代方向","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","102","p.191","农业/丰产人祭、驯化与替代方向","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","103","p.193","农业/丰产人祭、驯化与替代方向","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","104","p.195","农业/丰产人祭、驯化与替代方向","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","105","leaf not visibly numbered","食人、人祭、水神与安抚机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
