event_year,witness_year,actor_or_institution,document_or_event,locus,documented_finding,political_or_methodological_relevance,relation_to_lovejoy,evidence_status,inference_limit,source_url
1888,1911,"Friedrich Max Müller","Biographies of Words and the Home of the Aryas","1888 original pp.120 and 245 quoted in Encyclopaedia Britannica 1911","Defines Aryan by language rather than blood or skull while retaining developmental temporal comparisons","Anti-biological-racial argument coexists with hierarchy and colonial scholarly infrastructure","wider comparative-philological context","later reference work quoting the 1888 book with page numbers","Original 1888 page images were not directly inspected",https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Aryan
1890,1891,"Léon Marillier","La liberté de conscience","Abel Lefranc review pp.109–110","A public competition promoted liberty of conscience in institutions and social practice","Republican conscience rights coexist with a chair classifying peoples as non civilisés","Lovejoy later directly studied with Marillier","contemporary review of the 1890 book","Other political campaigns require independent dating",https://education.persee.fr/doc/revin_1775-6014_1891_num_21_1_2666_t1_0109_0000_2
1891,1891,"Daniel G. Brinton; Arthur O. Lovejoy","The American Race","Lovejoy notebook 005 PDF p.46; manuscript p.71","Lovejoy's notebook contains a bibliographic slip for Brinton's 1891 book","Directly places a racial anthropologist inside Lovejoy's source environment","direct notebook bibliographic evidence","primary notebook and dated book","Does not prove Lovejoy read Brinton's 1895 speech or 1897 lecture book",research_notes/lovejoy_as_orientalist_web_sweep_batch69_005_source_criticism_not_enough_Jarvis_Keating_Brinton_Marshall_Breeks.md
1891,1897,"Gilman; Haupt; Lanman; Toy; Brinton; Jastrow","American lecture association founding conference","Brinton 1897 Announcement pp.iii–iv","Founding list joins Hopkins president Gilman with Lanman; Toy; Haupt; Brinton; and Jastrow","A cross-university apparatus allocates subjects; funds; and scholarly authority","two documented teachers and two notebook source authors share the organization","1897 printed retrospective with named founding participants","Participants acted personally or by letter; Lovejoy's attendance remains unproved",https://www.gutenberg.org/cache/epub/61220/pg61220-images.html
1891,2026,"Henry Clarke Warren; Charles Rockwell Lanman","Foundation of Harvard Oriental Series","Harvard South Asian Studies institutional history","Warren and Lanman founded an Orientalist publishing series in 1891","Private funding and university editing supplied a durable textual infrastructure","Lanman taught Lovejoy; Warren was directly used in notebook 004","official institutional history","Does not prove Lovejoy worked personally with Warren",https://sas.fas.harvard.edu/about/harvard-oriental-lecture-series/
1891,2026,"Henry Clarke Warren; unnamed staff and caregiver","Purchase and adaptation of Warren House","Harvard Warren House history","Warren relied on inherited paper-industry wealth; an unnamed Black caregiver; and scholarly assistants","Disability accommodation; racialized care; hidden labor; and scholarly sponsorship intersect","Warren's 1896 book is directly used by Lovejoy","official university retrospective","No individual assistants identified and no specific scholarly task attributable to the caregiver",https://folkmyth.fas.harvard.edu/warren-house-henry-clarke-warren
1892,1892,"Richard Garbe; Baptist Mission Press","Aniruddha's Commentary and the Original Parts of Vedântin Mahâdeva's Commentary","Calcutta imprint and introduction","A prehistory of the Sāṃkhya-Buddhism proof dispute was printed by a Baptist mission press","Mission infrastructure intersects with scholarly circulation and proof protocols","Lovejoy directly excerpts Garbe 1894 rather than Garbe 1892","primary imprint and prior repository collation","The imprint does not prove missionary intent or direct Lovejoy reading",research_notes/lovejoy_as_orientalist_web_sweep_batch160_Garbe1892_proof_protocol_to_004_and_Lanman_archive_targets.md
1892,1897,"American Committee for Lectures on the History of Religions","Terms of association","Brinton 1897 Announcement rules 7–14","Committee controls funds; lecturer choice; copyright; schedules; payment; and public polemics","Scientific neutrality and public circulation are produced through contractual governance","first-series printed book is directly excerpted in notebook 004","1897 printing of rules adopted in 1892 and subsequently modified","Exact effective date of every later modification is unspecified",https://www.gutenberg.org/cache/epub/61220/pg61220-images.html
1894,1896,"T. W. Rhys Davids; American Committee","Buddhism: Its History and Literature","First lecture series 1894–1895; book 1896","First sponsored series concerned Buddhism and was published for the committee","Institutional distribution of Buddhist historical scholarship","Lovejoy directly excerpted and modified the printed lecture book in notebook 004","primary printed book and notebook collation","No evidence that Lovejoy attended the lectures in person",research_notes/lovejoy_as_orientalist_web_sweep_batch58_004_rhys_davids_RHR_transatlantic_switchboard.md
1895,1895,"Richard Garbe; Charles Rockwell Lanman; Henry Clarke Warren","The Sāṁkhya-Pravacana-Bhāṣya","Harvard Oriental Series volume 2","Garbe's Sāṃkhya edition immediately precedes Warren's Buddhist volume within the same series","The notebook's paired subjects were already adjacent inside one editorial and funding apparatus","Garbe is a direct notebook authority through his different 1894 work","primary 1895 bibliographic record","Does not prove Lovejoy read the 1895 edition",https://books.google.com/books?id=L3bPB71qCx4C
1895,1895,"Daniel G. Brinton","The Aims of Anthropology","Popular Science Monthly 48 November 1895","Uses living peoples classified as low culture to interpret vanished populations","Living contemporaries are assigned the evidentiary position of an imagined past","Brinton's 1891 book is directly listed in notebook 005","primary same-year published address","Lovejoy's reading of this 1895 address is not established",https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_48/November_1895/The_Aims_of_Anthropology
1895,1895,"Daniel G. Brinton","The Aims of Anthropology","Passage on registration and vital statistics","Calls for registering bodies; language; religion; and politics in tables and columns","Paper techniques and bureaucratic inscription organize knowledge about populations","author directly present in Lovejoy's notebook source environment","primary same-year published address","Do not equate Lovejoy's Buddhist diagrams with administrative racial registration",https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_48/November_1895/The_Aims_of_Anthropology
1895,1895,"Daniel G. Brinton","The Aims of Anthropology","Passage on ethnic characterology and legislation","Claims racial group research furnishes a basis for legislation; politics; and education","Author explicitly connects classificatory science with differential governance","author directly present in Lovejoy's notebook source environment","primary same-year published address","No evidence Lovejoy endorsed or encountered this particular political claim",https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_48/November_1895/The_Aims_of_Anthropology
1895,1895,"Daniel G. Brinton","The Aims of Anthropology","Discussion of individuals and ethnic differences","Denies that races exist as independent entities before asserting racial hereditary inequalities","Individualism; universal human unity; racial hierarchy; and legislation coexist within one argument","author directly present in Lovejoy's notebook source environment","primary same-year published address","Do not generalize the inconsistency to all members of the lecture committee",https://en.wikisource.org/wiki/Popular_Science_Monthly/Volume_48/November_1895/The_Aims_of_Anthropology
1896,1896,"Henry Clarke Warren; J. N. Cushing; Brown University","Buddhism in Translations","General Introduction pp.xv–xvi","Identifies Burmese-script Buddhist manuscripts donated by a Baptist missionary to Burma","Missionary collection directly supplied manuscripts behind a book Lovejoy used","Warren's book is directly cited and discussed in notebook 004","primary published introduction; two independent modern transcriptions","Acquisition conditions and manuscript creators remain unidentified",https://obo.genaud.net/dhamma-vinaya/bit/bit-introduction.htm
1896,1896,"Henry Clarke Warren; Henry Rigg; India Office Library","Buddhism in Translations","General Introduction p.xvi","Names a Government of India railway consultant and the India Office Library among manuscript lenders","Colonial infrastructure and imperial custody fed directly into Buddhist philology","Warren's book is directly cited and discussed in notebook 004","primary published introduction; two independent modern transcriptions","Lovejoy's personal handling of these manuscripts is not established",https://sacred-texts.com/bud/bits/bit-gint.htm
1896,1896,"Émile Senart","À propos de la théorie bouddhique des douze nidānas","p.295","Senart explicitly calls for analysis and filiation of terms","Lovejoy and Senart share methods but disagree over the warrants of particular inferences","Senart is directly challenged in notebook 004 and Lovejoy 1898","primary article collated in earlier repository batches","Shared vocabulary does not imply agreement on compositeness or present function",research_notes/lovejoy_paris_hopkins_method_primitivism_politics_chinese_synthesis_batch172.md
1896,1897,"Daniel G. Brinton; American lecture association","Religions of Primitive Peoples","Title page and Announcement","Second series on primitive peoples followed the first series on Buddhist history","Buddhism and anthropological classification were allocated within a common organization","first-series text directly excerpted by Lovejoy; second-series author named in notebook 005","primary 1897 printed lecture book","No evidence Lovejoy attended or read the second series",https://www.gutenberg.org/cache/epub/61220/pg61220-images.html
1897,1897,"Daniel G. Brinton","Religions of Primitive Peoples","Introductory definition","Defines primitive as a cultural stage rather than chronological priority and applies it to contemporaries","Classification removes chronological contemporaneity without claiming literal first humanity","author documented in Lovejoy's source environment","primary 1897 printed lecture book","Lovejoy's 1898 article does not contain the word primitive",https://www.gutenberg.org/cache/epub/61220/pg61220-images.html
1897,1897,"Daniel G. Brinton","Religions of Primitive Peoples","Description of lax governments and feeble institutions","Includes governmental and institutional weakness in defining primitive populations","The category contains political organization within its evidentiary criteria","author documented in Lovejoy's source environment","primary 1897 printed lecture book","This is Brinton's definition and cannot automatically be attributed to Lovejoy",https://www.gutenberg.org/cache/epub/61220/pg61220-images.html
1897,1897,"Crawford Howell Toy; Morris Jastrow; John P. Peters","Signed publication committee announcement","Brinton 1897 Announcement p.x dated 10 May 1897","Lovejoy's teacher Toy personally signs the publication notice introducing Brinton's primitive-religion lectures","Editorial and administrative sponsorship links an actual Harvard instructor to the category's public circulation","Toy was Lovejoy's documented Harvard teacher","dated and signed primary printed announcement","A committee signature does not prove agreement with every claim in Brinton's lectures",https://www.gutenberg.org/cache/epub/61220/pg61220-images.html
1897,1899,"Arthur O. Lovejoy; American Oriental Society","Corporate membership election","1899 printed member roll p.377","Member roll gives 1897 as Lovejoy's election year","Provides organizational affiliation in the same Orientalist field","direct corporate membership","later printed membership register reporting election year","Membership proves neither attendance at a specific meeting nor a fixed professional identity",research_notes/JHI_blog_notebook_diagrams_paper_techniques_affordances_research_log_2026-08-23.md
1898,1898,"Louis Finot; Alfred Foucher; Sylvain Lévi","L’enseignement du sanscrit à l’école pratique des Hautes Études","Revue internationale de l’enseignement 35 p.488","Philological and religious sections often use the same texts but differ in the direction of commentary","Institutional actors explicitly distinguish research method from object","Lévi belongs to Lovejoy's documented Paris milieu","primary 1898 article","Lovejoy's reading of the article or meeting with its authors is unproved",https://education.persee.fr/doc/revin_1775-6014_1898_num_35_1_3636
1898,1898,"Louis Finot; Alfred Foucher","L’enseignement du sanscrit à l’école pratique des Hautes Études","p.488","Uses organisation primitive to mean an original teaching arrangement","Primitive carries a non-evolutionary institutional meaning in the same year","same scholarly environment as Lovejoy's Paris teacher","primary 1898 article","Does not establish Lovejoy himself used the phrase",https://education.persee.fr/doc/revin_1775-6014_1898_num_35_1_3636
1898,1898,"Arthur O. Lovejoy","The Buddhistic technical terms upādāna and upādisesa","JAOS 19 pp.123–136","Article compares borrowed components with original arrangement and contains no occurrence of primitive","Direct Buddhist argument is methodologically exact but lexically distinct from anthropological primitiveness","Lovejoy's own published primary text","primary 1898 article and repository-wide text search","Lexical absence in one article does not prove absence from his later writings",https://dlbs.liberal.ntu.edu.tw/FULLTEXT/JR-ENG/love.htm
1898,1901,"Paul Doumer; Académie des inscriptions et belles-lettres","Arrêté portant règlement pour la mission archéologique d’Indo-Chine","Decree of 15 December 1898; BEFEO 1 p.67","Places a permanent research mission under the governor-general's authority and the Academy's scientific control","Colonial administration and scholarly authority are formally joint rather than merely adjacent","direct antagonist Senart helped design the mission according to institutional histories","1901 reprint of a dated 1898 decree also cited as published in the 1899 official journal","1899 official-journal original has not been independently inspected",https://www.persee.fr/doc/befeo_0336-1519_1901_num_1_1_2167
1898,1901,"French Indochina archaeological mission","Founding regulations","Articles 3 and 4","Admits European or indigenous auditors to methodological training while reserving appointed fellowships for French scholars","Hierarchical inclusion differentiates training; research status; and authority","Finot became director; Senart is Lovejoy's direct published interlocutor","1901 reprint of the dated 1898 institutional decree","Regulations alone do not establish actual participant numbers or authorship practices",https://www.persee.fr/doc/befeo_0336-1519_1901_num_1_1_2167
1898,2026,"Louis Finot","Appointment to Indochina archaeological mission","EPHE official prosopographical record","1898 author on Sanskrit teaching became first director of the colonial research mission","One documented individual links pedagogical methodology with colonial institutional administration","belongs to the immediate Paris institutional milieu","official institutional biography","No proven personal meeting or textual exchange with Lovejoy",https://prosopo.ephe.psl.eu/louis-finot
1898,1899,"Émile Senart","Débuts de la mission archéologique en Indo-Chine","CRAI 43 1899 pp.333–335","Lovejoy's Buddhist interlocutor personally reports on the mission created in December 1898","Direct actor-level connection between Buddhist philology and colonial research governance","Senart is explicitly criticized by Lovejoy in 1898","primary author; title; date; and pagination verified from the journal contents","Full report text was not successfully retrieved",https://www.persee.fr/issue/crai_0065-0536_1899_num_43_3
1898,1899,"Émile Senart; Paul Doumer","Lettre de M. Doumer gouverneur général de l’Indo-Chine","CRAI 43 1899 pp.586–587","Governor-general's mission-related communication was addressed personally to Senart","A direct documented communication joins the colonial governor and Lovejoy's textual interlocutor","Senart is explicitly criticized by Lovejoy in 1898","primary first-page excerpt and bibliographic record","The complete two-page text was not independently accessed",https://www.persee.fr/doc/crai_0065-0536_1899_num_43_5_71476
1898,1921,"Louis Finot; Émile Senart; Michel Bréal; Auguste Barth","L’École française d’Extrême-Orient depuis son origine jusqu’en 1920","BEFEO 21 pp.1–2; volume published 1922","Finot recalls plans for an Indian institution parallel to the French schools in Athens and Rome","Classical-Oriental institutional competition became tied to colonial territory and permanent research","1898 Sanskrit-teaching article author retrospectively discusses the same 1898 institution","retrospective by a directly involved actor; attribution confirmed by EPHE bibliography","The 1921/1922 account is not a contemporaneous record",https://www.persee.fr/doc/befeo_0336-1519_1921_num_21_1_2892
1898,1921,"Louis Finot","L’École française d’Extrême-Orient depuis son origine jusqu’en 1920","Opening page","Defines understanding present populations as a route to reconstructing their past and lists anthropological instruments","Methods; ethnographic present; material instruments; and a permanent colonial institution are explicitly linked","same author who distinguished philological and religious commentary in 1898","retrospective by a direct participant; volume publication occurred in 1922","Do not project every retrospective formulation backward as a verbatim 1898 doctrine",https://www.persee.fr/doc/befeo_0336-1519_1921_num_21_1_2892
1898,1952,"Alfred Foucher; Émile Senart; Paul Doumer","Cinquantenaire de l’École française d’Extrême-Orient","CRAI 96 pp.133–137","Foucher recalls seeing Barth; Bréal; and Senart devise the 1898 mission and its work methods","Direct participant connects colonial governor; philological scholars; and institutional method","same author who co-wrote the inspected 1898 teaching article","late first-person recollection of a directly identified 1898 event","Fifty-four-year retrospective must be controlled against the decree and 1899 proceedings",https://www.persee.fr/doc/crai_0065-0536_1952_num_96_1_9891
1898,1898,"Arthur O. Lovejoy","Sankhya and Buddhism notebook diagrams","Notebook 004 manuscript pp.123 and 129","A term can be a temporal antecedent and logical subdivision; fifty-two categories are explicitly nonexclusive","Paper affordances distinguish classificatory; causal; temporal; and semantic relations","Lovejoy's own surviving working pages","direct manuscript images and existing corrected transcription","Drawing order and priority over other scholars are not established",research_notes/JHI_blog_notebook_diagrams_paper_techniques_affordances_research_log_2026-08-23.md
