year	volume_issue	author	title	region_object	role_code	role_description	internal_vs_relation_address	evidence_status	interpretive_note
1963	24.4	Arturo Ardao	Assimilation and Transformation of Positivism in Latin America	Latin America	R5_REACTION_TRANSFORMATION+R6_REGIONAL_HISTORIOGRAPHY	Latin-American actors and traditions selectively assimilate and transform an imported positivist programme	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE	Strongly extends the 1949 Mexican revolt case: reception is neither passive diffusion nor derivative repetition but regional intellectual transformation, well before the 1975 Zea review.
1965	26.4	Majid Fakhry	Al-Farabi and the Reconciliation of Plato and Aristotle	Islamic philosophy	R1_INTERNAL_CONCEPTUAL_HISTORY+R4_INTELLECTUAL_RECOMBINATION	Al-Farabi treated as an actor reconstructing/reconciling philosophical authorities within Islamic philosophy	INTERNALLY_ADDRESSED_WITH_CLASSICAL_RELATION	DIRECT_JSTOR_TOC	Important shift beyond Arabic philosopher merely as intermediary to Europe; actor's own conceptual operation is the article's object.
1965	26.4	Conrad Schirokauer	Balazs on China	China	R6_REGIONAL_HISTORIOGRAPHY_REVIEW	Review of China-focused scholarship inside JHI	REGIONALLY_ADDRESSED_META	DIRECT_JSTOR_TOC	Evidence that Chinese civilizational/history scholarship has a review-discussion presence as a field, not only isolated source cases.
1966	27.1	Ainslie T. Embree	Ways of Thinking of Eastern Peoples: India-China-Tibet-Japan	India/China/Tibet/Japan	R3_COMPARATIVE_META+R6_REGIONAL_HISTORIOGRAPHY_REVIEW+R9_FIELD_INTERFACE	JHI review of Hajime Nakamura's comparative Asian thought project spanning multiple internally differentiated Asian traditions	META_COMPARATIVE_ASIAN	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE	Critical network marker: Nakamura's anti-monolithic comparative thought project enters JHI through review immediately after the Wiener/Nakamura transpacific collaboration reconstructed elsewhere in the repo.
1967	28.1	Dale Riepe	Emerson and Indian Philosophy	India/United States	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	Indian philosophical materials are traced as sources and intellectual influences in Emerson's American thought	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC+HIGH_GRADE_BIBLIOGRAPHIC	Important anti-linearity control: even after Raju/Prakash internal Indian-history cases and Embree/Nakamura comparative work, India also continues to function in a classic influence-on-West genealogy.
1967	28.3	Warren E. Gates	The Spread of Ibn Khaldun's Ideas on Climate and Culture	Islamic/North African thought + Europe	R4_TRANSMISSION+R2_SOURCE_ANTECEDENT	Tracks possible spread/influence of Ibn Khaldun's climate/culture ideas toward later European thinkers	RELATIONAL_TRANSMISSION	DIRECT_JSTOR_TOC+FULLTEXT_CARRIER	Return of an influence/spread architecture; useful against Fakhry 1965 internal-object mode.
1968	29.1	Carl T. Jackson	The Meeting of East and West: The Case of Paul Carus	Asia/United States/Buddhism and comparative religion	R4_CONTACT_TRANSMISSION+R9_FIELD_INTERFACE+R5_REACTION_TRANSFORMATION	Paul Carus as a site of intellectual encounter, mediation and attempted synthesis between Asian religious/philosophical materials and American thought	EAST_WEST_RELATIONAL	DIRECT_JSTOR_TOC+HIGH_GRADE_BIBLIOGRAPHIC	Shows East-West mediation remaining a major JHI architecture after internally addressed Asian thought had already become possible; role regimes coexist rather than replace one another.
1969	30.3	Hajime Nakamura	Review: Donald F. Lach, Asia in the Making of Europe	Asia-Europe	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION+R9_FIELD_INTERFACE	Asian specialist evaluates a major Europe-Asia transmission history inside JHI	RELATIONAL_META	HIGH_GRADE_BIBLIOGRAPHIC	Important governance/network bridge: Nakamura later becomes Corresponding Editor, after Wiener-East-West collaboration.
1970	31.4	Robert C. Williams	The Russian Soul: A Study in European Thought and Non-European Nationalism	Russia/Europe	R5_REACTION_TRANSFORMATION+R4_CYCLICAL_TRANSFER+R6_REGIONAL_HISTORIOGRAPHY	A European nationalist vocabulary is appropriated and transformed in Russian self-definition and then circulates back into European social criticism	REGIONALLY_ADDRESSED_RELATIONAL	DIRECT_JSTOR_TOC+SEARCHABLE_FULLTEXT_CONTROL	Especially useful relation-role case: the article explicitly rejects a one-way borrowing model and treats transfer as cyclical; a phrase/category can be borrowed while the articulated idea becomes locally specific.
1971	32.4	Jeffrey L. Klaiber	The Non-Communist Left in Latin America	Latin America	R1_INTERNAL_CONCEPTUAL_HISTORY+R6_REGIONAL_HISTORIOGRAPHY+R5_REACTION_TRANSFORMATION	Latin-American socialist/anti-imperialist thought treated as a regional intellectual-political formation with its own reformulations of imported left traditions	REGIONALLY_ADDRESSED	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE	Further evidence that autonomous Latin-American intellectual history is established in JHI before the 1975 explicit historiographical assessment of Zea.
1972	33.2	Ronald Hilton	Is Intellectual History Irrelevant? The Case of the Aztecs	Aztec/Mexico/Chicano political memory	R8_PRESENT_IDENTITY_POLITICS+R9_METHOD_RELEVANCE	Review-article testing intellectual-history relevance where ancient/colonial past intersects contemporary ethnic-political appropriation	META/PRESENT-POLITICAL	DIRECT_JSTOR_TOC_TEXT_NOT_FULLY_LOCKED	Do not call this a decolonial-method manifesto without full text; current evidence supports a critique of romanticized/exaggerated Aztec heritage in contemporary identity politics.
1974	35.3	Julia Ching	Truth and Ideology: The Confucian Way (Tao) and its Transmission (Tao-T'ung)	China/Confucianism	R1_INTERNAL_CONCEPTUAL_HISTORY+R4_INTERNAL_TRANSMISSION	Two-millennia internal construction of Confucian orthodoxy, succession and ideological transmission	INTERNALLY_ADDRESSED	DIRECT_JSTOR_TOC+ABSTRACT_CONTROL	Strong late-Wiener internal-object example: transmission now occurs within Chinese intellectual history, not chiefly China→West or West→China.
1975	36.1	Jorge J. E. Gracia	Importance of the History of Ideas in Latin America: Zea's Positivism in Mexico	Latin America/Mexico	R6_REGIONAL_HISTORIOGRAPHY+R9_METHOD_META	Latin-American history of ideas itself becomes the object of methodological/historiographical evaluation	REGION_AS_HISTORIOGRAPHICAL_FIELD	DIRECT_JSTOR_TOC	Institutional culmination of Wiener-Zea convergence: JHI now discusses the importance of an autonomous regional historia de las ideas tradition.
