date,actor_or_source,source_location,proposition,evidence_grade,limitation,article_use
"1898","Arthur O Lovejoy","The Buddhistic Technical Terms upadana and upadisesa printed 132","Borrowed terms and perhaps ideas may receive an original and characteristic arrangement and application",A_signed_publication,"Does not prove Buddhism caused later history-of-ideas methodology",core_argument
"1898","Arthur O Lovejoy","The Buddhistic Technical Terms upadana and upadisesa printed 134-136","Usage constrains competing etymologies and contrary passages prevent a final conclusion",A_signed_publication,"Semantic use differs from Skinner's later illocutionary use",core_argument
"1898-04-11 scheduled","Arthur O Lovejoy","contemporary named lecture notice identified batch175","Lovejoy was announced to speak on Other Worldliness",B_contemporary_named_record,"Announcement establishes a scheduled event not the exact delivered text or attendance",optional_single_sentence
"1898-1899 and 1905","Lovejoy classroom and teaching milieu","005 PDF 42 and 44","Notebook includes Greek primitive and a heading dated 1905-12-20",A_dated_manuscript,"005 is a composite teaching notebook; individual arguments and page dates cannot automatically be attributed to Lovejoy",negative_control_only
"1901","F Max Müller estate/editor","My Autobiography chapter on Paris; Project Gutenberg","Posthumous autobiography acknowledges Böhtlingk's pamphlet and contests its accusations",A_published_actor_recollection,"Posthumous edited autobiography is retrospective and does not itself settle competing documentary claims",background_only
"1901","Arthur O Lovejoy; E A Ross","Stanford departmental histories; batch174","Lovejoy resigned in the Ross academic-freedom controversy involving anti-Asian labor politics",D_institutional_retrospective,"Defense of academic freedom proves neither endorsement nor rejection of Ross's racial claims",post_cutoff_negative_control
"1906","Arthur O Lovejoy","Fundamental Concept of the Primitive Philosophy printed 362 and 377; batch76","The proposed explanatory conception requires independent linguistic evidence as a vera causa before application to customs",A_signed_publication,"Regional lexical proof is uneven and independence does not guarantee modern ethnographic validity",future_project
"1936","Arthur O Lovejoy","The Great Chain of Being introduction; local full-book OCR","Unit-ideas may include implicit assumptions mental habits and recurrent logical motives",A_signed_publication,"No absence claim should extend beyond sampled methodological passages",future_project
"1941","Arthur O Lovejoy","Meaning of Romanticism for the Historian of Ideas; adversarial concordance","Logical hypotheses must return to historical data and logical psychological and historical relations are distinguished",A_signed_publication_reported_in_repo,"Returning to texts does not by itself establish an independent criterion of cross-context unit identity",future_project
"collected 1948","Arthur O Lovejoy","Essays in the History of Ideas chapter on Rousseau; local full-book OCR","Chronological juridical and cultural states of nature are explicitly separated",A_signed_reprinted_publication,"Original essay publication year must be checked before assigning chronology; do not project backward to 1898",future_project
"1969","Quentin Skinner","Meaning and Understanding in the History of Ideas printed 35-37","Skinner criticizes fixed cross-context idea persistence while defining use at an agent-specific pragmatic level",A_signed_publication,"His broader polemic does not prove every attributed pathology describes Lovejoy's own method",existing_article_coda
