event_date,event_year,witness_year,actor,action_or_document,location_or_locus,source_type,evidence_grade,political_or_methodological_relevance,personal_attribution_limit,source_url,cutoff_status
"1884","1884","1891","Nariaki Kozaki","Receives a divinity degree at Doshisha","Japan","contemporary named newspaper biographical profile","B_contemporaneous_named_report","Identifies prior Japanese theological training before Kozaki's Pacific seminary and Harvard education","Does not establish acquaintance with either Lovejoy","https://www.thecrimson.com/article/1891/5/21/honor-for-a-japanese-student-the/","pre1899_asian_actor"
"1880s manuscript; 1886 printed outline","1880s; 1886","modern library catalogue of contemporary manuscript","Dwight Whitney Learned","Creates an autograph Economics and politics manuscript accompanied by a four-page printed Doshisha College lecture outline dated 1886","Doshisha University Library Imadegawa; CiNii NCID BA48684973","national union catalogue for an identified autograph manuscript and contemporary printed course outline","C_archival_item_cited_not_examined","Provides a concrete comparative paper-technique artifact linking handwriting and print to political and economic instruction","The 1886 outline postdates Kozaki's reported 1884 Doshisha degree and cannot be attributed to his own enrollment","https://ci.nii.ac.jp/ncid/BA48684973","pre1899_material_culture_primary_pending"
"undated collection","undated","modern library catalogue","Dwight Whitney Learned","Uses a collection of photographs illustrating Christian architecture for teaching church history","Doshisha University Library Imadegawa; CiNii NCID BA75017202","national union catalogue for an uninspected teaching-photograph collection","C_archival_item_cited_not_examined","Identifies a distinct visual technology in the teaching environment of the instructor represented in Kozaki's notes","Collection dates and Kozaki's exposure to these particular photographs are unknown","https://ci.nii.ac.jp/ncid/BA75017202","undated_material_culture_context"
"1887 graduation season","1887","1891; modern institutional history","Nariaki Kozaki; Pacific Theological Seminary","Graduates after three years at the Oakland theological seminary","Oakland","contemporary named Harvard newspaper profile corroborated by official institutional history","B_contemporaneous_named_report","Identifies a named Japanese intellectual on the same seminary-to-Harvard route later linked to the Lovejoy family","Kozaki graduated before Wallace Lovejoy's currently documented 1892-1893 faculty appointment","https://www.thecrimson.com/article/1891/5/21/honor-for-a-japanese-student-the/","pre1899_asian_actor"
"1887 graduation season","1887","modern","Pacific Theological Seminary; first Japanese graduate","Institution retrospectively identifies its first Japanese graduate in 1887","Oakland","official institutional historical account","D_institutional_retrospective","Independently corroborates the graduation year given in Kozaki's Harvard profile","The school history does not itself name the graduate","https://www.psr.edu/about/history/","pre1899_institutional_bridge"
"1887-11; reporting prior fiscal year","1887","1887","N. Kusaki; William C. Pond","A Japanese Pacific seminary graduate initiates an Oakland program","Oakland; The American Missionary 41.11 pages 325-326","signed contemporaneous missionary report","A_signed_primary_witness","Documents Japanese organizational initiative within the institution's local mission network","Kusaki is very likely but not conclusively identical with Nariaki Kozaki; retain the source spelling","https://www.gutenberg.org/files/57228/57228-h/57228-h.htm","pre1899_asian_actor_identity_unresolved"
"1887-11; reporting prior fiscal year","1887","1887","N. Kusaki; unnamed American woman; William C. Pond","Japanese-initiated Oakland work passes to an American principal teacher","Oakland; The American Missionary 41.11 pages 325-326","signed contemporaneous missionary report","A_signed_primary_witness","Shows Asian initiative and unequal racialized or gendered control operating together","The administrative transfer concerns the mission participants rather than either Lovejoy","https://www.gutenberg.org/files/57228/57228-h/57228-h.htm","pre1899_institutional_counterexample"
"1886-1887; reported 1887-11","1886-1887","1887","Chinese members of the Foreign Missionary Society","Organize a society without prompting from the American superintendent","California; South China mission network","signed contemporaneous missionary report","A_signed_primary_witness","Records Chinese self-organization and independently chosen institutional action","The organizer names and Lovejoy-family contact are not established","https://www.gutenberg.org/files/57228/57228-h/57228-h.htm","pre1899_asian_actor"
"1886-1887; reported 1887-11","1886-1887","1887","Chinese members of the Foreign Missionary Society","Raise nearly 250 dollars for missionary activity in South China","California; South China","signed contemporaneous missionary financial account","A_signed_primary_witness","Documents Asian financial agency within a transpacific network","No contribution or personal contact by either Lovejoy is shown","https://www.gutenberg.org/files/57228/57228-h/57228-h.htm","pre1899_asian_actor"
"1886-1887; reported 1887-11","1886-1887","1887","California Chinese Mission; Chinese helpers; American workers","Accounts for 91 months of Chinese labor and 218 months of American labor","California mission annual review","signed contemporaneous institutional accounting","A_signed_primary_witness","Makes the racial division of missionary labor materially and numerically visible","Worker-month counts are institutional totals and do not identify individual workers or pay","https://www.gutenberg.org/files/57228/57228-h/57228-h.htm","pre1899_institutional_counterexample"
"1887-11","1887","1887","American Missionary Association; United States government","Annual statement records 17357.21 dollars from the federal government for Education of Indians","The American Missionary 41.11 page 324","contemporaneous published institutional financial statement","B_contemporaneous_institutional","Connects abolitionist and Chinese missionary activism to federally funded Indigenous educational policy","The amount does not establish either Lovejoy's support or institutional involvement","https://www.gutenberg.org/files/57228/57228-h/57228-h.htm","pre1899_institutional_counterexample"
"1890 autumn","1890","1891","Nariaki Kozaki","Enters Harvard Divinity School after three years of private study","Cambridge; Harvard Divinity School","contemporary named Harvard newspaper report","B_contemporaneous_named_report","Establishes an actual Oakland-to-Harvard route for a Japanese scholar before Lovejoy enters Harvard","Lovejoy entered Harvard in 1895 and is not present in this record","https://www.thecrimson.com/article/1891/5/21/honor-for-a-japanese-student-the/","pre1899_asian_actor"
"1891-05-21","1891","1891","Nariaki Kozaki; Harvard Divinity School faculty","Faculty selects Kozaki as a commencement speaker on Agencies Formative of Christian Thought in Japan","Harvard Divinity School","contemporary named newspaper report","B_contemporaneous_named_report","Shows a Japanese scholar publicly interpreting Japanese Christian intellectual history at Harvard","Selection does not prove Everett personally supervised Kozaki or Lovejoy read the speech","https://www.thecrimson.com/article/1891/5/21/honor-for-a-japanese-student-the/","pre1899_asian_actor"
"1891-05-30","1891","1891","Nariaki Kozaki","Appears in Harvard's printed list of commencement speakers","Cambridge; Harvard commencement list","contemporary named institutional newspaper list","B_contemporaneous_named_report","Independently corroborates the earlier report naming Kozaki as a speaker","The list does not preserve his speech or a Lovejoy connection","https://www.thecrimson.com/article/1891/5/30/commencement-speakers-the-list-of-commencement/","pre1899_asian_actor"
"1891-06-24","1891","modern catalogue of 1891 publication","Nariaki Kozaki","Six-page commencement address Influences bearing upon Christian thought in Japan is catalogued","Harvard University; Library of Congress class BR1305 .K6; OCLC 4041424","bibliographic record for an uninspected contemporary pamphlet","C_archival_item_cited_not_examined","Locates a named Asian participant's own potentially recoverable intellectual text","The pamphlet has not been read; its wording and relationship to the newspaper's alternate title remain unverified","https://openlibrary.org/works/OL44825538W/Influences_bearing_upon_Christian_thought_in_Japan","pre1899_asian_actor_primary_pending"
"1891","1891","modern scholarly biography","Arthur O. Lovejoy; Wallace W. Lovejoy","Family relocates to Oakland while Arthur enters the University of California","Oakland; Berkeley","archival scholarly biography summarized in batch174","D_scholarly_retrospective","Places Lovejoy personally in California after Kozaki's Pacific seminary graduation","The family's date of arrival and address require direct contemporary family records","research_notes/lovejoy_pre1899_personal_actions_settlement_politics_deep_sweep_batch174.md","pre1899_personal_action"
"1892-01","1892","1915 authorial retrospective","Basil L. Gildersleeve","Publishes The Creed of the Old South in the Atlantic Monthly","Atlantic Monthly; authorial 1915 preface","author's signed retrospective statement about his own publication","A_signed_primary_witness","Shows the 1898 Harvard classics lecturer had already defended the Old South publicly","JHU Classics gives a conflicting 1896 date; the author's own preface and JHU archives support 1892","https://www.gutenberg.org/files/24281/24281-h/24281-h.htm","pre1899_classicism_political_context"
"1892-05","1892","1892; modern archival description","United States Congress; Chinese residents","Geary Act extends exclusion and requires residence certificates","United States; 27 Stat. 25","federal legislation described by the National Archives","A_primary_legal_text","Establishes racialized documentary requirements during the Lovejoy family's Oakland years","Neither Lovejoy is documented as having commented on the act","https://www.archives.gov/research/chinese-americans/guide","pre1899_legal_context"
"1892-1893 directory year","1892-1893","1892-1893","W. W. Lovejoy","Directory lists W W as professor at Pacific Theological Seminary residing at 450 Plymouth","Oakland; Husted directory Lovejoy alphabetical section","contemporary city directory visible through derivative OCR","B_contemporaneous_directory_ocr","Supplies the first identified institution and address for Lovejoy's father's Oakland teaching position","Printed-page image and seminary faculty catalogue remain unexamined; Arthur himself is not named in this entry","https://ldsgenealogy.com/CA/books/Husteds-Oakland-Alameda-and-Berkeley-directory-1892-3-part-49.htm","pre1899_family_institutional_evidence"
"1892-1893 directory year","1892-1893","1932 corroboration","W. W. Lovejoy; Arthur O. Lovejoy","Later Harvard profile identifies the philosopher as son of Reverend W W Lovejoy","Harvard Crimson biographical notice","later named newspaper corroboration","B_later_named_identity_control","Supports identification of the 1892 directory initials with Arthur Lovejoy's father","Does not independently verify the precise faculty appointment or address","https://www.thecrimson.com/article/1932/3/18/lovejoy-is-appointed-as-william-james/","post_cutoff_identity_control"
"1893-05-15","1893","1893","Fong Yue Ting; Wong Quan; Lee Joe; United States Supreme Court","Court decides consolidated challenges concerning Geary Act registration and deportation","149 U.S. 698","contemporary Supreme Court decision","A_primary_legal_text","Documents the federal legal construction of Chinese residents as deportable under racialized proof rules","No evidence shows Lovejoy read the decision or discussed the litigants","https://www.law.cornell.edu/supremecourt/text/149/698","pre1899_legal_context"
"1893-05-15","1893","1893","Chinese petitioner; Chinese resident witness; federal judge","Chinese testimony establishes residence but is rejected because the statute requires at least one credible white witness","Fong Yue Ting v United States; 149 U.S. 698","contemporary Supreme Court decision quoting the operative evidentiary rule","A_primary_legal_text","Directly demonstrates the racial restriction of who may count as a legally credible witness","A conceptual comparison with Lovejoy's source criticism does not establish borrowing or his personal opinion","https://www.law.cornell.edu/supremecourt/text/149/698","pre1899_legal_context_evidentiary_counterexample"
"1893","1893","1893; 2005 scholarly identification","N. Kozaki; Harvard experimental psychology laboratory","A Japanese participant appears in an 1893 laboratory photograph and is later tentatively identified as Kozaki","Harvard psychology laboratory","contemporary visual artifact with subsequent scholarly identification","D_scholarly_visual_identification","Places a Japanese intellectual within experimental scientific visual culture rather than only as an Oriental textual object","The identification is an inference; the photograph itself does not name Kozaki","https://psych.or.jp/interest/mm-05/","pre1899_asian_actor_identification_inferred"
"1893-10","1893","1893","Herbert Nichols; Harvard psychological laboratory","McClure's Magazine describes psychology-laboratory photographs made for Harvard's World's Fair exhibit","McClure's Magazine October 1893 pages 399-409","contemporary authored and illustrated periodical article","A_signed_primary_witness","Connects scientific photography with university self-representation and an exposition setting","It is unproved that the specific presumed-Kozaki photograph appeared in the exhibit or that Lovejoy saw it","https://readingroo.ms/3/6/8/8/36886/36886-h/36886-h.htm","pre1899_material_culture_context"
"1893-10","1893","1918; 1921 retrospective directories","Nariaki Kozaki","Japanese biographical directories reportedly date his return to Japan to October 1893","Jinji Koshinroku pages linked to National Diet Library images","later biographical directory available through an unverified transcription","C_archival_item_cited_not_examined","Provides a strong chronological control against claiming Kozaki and Lovejoy overlapped at Harvard","NDL printed-page images must be inspected before treating the return date as fully confirmed","https://kazuo1947.livedoor.blog/archives/2625580.html","pre1899_negative_control_primary_pending"
"1893","1893","1893","Nobuta Kishimoto","Advocates a Christianity of Japan rather than an English or American denominational form","World's Parliament of Religions report","contemporary published report quoting a named speaker","B_contemporaneous_named_report","Documents Asian critique of Western Christian authority in a closely related transpacific religious field","The quotation belongs to Kishimoto and must not be reassigned to Hiromichi Kozaki or his brother","https://htdb.space/1893/r1595c.htm","pre1899_asian_actor_quotation_control"
"1893","1893","1893","Hiromichi Kozaki","States that Japanese Christian newspapers are edited by Japanese natives in reality as well as in name","World's Parliament of Religions report","contemporary published report quoting a named speaker","B_contemporaneous_named_report","Documents an Asian claim to actual editorial and intellectual control","Hiromichi is Nariaki's brother; his statement is not evidence of Lovejoy's reading or personal position","https://htdb.space/1893/r1595c.htm","pre1899_asian_actor"
"1895","1895","modern","Pacific Theological Seminary; first admitted women","Institution dates its first admission of women to 1895","Oakland","official institutional historical account","D_institutional_retrospective","Adds a documented gender dimension to the father's institutional environment","Wallace Lovejoy's continued faculty employment in 1895 and his view of admission are unverified","https://www.psr.edu/about/history/","pre1899_institutional_context"
"1891-1895","1891-1895","modern scholarly biography","Arthur O. Lovejoy","Participates in local settlement work as a University of California student","Oakland or Berkeley; institution unidentified","scholarly biographical reconstruction","D_scholarly_retrospective","Documents Lovejoy's own social-service action in the same broad period as exclusion legislation","No named settlement roster identifies his duties or stance toward Chinese immigration","https://philosophy.jhu.edu/about/early-hopkins-philosophers/lovejoy/","pre1899_personal_action"
"1895 autumn onward","1895-1898","modern scholarly biography","Arthur O. Lovejoy; Charles Carroll Everett","Lovejoy studies comparative religion and the psychology of religious faith in Everett's Harvard milieu","Harvard","archival scholarly biography summarized in existing repository notes","D_scholarly_retrospective","Connects Lovejoy personally to the dean who was already in office during Kozaki's 1891 commencement","Exact course enrollment and any discussion of Kozaki remain unproved","research_notes/lovejoy_harvard_orientalist_training_1895_1898.md","pre1899_personal_action"
"1897-02-15 webpage date","1897","modern digital reproduction","Harvard Crimson digital archive; A. O. Lovejoy","A purported February 1897 calendar duplicates the complete 1898 April event sequence","Harvard Crimson online archive","conflicting digitized newspaper page","N_negative_control_date_collision","Prevents treating archive duplicates as separate Lovejoy lectures","Original printed newspaper image must resolve why the 1897 page repeats an April 1898 program","https://www.thecrimson.com/article/1897/2/15/university-calendar-president-and-fellows-of/","pre1899_negative_control"
"1898-03-14 webpage date","1898","modern digital reproduction","Harvard Crimson digital archive; A. O. Lovejoy","A purported March 1898 calendar duplicates the complete 1898 April event sequence","Harvard Crimson online archive","conflicting digitized newspaper page","N_negative_control_date_collision","Prevents inflating one scheduled Other Worldliness lecture into multiple events","Original printed newspaper image must resolve the repeated calendar and conflicting dates","https://www.thecrimson.com/article/1898/3/14/university-calendar-president-and-fellows-of/","pre1899_negative_control"
"1898-04-09 publication; 1898-04-11 scheduled event","1898","1898","Arthur O. Lovejoy; Harvard Religious Union","Lovejoy is scheduled to speak on Other Worldliness at 6:45 p.m.","First Parish Church parlors; Cambridge","contemporary named university newspaper event calendar","B_contemporaneous_named_personal_action","Provides direct evidence that Lovejoy publicly used a key Great Chain concept during the year of his Buddhist article","A schedule is not a surviving transcript or conclusive proof the event actually occurred","https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/","pre1899_personal_action"
"1898-04-09 publication; 1898-04-11 scheduled event","1898","1898","Basil L. Gildersleeve","Gildersleeve is scheduled to lecture on The Poetry of Aristophanes at 4:30 p.m.","Harvard University; same day's calendar as Lovejoy's Religious Union event","contemporary named university newspaper event calendar","B_contemporaneous_named_institutional_context","Places a politically compromised Hopkins classics founder on the same Harvard day as Lovejoy's comparative-religion lecture","Common date and campus do not demonstrate that Lovejoy attended or met Gildersleeve","https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/","pre1899_classicism_political_context"
"1898-04-09 publication; 1898-04-11 scheduled event","1898","1898","Freshman Debating Club; named student disputants","Students debate whether the United States should construct and operate the Nicaragua canal","Harvard University; same day's calendar as Lovejoy's Religious Union event","contemporary named university newspaper event calendar","B_contemporaneous_institutional_context","Documents an imperial-infrastructure question within the same campus public sphere","Lovejoy was not listed as a debater or audience member","https://www.thecrimson.com/article/1898/4/9/university-calendar-april-9-saturdaylectures-on/","pre1899_imperial_context"
"1898","1898","1898","Arthur O. Lovejoy","Publishes The Buddhistic technical terms upadana and upadisesa","Journal of the American Oriental Society volume 19","Lovejoy-authored contemporary scholarly publication","A_signed_primary_witness","Demonstrates his actual source-critical judgments about similarity and identity; etymology and usage; borrowing and arrangement","The article does not itself document opposition to exclusion or familiarity with Kozaki","https://dlbs.liberal.ntu.edu.tw/FULLTEXT/JR-ENG/love.htm","pre1899_personal_action"
"late nineteenth century; precise program dates variable","late nineteenth century","modern","William C. Pond; California Chinese Mission teachers","Congregational missions do not require teachers to learn Chinese and prioritize saving souls over training intellect","California Chinese Mission network","denominational historical study citing missionary practice","D_scholarly_retrospective","Shows paternalistic linguistic hierarchy within a network also involved in antiexclusion activity","Neither Lovejoy is shown to have endorsed or criticized this policy","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_counterexample"
"late nineteenth century; precise program dates variable","late nineteenth century","modern","California Congregationalists; American Missionary Association","Some church actors oppose discriminatory legislation while others support restrictions on Chinese immigration","California; national denominational bodies","denominational historical study","D_scholarly_retrospective","Supplies an internal institutional counterexample to any uniformly progressive mission narrative","Divergent denominational views cannot be assigned to Wallace or Arthur Lovejoy without personal writings","https://www.ucc.org/who-we-are/about/history/about-us_hidden-histories-2_chinese_congregationalism/","pre1899_institutional_counterexample"
"1901","1901","modern","Pacific Theological Seminary","Institution moves from Oakland to Berkeley","Oakland; Berkeley","official institutional historical account","D_institutional_retrospective","Prevents anachronistically placing Wallace Lovejoy's 1892-1893 employer on its later Berkeley campus","The relocation date says nothing about whether he remained on faculty","https://www.psr.edu/about/history/","post_cutoff_identity_and_location_control"
"1903 directory year","1903","1903","Arthur O. Lovejoy; Wallace W. Lovejoy","Directory lists Arthur as teacher and Wallace as reverend at 411 Edwards","Oakland; Husted city directory","contemporary city directory visible through derivative OCR","B_contemporaneous_directory_ocr","Corroborates father-son identity while exposing possible lag or permanent-address bias in city directories","Arthur's Washington University and St Louis activities prevent equating this listing with full-time Oakland residence","https://ldsgenealogy.com/CA/books/Husteds-Oakland-Alameda-and-Berkeley-directory-1903-part-49.htm","post_cutoff_identity_control"
"1910-1915 institutional overlap","1910-1915","modern","Arthur O. Lovejoy; Basil L. Gildersleeve","Lovejoy joins Hopkins in 1910 before Gildersleeve retires in 1915","Johns Hopkins University","official departmental and archival institutional histories","D_institutional_retrospective","Establishes a later shared employer for the two named 1898 Harvard speakers","Employment overlap does not establish collaboration or a personal encounter","https://classics.jhu.edu/about/","post_cutoff_direct_institutional_continuity"
"1915 preface referring to 1892 publication","1915","1915","Basil L. Gildersleeve","Author identifies January 1892 as the Atlantic Monthly publication date of The Creed of the Old South","The Creed of the Old South 1865-1915 preface","author's signed first-person preface","A_signed_primary_witness","Resolves a conflict between 1892 and 1896 institutional publication dates","Use 1892 for first appearance; the 1915 Hopkins republication must not be moved into the 1890s","https://www.gutenberg.org/files/24281/24281-h/24281-h.htm","post_cutoff_bibliographical_control"
"1932-03-18","1932","1932","Arthur O. Lovejoy; Harvard University","Harvard announces simultaneous Theory of Meaning seminar and Great Chain of Being lectures","Harvard William James Lectureship announcement","contemporary named university newspaper report","B_contemporaneous_named_personal_action","Directly links Lovejoy's later semantic seminar and his major history-of-ideas lecture series","The 1932 announcement cannot supply the missing content of his 1898 talk","https://www.thecrimson.com/article/1932/3/18/lovejoy-is-appointed-as-william-james/","post_cutoff_direct_methodological_continuity"
"1933","1933","1933 publication; modern catalogue","Hiromichi Kozaki; Nariaki Kozaki","Hiromichi's English autobiography names Nariaki as translator","Reminiscences of Seventy Years; Christian Literature Society of Japan","bibliographic record for a contemporary named publication","B_contemporaneous_bibliographic_identity_control","Corroborates the relationship and collaboration between the two Kozaki intellectuals","The later translation does not demonstrate a meeting between Nariaki and Lovejoy","https://books.google.com/books/about/Reminiscences_of_Seventy_Years.html?id=mJhCAAAAIAAJ","post_cutoff_identity_control"
"1935-1936","1935-1936","1935-1936","Arthur O. Lovejoy","Uses primitive and otherworldliness in published histories of antiquity and the Great Chain","Primitivism and Related Ideas in Antiquity; The Great Chain of Being","Lovejoy-authored published texts collated in repository research notes","A_signed_primary_witness","Provides direct later conceptual continuities and exclusions relevant to the 1898 lecture title","Later usage cannot prove the undocumented argument of the 1898 lecture","research_notes/Lovejoy_Great_Chain_Essays_Buddhism_India_China_named_sources_audit_2026-08-23.md","post_cutoff_direct_methodological_continuity"
"2005","2005","2005","Tatsuya Sato; Japanese Psychological Association","Scholar identifies N Kozaki from Harvard records and infers a Japanese figure in an 1893 laboratory photograph is Nariaki Kozaki","Japanese Psychological Association article on Harvard psychological experiments","professional-association scholarly reconstruction","D_scholarly_visual_identification","Exposes both the historical presence of a Japanese participant and the inferential character of photograph identification","The article says the identity was inferred; the photograph is not self-authenticating","https://psych.or.jp/interest/mm-05/","post_cutoff_archival_identification_control"
"2006","2006","2006","Yuka Sakai; Doshisha University Faculty of Theology","Publishes a study and catalogue of the Hiromichi Kozaki autograph collection","Kindai Shiryo Kenkyu 6 pages 19-41; National Diet Library Z71-F912","national-library bibliographic record for published archival finding aid","D_scholarly_archival_catalogue","Provides a concrete route toward comparative Japanese manuscript and notebook research","The catalogue has not been read and Nariaki's exact notebook location remains unresolved","https://ndlsearch.ndl.go.jp/books/R000000004-I8704865","post_cutoff_archival_finding_aid"
"2016-10-15","2016","2016","Yuka Sakai; Nariaki Kozaki; Hiromichi Kozaki","Conference report describes both brothers' handwritten notes and Nariaki's church-history lecture notes","Yokohama Protestant-history study meeting","published contemporary meeting report about older manuscripts","D_scholarly_archival_report","Locates an Asian scholar's surviving note-taking practices as a potential paper-technique comparison","Nariaki's described notes belong to the Doshisha context; Harvard notebooks have not been located","https://yokoproken.com/kaiho-inline.html","post_cutoff_archival_finding_aid"
"2026-05","2026","2026","Seiji Hoshino; Nariaki Kozaki","A new Japanese scholarly volume includes a chapter on presenting Japanese Christianity to the West and discusses Kozaki's Harvard commencement speech","Edited volume Kousaku suru shuukyou shisou to Nihon; ISBN 9784623100316","publisher-distributed table of contents and independent contemporary review","D_scholarly_historiography","Places the rediscovered Asian intellectual in a current scholarly discussion of religion and nationalism","The chapter itself has not been consulted and cannot replace the 1891 pamphlet","https://www.hanmoto.com/bd/isbn/9784623100316","post_cutoff_historiographical_control"
"undated modern institutional discrepancy","modern","modern","Pacific Theological Seminary historical successor; unrelated modern namesake","The historical Oakland school is Pacific School of Religion rather than the separate modern pacificseminary.org institution","Institutional naming and succession","official institutional history and identity control","N_negative_control_institution_misidentification","Prevents using an unrelated institution's present faculty or history as nineteenth-century evidence","Only the PSR succession is established; the other school's modern identity is irrelevant to the Lovejoy case","https://www.psr.edu/about/history/","post_cutoff_institutional_identity_control"
"undated modern institutional discrepancy","modern","modern","Johns Hopkins Classics; Basil L. Gildersleeve","JHU Classics dates The Creed of the Old South to 1896 while the author's preface and JHU archives give 1892","Conflicting JHU web pages and 1915 authorial preface","institutional chronological discrepancy","N_negative_control_bibliographical_error","Shows why departmental summaries must be checked against authorial and archival witnesses","Use 1892 for the first publication and do not transfer Gildersleeve's politics to Lovejoy","https://classics.jhu.edu/about/","post_cutoff_bibliographical_negative_control"
