case_id	year_period	actor_object	source_locus	unit_type	relation_type	claim_or_operation	proof_burden_or_failure_mode	evidence_status	control_note
PAREKH_BERKI_CONTEXT	1973	Parekh and Berki / Skinner	JHI 34.2	U3_COMPLEX_WORK+U6_TRADITION/PARADIGM	R1_MEANING+R4_CONTEXTUAL_EXPLANATION	challenge universal necessity of context and readings of definite intention; some works allegedly address general/transhistorical audience	Necessary contextual task must be distinguished from sufficient/exhaustive interpretation	SKINNER_RESPONSE_DIRECT_PB_FULLTEXT_PENDING	research_notes/JHI_Parekh_Berki_1973_Skinner_1974_1976_roundtrip_method_debate_2026-08-31.md
RICHTER_LEXEME	1987	Melvin Richter / Begriffsgeschichte vs history of ideas	JHI 48.2	U1_WORD/CONCEPT	R1_SEMANTIC_IDENTITY+R9_CONTINUITY	same word recurring across time says nothing by itself about sameness of meaning	Lexical identity does not prove semantic continuity	SEARCHABLE_PRIMARY_CONTROL	research_notes/JHI_1987_Great_Chain_fifty_year_reassessment_programme_performance_Begriffsgeschichte_2026-08-31.md
RICHTER_PROGRAMME	1987	Melvin Richter / methods	JHI 48.2	U7_METHOD_TRADITION	R9_CONTINUITY+R6_PRACTICE	compare founders' programmes with actual performances of founders/disciples	Manifesto cannot stand in for executed historical practice	SEARCHABLE_PRIMARY_CONTROL	research_notes/JHI_1987_Great_Chain_fifty_year_reassessment_programme_performance_Begriffsgeschichte_2026-08-31.md
KELLEY_NEW_IH	1990	Donald R Kelley / new intellectual history	JHI 51.1	U7_FIELD_PROGRAMME+U6_CANON	R9_CONTINUITY+R10_TRANSFORMATION	criticizes Lovejoy assumptions but calls new intellectual history extension of encyclopedic/eclectic vision in Lovejovian spirit	Critique of method does not prove rejection/death of field jurisdiction	SEARCHABLE_PRIMARY_CONTROL	research_notes/Kelley_1990_JHI_self_memory_critique_extension_not_rupture_context_canon_2026-08-31.md
RAJU_INDIA	1952	P T Raju / Indian thought	JHI 13.2	U6_REGIONAL_INTELLECTUAL_TRADITION	R9_INTERNAL_DEVELOPMENT	Indian philosophy treated as internally developing historical tradition	Do not reduce regional tradition to source for Western genealogy	DIRECT_TOC+FULLTEXT_CARRIER	research_notes/JHI_execution_census_nonWestern_roles_1940_1955_seed_2026-08-31.tsv
ARDAO_POSITIVISM	1963	Arturo Ardao / Latin America	JHI 24.4	U6_REGIONAL_INTELLECTUAL_TRADITION+U7_RECEPTION_FIELD	R10_ASSIMILATION_TRANSFORMATION	positivism is selectively assimilated and transformed in Latin America	Reception is not passive diffusion or identical reproduction	HIGH_GRADE_BIBLIOGRAPHIC	research_notes/JHI_execution_census_nonWestern_roles_1956_1975_seed_2026-08-31.tsv
CHING_CONFUCIAN	1974	Julia Ching / Confucian Tao-T'ung	JHI 35.3	U6_TRADITION+U7_INTERNAL_SUCCESSION	R5_INTERNAL_TRANSMISSION+R9_CONTINUITY	Confucian orthodoxy/succession reconstructed as internal two-millennia transmission	Transmission need not be West/non-West contact; internal succession has its own warrants	DIRECT_TOC+ABSTRACT	research_notes/JHI_execution_census_nonWestern_roles_1956_1975_seed_2026-08-31.tsv
TAN_TRADITION	2023	Sor-hoon Tan / Chinese classics	History and Theory 62.1	U6_REPRODUCED_TRADITION+U4_PRACTICE	R1_MEANING+R10_REPRODUCTION_TRANSFORMATION	Five Classics/Analects meanings co-created through production reproduction consumption and evolving practices	Identifiable authorial intention may be inadequate unit for traditional text meaning	DIRECT_PUBLISHER_ABSTRACT+ARTICLE_ROUTE_CONTROL	research_notes/UNIT_RELATION_matrix_object_form_workshop_redivision_Lovejoy_to_global_contextualism_1898_2026_2026-08-31.md
IQTIDAR_INTERPRETIVE_CHAIN	2026	Humeira Iqtidar / Islamic political-juridical interpretation	Blau ed PBA281 ch5	U7_LEARNED_INTERPRETIVE_CHAIN+U7_INSTITUTION	R1_CONTEXTUAL_INTERPRETATION+R9_CONTINUITY	context/intention-sensitive interpretation institutionalized from 8th c in long chains linking past present future	Anglo-American canonical novelty does not establish historical priority of analogous interpretive practice	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
JENCO_HISTORICISM	2017	Leigh Jenco / Chinese reorganization of national heritage	EJPT 16.4	U7_HISTORIOGRAPHICAL_TRADITION	R8_GENEALOGY+R10_RECOMBINATION	strict historicism draws on Deweyan and Chinese resources such as Zhang Xuecheng/Zheng Qiao/Gu Jiegang line	Historicism should not be assigned one Western source-route	DIRECT_ACCEPTED_MANUSCRIPT+PUBLISHER_METADATA	research_notes/UNIT_RELATION_matrix_object_form_workshop_redivision_Lovejoy_to_global_contextualism_1898_2026_2026-08-31.md
BAJPAI_DEBATE	2026	Rochana Bajpai / constitutional-parliamentary debates	Blau ed PBA281 ch7	U7_DEBATE_AS_ENTITY	R1_MEANING+R6_POLITICAL_FUNCTION	asks methods for debates as entities/sources of political thought instead of writings of individual thinkers	Author-centered historicism may under-specify multi-speaker debate object	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
TOLONEN_RYAN	2026	Tolonen and Ryan / computational intellectual history	Blau ed PBA281 ch12	U9_LARGE_TEXTUAL_CORPUS+U8_NETWORK	R1_CONTEXT+R7_DISTRIBUTION	computational archives/methods integrate with existing theories; sometimes complement sometimes require adjustment	Scale expansion does not create automatic new foundation; quantitative pattern still needs historical relation typing	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
BASU_MCQUEEN	2026	Basu and McQueen / computational Hobbes	Blau ed PBA281 ch13	U3_UTTERANCE+U9_CORPUS_CONTEXT	R1_MEANING+R4_CONTEXT	uses computational/contextual analysis to test anti-textualist contextual principles in computer age	Clear utterance content does not by itself establish historical meaning/function	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
CANON_TULLY	1988	Tully Meaning and Context	anthology	U6_PORTABLE_DEBATE_CANON	R7_REPRESENTATIVENESS+R10_CANONIZATION	packages Skinner core essays selected critics and reply as portable controversy	Anthology critic set is a representation of debate not exhaustive historical argument ecology	DIRECT_CONTENTS+CONTEMP_RECEPTION	research_notes/Tully_1988_Kelley_1990_competing_method_canons_selection_architecture_2026-08-31.md
CANON_KELLEY	1990	Kelley Canon and Variations	anthology	U6_PORTABLE_FIELD_GENEALOGY	R7_REPRESENTATIVENESS+R10_CANONIZATION	packages JHI method history as Founders Followers Questions	Selected genealogy reflects editorial problem architecture not complete field history	DIRECT_CONTENTS+LATER_RECEPTION	research_notes/Tully_1988_Kelley_1990_competing_method_canons_selection_architecture_2026-08-31.md
CANON_BLAU	2021-26	British Academy conference -> Blau volume	conference/book	U6_CANONICAL_METHOD_PLATFORM+U7_CONFERENCE_NETWORK	R10_MATERIALIZATION+R7_REPRESENTATIVENESS	invitation theme design self-selection publication-route differentiation revisions produce final portable volume	Absent from final book does not prove editorial exclusion; conference paper != final chapter	DIRECT_PROGRAMME+ACKNOWLEDGEMENTS+OPEN_BOOK	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
