year	volume_issue	author	title	region_object	object_unit_primary	object_unit_secondary	unit_confidence	unit_construal_note	role_code	address	evidence_status
1951	12.1	Benjamin Schwartz	Ch'en Tu-Hsiu and the Acceptance of the Modern West	China/Modern West	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	HIGH	named actor's selective uptake of imported modern Western intellectual tradition	R5_REACTION_TRANSFORMATION	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_JSTOR_TOC
1951	12.2	Ernest A. Moody	Galileo and Avempace: The Dynamics of the Leaning Tower Experiment (I)	Islamic/Andalusian philosophy + Europe	U3_AGENT_UTTERANCE	U8_TRACEABLE_NETWORK_CHAIN	HIGH	genealogy organized around named thinkers with transmission/antecedent route as secondary unit	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	WEST_FACING_RELATIONAL	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE
1951	12.3	Ernest A. Moody	Galileo and Avempace: The Dynamics of the Leaning Tower Experiment (II)	Islamic/Andalusian philosophy + Europe	U3_AGENT_UTTERANCE	U8_TRACEABLE_NETWORK_CHAIN	HIGH	continuation of named-thinker source/transmission reconstruction	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC+MPIWG
1952	13.2	Roy Harvey Pearce	The 'Ruines of Mankind': The Indian and the Puritan Mind	Native American / Puritan New England	U1_SEMANTIC_PROPOSITIONAL	U4_PRACTICE_RITE_EVENT	HIGH	Indigenous figure functions as symbolic/representational unit connected to settler cultural process	R7_REPRESENTATION+R8_IDEA_TO_ACTION	SETTLER_INTELLECTUAL_HISTORY	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE
1952	13.4	P. T. Raju	The Development of Indian Thought	India/South Asia	U6_TRADITION_CANON		HIGH	Indian philosophy is the internally developing historical tradition	R1_INTERNAL_CONCEPTUAL_HISTORY	INTERNALLY_ADDRESSED	DIRECT_JSTOR_METADATA+FULLTEXT_CARRIER
1954	15.1	Richard M. Morse	Toward a Theory of Spanish American Government	Spanish America/Latin America	U6_TRADITION_CANON	U7_INSTITUTIONAL_COLLECTIVE_ARENA	MEDIUM	regional political-intellectual formation is principal unit; governmental institutional structure is secondary	R1_INTERNAL_CONCEPTUAL_HISTORY+R6_REGIONAL_HISTORIOGRAPHY	REGIONALLY_ADDRESSED	DIRECT_JSTOR_TOC
1955	16.4	Buddha Prakash	The Hindu Philosophy of History	India/Hindu thought	U6_TRADITION_CANON		HIGH	Hindu historical thought is directly treated as an intellectual tradition	R1_INTERNAL_CONCEPTUAL_HISTORY	INTERNALLY_ADDRESSED	DIRECT_JSTOR_TOC+DOI
1956	17.3	Johanna M. Menzel	The Sinophilism of J. H. G. Justi	China/Germany	U3_AGENT_UTTERANCE	U1_SEMANTIC_PROPOSITIONAL	HIGH	Justi-centered genealogy reconstructs sinophilism/China as model in a named thinker's thought	R2_SOURCE_ANTECEDENT+R7_REPRESENTATION	WEST_FACING_RELATIONAL	DIRECT_BIBLIOGRAPHIC+JSTOR_METADATA
1956	17.4	Arnold H. Rowbotham	The Jesuit Figurists and Eighteenth-Century Religious Thought	China/Europe/Jesuit transmission	U8_TRACEABLE_NETWORK_CHAIN	U7_INSTITUTIONAL_COLLECTIVE_ARENA	HIGH	missionary interpretation/circulation chain and Jesuit collective mediate Chinese classics into Europe	R2_SOURCE_ANTECEDENT+R4_CONTACT_TRANSMISSION	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC+HIGH_GRADE_SECONDARY_CONTROL
1956	17.4	Ursula Lamb	Religious Conflicts in the Conquest of Mexico	Indigenous Mexico/Spanish conquest	U4_PRACTICE_RITE_EVENT	U6_TRADITION_CANON	HIGH	armed intercultural contact/acculturation event links rival religious world-views; not reducible to one author	R5_REACTION_TRANSFORMATION+R8_IDEA_TO_ACTION+R4_CONTACT_TRANSMISSION	COLONIAL_CONTACT_BILATERAL	DIRECT_JSTOR_TOC+SEARCHABLE_FULLTEXT_CONTROL
1959	20.1	George Sansom	Early Sources of Japanese Tradition	Japan	U5_SOURCE_WITNESS_INFRASTRUCTURE	U6_TRADITION_CANON	HIGH	review object is source architecture for a Japanese historical/intellectual tradition	R6_REGIONAL_HISTORIOGRAPHY_REVIEW	REGIONALLY_ADDRESSED_META	DIRECT_JSTOR_TOC
1959	20.2	Max Hamburger	Aristotle and Confucius: A Comparison	China/Greece	U3_AGENT_UTTERANCE	U11_ANALYTIC_CONSTRUCT	HIGH	two canonical thinkers are explicit co-cases inside a comparative construction	R3_COMPARATIVE_COCASE	BILATERAL_COMPARATIVE	DIRECT_JSTOR_TOC
1960	21.2	Arthur F. Wright	The Study of Chinese Civilization	China/Sinology	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U6_TRADITION_CANON	HIGH	Sinology/China studies as a scholarly field becomes the explicit methodological object	R6_REGIONAL_HISTORIOGRAPHY+R9_FIELD_METHOD	REGIONALLY_ADDRESSED_META	DIRECT_METADATA+FULLTEXT_CARRIER
1961	22.2	Max Loehr	The Question of Individualism in Chinese Art	China/art	U6_TRADITION_CANON	U1_SEMANTIC_PROPOSITIONAL	HIGH	Chinese artistic tradition/corpus is a core comparative site for the concept individualism	R3_COMPARATIVE_COCASE+R1_INTERNAL_CONCEPTUAL_HISTORY	BILATERAL_INTERNATIONAL_COMPARATIVE	DIRECT_JSTOR_TOC
1961	22.2	James R. Hightower	Individualism in Chinese Literature	China/literature	U6_TRADITION_CANON	U1_SEMANTIC_PROPOSITIONAL	HIGH	Chinese literary tradition/corpus is treated as comparative intellectual-historical site	R3_COMPARATIVE_COCASE+R1_INTERNAL_CONCEPTUAL_HISTORY	BILATERAL_INTERNATIONAL_COMPARATIVE	DIRECT_JSTOR_TOC
1963	24.1	Nicholas Rescher	Al-Fārābī on Logical Tradition	Islamic/Arabic philosophy	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	HIGH	named philosopher is located inside Arabic/Islamic logical tradition	R1_INTERNAL_CONCEPTUAL_HISTORY+R6_REGIONAL_HISTORIOGRAPHY	INTERNALLY_ADDRESSED	DIRECT_JSTOR_TOC+SEARCHABLE_TEXT_CONTROL
1963	24.1	Franco Venturi	Oriental Despotism	Asia/Middle East/European political representation	U1_SEMANTIC_PROPOSITIONAL	U6_TRADITION_CANON	HIGH	European political concept/representation of Oriental despotism is the principal unit	R7_REPRESENTATION+R6_CONCEPT_HISTORY	WEST_FACING_REPRESENTATION_META	DIRECT_JSTOR_TOC+HIGH_GRADE_SECONDARY_CONTROL
1963	24.4	Arturo Ardao	Assimilation and Transformation of Positivism in Latin America	Latin America	U6_TRADITION_CANON		HIGH	regional intellectual tradition/process selectively transforms imported positivism	R5_REACTION_TRANSFORMATION+R6_REGIONAL_HISTORIOGRAPHY	REGIONALLY_ADDRESSED_RECEPTION	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE
1965	26.4	Majid Fakhry	Al-Farabi and the Reconciliation of Plato and Aristotle	Islamic philosophy	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	HIGH	named Islamic philosopher's internal conceptual recombination is central unit	R1_INTERNAL_CONCEPTUAL_HISTORY+R4_INTELLECTUAL_RECOMBINATION	INTERNALLY_ADDRESSED_WITH_CLASSICAL_RELATION	DIRECT_JSTOR_TOC
1965	26.4	Conrad Schirokauer	Balazs on China	China	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U5_SOURCE_WITNESS_INFRASTRUCTURE	MEDIUM	review-discussion treats China scholarship as field-level object through a specific scholarly work	R6_REGIONAL_HISTORIOGRAPHY_REVIEW	REGIONALLY_ADDRESSED_META	DIRECT_JSTOR_TOC
1966	27.1	Ainslie T. Embree	Ways of Thinking of Eastern Peoples: India-China-Tibet-Japan	India/China/Tibet/Japan	U5_SOURCE_WITNESS_INFRASTRUCTURE	U6_TRADITION_CANON	HIGH	review evaluates Nakamura's comparative synthesis across differentiated Asian intellectual traditions	R3_COMPARATIVE_META+R6_REGIONAL_HISTORIOGRAPHY_REVIEW+R9_FIELD_INTERFACE	META_COMPARATIVE_ASIAN	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE
1967	28.1	Dale Riepe	Emerson and Indian Philosophy	India/United States	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	HIGH	Emerson-centered source/influence genealogy from Indian philosophical materials	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION	WEST_FACING_RELATIONAL	DIRECT_JSTOR_TOC+HIGH_GRADE_BIBLIOGRAPHIC
1967	28.3	Warren E. Gates	The Spread of Ibn Khaldun's Ideas on Climate and Culture	Islamic/North African thought + Europe	U8_TRACEABLE_NETWORK_CHAIN	U3_AGENT_UTTERANCE	HIGH	spread/influence route rather than named source alone is principal historical unit	R4_TRANSMISSION+R2_SOURCE_ANTECEDENT	RELATIONAL_TRANSMISSION	DIRECT_JSTOR_TOC+FULLTEXT_CARRIER
1968	29.1	Carl T. Jackson	The Meeting of East and West: The Case of Paul Carus	Asia/United States/Buddhism and comparative religion	U3_AGENT_UTTERANCE	U8_TRACEABLE_NETWORK_CHAIN	HIGH	Carus as named mediator anchors a wider East-West encounter/circulation network	R4_CONTACT_TRANSMISSION+R9_FIELD_INTERFACE+R5_REACTION_TRANSFORMATION	EAST_WEST_RELATIONAL	DIRECT_JSTOR_TOC+HIGH_GRADE_BIBLIOGRAPHIC
1969	30.3	Hajime Nakamura	Review: Donald F. Lach, Asia in the Making of Europe	Asia-Europe	U5_SOURCE_WITNESS_INFRASTRUCTURE	U8_TRACEABLE_NETWORK_CHAIN	HIGH	review evaluates a synthesis whose object is Asia-Europe transmission/circulation	R2_SOURCE_ANTECEDENT+R4_TRANSMISSION+R9_FIELD_INTERFACE	RELATIONAL_META	HIGH_GRADE_BIBLIOGRAPHIC
1970	31.4	Robert C. Williams	The Russian Soul: A Study in European Thought and Non-European Nationalism	Russia/Europe	U6_TRADITION_CANON	U8_TRACEABLE_NETWORK_CHAIN	HIGH	national/intellectual tradition is transformed through cyclical transfer rather than one-way borrowing	R5_REACTION_TRANSFORMATION+R4_CYCLICAL_TRANSFER+R6_REGIONAL_HISTORIOGRAPHY	REGIONALLY_ADDRESSED_RELATIONAL	DIRECT_JSTOR_TOC+SEARCHABLE_FULLTEXT_CONTROL
1971	32.4	Jeffrey L. Klaiber	The Non-Communist Left in Latin America	Latin America	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U6_TRADITION_CANON	MEDIUM	collective political-intellectual formation/movement is principal object rather than a single thinker	R1_INTERNAL_CONCEPTUAL_HISTORY+R6_REGIONAL_HISTORIOGRAPHY+R5_REACTION_TRANSFORMATION	REGIONALLY_ADDRESSED	DIRECT_BIBLIOGRAPHIC_HIGH_GRADE
1972	33.2	Ronald Hilton	Is Intellectual History Irrelevant? The Case of the Aztecs	Aztec/Mexico/Chicano political memory	U6_TRADITION_CANON	U7_INSTITUTIONAL_COLLECTIVE_ARENA	MEDIUM	ancient/colonial past as reproduced political memory/canon intersects contemporary identity arena; full text still pending	R8_PRESENT_IDENTITY_POLITICS+R9_METHOD_RELEVANCE	META_PRESENT_POLITICAL	DIRECT_JSTOR_TOC_TEXT_NOT_FULLY_LOCKED
1974	35.3	Julia Ching	Truth and Ideology: The Confucian Way (Tao) and its Transmission (Tao-T'ung)	China/Confucianism	U6_TRADITION_CANON	U8_TRACEABLE_NETWORK_CHAIN	HIGH	Confucian tradition plus internally articulated succession/transmission chain are explicit units	R1_INTERNAL_CONCEPTUAL_HISTORY+R4_INTERNAL_TRANSMISSION	INTERNALLY_ADDRESSED	DIRECT_JSTOR_TOC+ABSTRACT_CONTROL
1975	36.1	Jorge J. E. Gracia	Importance of the History of Ideas in Latin America: Zea's Positivism in Mexico	Latin America/Mexico	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U6_TRADITION_CANON	HIGH	regional historia de las ideas becomes a historiographical field/arena and an explicit object of evaluation	R6_REGIONAL_HISTORIOGRAPHY+R9_METHOD_META	REGION_AS_HISTORIOGRAPHICAL_FIELD	DIRECT_JSTOR_TOC
