record_id,event_year,source_publication_year,subject,primary_source,evidence_grade,documented_finding,evidence_limit
B186-18,1900,1902,Lovejoy American Oriental Society membership extended to December 1900,https://www.jstor.org/stable/592505,A_direct_contemporary_dated_corporate_member_roll,"A corporate-member list expressly revised December 1900 retains Arthur Oncken Lovejoy and gives his year of election as 1897.",The roll's 1900 revision does not prove continued membership when its containing index was issued in April 1902.
B186-19,1900,1902,American Oriental Society record of Lovejoy Paris correspondence address,https://www.jstor.org/stable/592505,A_direct_contemporary_dated_corporate_member_roll,"The December 1900 member roll records Lovejoy's institutional correspondence address as 5 Rue Rollin in Paris.",The address may be administratively stale and does not establish physical residence in Paris during 1900 or 1902.
B186-20,1903,1903,Upper bound on Lovejoy American Oriental Society membership,https://www.jstor.org/stable/592370,A_direct_contemporary_alphabetized_member_roll,"The roll revised January 1903 passes from Jacob W. Loch to Percival Lowell without listing Lovejoy.",His exact departure date and reason remain unproved; the corrected exit interval runs after December 1901 and before January 1903.
B186-21,1901,1901,Lovejoy American Oriental Society membership extended to December 1901,https://www.jstor.org/stable/592404,A_direct_contemporary_dated_corporate_member_roll,"A corporate-member list expressly revised December 1901 retains Arthur Oncken Lovejoy and again gives his 1897 election year.",The 1901 volume label must not be mistaken for a separately established physical issue date.
B186-22,1901,1901,American Oriental Society reports no current Lovejoy mailing address,https://www.jstor.org/stable/592404,A_direct_contemporary_dated_corporate_member_roll,"The December 1901 roster replaces Lovejoy's prior Paris address with the explicit notation [address desired.].",The notation establishes missing correspondence information but does not establish resignation or nonpayment.
B186-23,1897,1897,Albert J Edmunds and Lovejoy share American Oriental Society membership,https://www.jstor.org/stable/592296,A_direct_contemporary_corporate_member_roll,"The same AOS member roll identifies Albert J. Edmunds at the Historical Society of Pennsylvania and Arthur Oncken Lovejoy under his Harvard affiliation.",Shared membership does not establish a meeting or correspondence.
B186-24,1903,1903,Named Pali Text Society specialist selects Lovejoy article,https://palitextsociety.org/wp-content/uploads/2024/12/JPTS_V_11.pdf,A_direct_signed_specialist_bibliography,"On page 44 Albert J. Edmunds explicitly lists Lovejoy's 1898 Buddhist technical-term article in his signed Buddhist bibliography.",Signed bibliographic selection does not establish argumentative citation or full-text agreement.
B186-25,1903,1903,Contemporary classification of Lovejoy alongside Lévi and Jacobi,https://palitextsociety.org/wp-content/uploads/2024/12/JPTS_V_11.pdf,A_direct_signed_specialist_bibliography,"Edmunds places Lovejoy in Comparative Religion Psychology and special criticism immediately after Sylvain Lévi and near Jacobi's Buddhism–Sāṃkhya–nidāna study.",Published classificatory proximity does not establish interpersonal influence.
B186-26,1892,1893,Formal authorship of Chinese Milindapañha study,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11540831_00584/full/full/0/default.jpg,A_direct_contemporary_printed_proceedings,"The title on page 518 assigns Deux traductions chinoises du Milindapañho to Édouard Specht and separately labels the opening section Introduction par M. Sylvain Lévi.",The explicit division should not be flattened into undifferentiated coauthorship; no Lovejoy contact is established.
B186-27,1892,1893,Lévi initiates Specht investigation from Nanjio catalogue clue,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11540831_00585/full/full/0/default.jpg,A_direct_contemporary_first_person_account,"On page 519 Lévi says that Nanjio catalogue number 1398 prompted him to communicate the Chinese Nagasena-sutra lead to Specht who immediately began investigating it.",Lévi's account establishes a research handoff but not Lovejoy's awareness of it.
B186-28,1892,1893,Specht acknowledges Lévi Pali comparison work,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11540831_00586/full/full/0/default.jpg,A_direct_contemporary_first_person_account,"On page 520 Specht says Lévi drew his attention to the Chinese translation and compared the Pali text with the passages Specht translated.",The reciprocal acknowledgement defines collaboration but does not prove equal authorship or Lovejoy's use.
B186-29,1892,1893,Ryauon Fujishima supplies Paris Société Asiatique Buddhist source object,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11540831_00587/full/full/0/default.jpg,A_direct_contemporary_material_provenance_statement,"Specht's page 521 note says an 1881 Japanese Ta-ts'ang-king reprinted both Chinese versions and that Ryauon Fujishima's generosity gave the Société Asiatique de Paris a copy.",The institutional copy does not establish that Lovejoy consulted it or knew Fujishima.
B186-30,1892,1893,Chinese Milindapañha recension treats soul rebirth and transmigration,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11540831_00587/full/full/0/default.jpg,A_direct_contemporary_textual_comparison,"Specht states that the expanded Chinese recension's second book treats the soul and its faculties rebirth and transmigration while comparing three successive recensions.",The thematic overlap with Lovejoy's documented Milindapañha work is object-level only and proves no transmission.
B186-31,1892,1893,La Vallée Poussin reads Specht Lévi Milindapañha paper in London,https://api.digitale-sammlungen.de/iiif/image/v2/bsb11540831_00039/full/full/0/default.jpg,A_direct_contemporary_official_session_report,"The congress meeting report for Friday afternoon 9 September 1892 says La Vallée Poussin read the paper and calls it the joint production of Specht and Lévi.",The report records no ensuing discussion and does not establish either authors' presence or any Lovejoy connection.
B186-32,1902,1902,Lovejoy explicitly reuses his 1898 Buddhist analysis,https://archive.org/details/jstor-3153919/page/n4/mode/1up,A_direct_authorial_self_citation,"On printed page 442 Lovejoy directs readers from his Buddhist account of change volition and dependent origination to the writer's earlier paper on upādāna and upādisesa.",The self-citation establishes authorial continuity but not that Paris caused the broader 1902 formulation.
B186-33,1902,1902,Lovejoy printed self-miscitation of JAOS volume,https://archive.org/details/jstor-3153919/page/n4/mode/1up,A_direct_page_image_bibliographic_correction,"The footnote visibly prints Vol. XVIII although the explicitly titled 1898 paper appeared in JAOS volume XIX.",The wrong numeral does not create a second article and should not be silently attributed to OCR.
