academic_year,event_date_as_printed,event_date_normalized,speaker_as_printed,affiliation_or_location_as_printed,default_membership_by_source_footnote,title_as_printed,record_status,minutes_status,thematic_tags,source_line,editorial_flags,source_url,source_pages
1926–27,"February 23, 1927",1927-02-23,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),French Theories of Internationalism in the Early Nineteenth Century,documented,not_individually_verified,politics,158,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1926–27,"March 23, 1927",1927-03-23,Raymond D. Havens,,Johns Hopkins University (appendix footnote; appointment/rank not established),Thomas Warton and the Eighteenth Century Dilemma,documented,not_individually_verified,,162,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1926–27,April? 1927,1927-04,Ford Brown,St. John’s College,,Hannah More and the French Revolution,documented,not_individually_verified,politics,166,date_uncertain_as_printed,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1927–28,"November 11, 1927",1927-11-11,Albert Feuillerat,University of Rennes,,Symposium: the Objectives of the Study of the History of Literature,documented,not_individually_verified,,171,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1927–28,"December 15, 1927",1927-12-15,Edwin Greenlaw,,Johns Hopkins University (appendix footnote; appointment/rank not established),A Sixteenth Century Battle of the Books,documented,not_individually_verified,,175,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1927–28,"January 17, 1928",1928-01-17,H. Carrington Lancaster,,Johns Hopkins University (appendix footnote; appointment/rank not established),"Ideas about Politics, Marriage, Medicine, etc., in the French Drama of the Early Seventeenth Century",documented,not_individually_verified,politics,179,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1927–28,"February 14, 1928",1928-02-14,John C. Hemmeter,Baltimore,,Pre-requisites to a Philosophy of History,documented,not_individually_verified,,183,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1927–28,"March 22, 1928",1928-03-22,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),Thomas Jefferson and the French Revolution,documented,not_individually_verified,politics,187,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1927–28,"April 17, 1928",1928-04-17,T. M. Raysor,,Johns Hopkins University (appendix footnote; appointment/rank not established),Coleridge’s Rebuttal of Eighteenth Century Shakespearian Criticism,documented,not_individually_verified,method_and_warrant,190,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1928–29,"November 22, 1928",1928-11-22,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),Notes on Primitivism in Antiquity,documented,not_individually_verified,primitivism;lovejoy;classics,196,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1928–29,"December 20, 1928",1928-12-20,Tenney Frank,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Diffusion of Religions in the Roman Empire,documented,not_individually_verified,classics,200,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1928–29,"January 10, 1929",1929-01-10,Albert Schinz,University of Pennsylvania,,A New Approach to Rousseau,documented,not_individually_verified,,204,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1928–29,"February 28, 1929",1929-02-28,Edwin Greenlaw,,Johns Hopkins University (appendix footnote; appointment/rank not established),Notes towards a History of Research in the Seventeenth Century,documented,not_individually_verified,,208,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1928–29,"March 21, 1929",1929-03-21,John R. Oliver,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Puzzles of the Hippocratean Corpus,documented,not_individually_verified,,211,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1928–29,"May 2, 1929",1929-05-02,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),Ideas about Animal Intelligence in the Sixteenth and Seventeenth Centuries,documented,not_individually_verified,primitivism,215,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1929–30,"November 11, 1929",1929-11-11,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),Thomas Jefferson: Philosopher of Americanism,documented,not_individually_verified,,221,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1929–30,"December 12, 1929",1929-12-12,Hessell E. Yntema,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Scientific Idea in Law,documented,not_individually_verified,,225,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1929–30,"January 9, 1930",1930-01-09,Edward B. Mathews,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Age of the Earth,documented,not_individually_verified,,229,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1929–30,"February 13, 1930",1930-02-13,Adolf E. Zucker,University of Maryland,,The Ideas in Ibsen’s Plays,documented,not_individually_verified,,233,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1929–30,"March 12, 1930",1930-03-12,Stephen D’Irsay,,Johns Hopkins University (appendix footnote; appointment/rank not established),Public Opinion in the Medieval Universities,documented,not_individually_verified,,236,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1929–30,"April 10, 1930",1930-04-10,W. Lee Ustick,Goucher College,,Some Seventeenth Century Books of Courtesy,documented,not_individually_verified,goucher,240,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1930–31,"December 11, 1930",1930-12-11,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),Saturn and the Golden Age,documented,not_individually_verified,primitivism,246,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1930–31,"January 15, 1931",1931-01-15,David Macht,Baltimore,,The Four Dimensions of Pharmacodynamics,documented,not_individually_verified,,250,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1930–31,"January 30, 1931",1931-01-30,S. B. Liljegren,University of Greifswald,,Certain Aspects of Romanticism between Werther and Wilde,documented,not_individually_verified,classics,254,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1930–31,"February 26, 1931",1931-02-26,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),John Adams and the French Philosophers,documented,not_individually_verified,,257,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1930–31,"March 12, 1931",1931-03-12,Kemp Malone,,Johns Hopkins University (appendix footnote; appointment/rank not established),Observations on Gilman’s Hopkins,documented,not_individually_verified,,261,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1930–31,"May 1, 1931",1931-05-01,Annette B. Hopkins,Goucher College,,Liberalism in the Social Teachings of Mrs. Gaskell,documented,not_individually_verified,women_scholars;goucher;politics,265,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1931–32,"November 18, 1931",1931-11-18,B. H. Hartogenesis,,Johns Hopkins University (appendix footnote; appointment/rank not established),Christian Domination of Maryland’s Government Past and Present,documented,not_individually_verified,,271,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1931–32,"December 15, 1931",1931-12-15,Hazelton Spencer,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Metamorphosis of Prince Hamlet,documented,not_individually_verified,,275,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1931–32,"January 20, 1932",1932-01-20,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),Grounds and Effects of the New Cosmography in the Seventeenth and Eighteenth Centuries,documented,not_individually_verified,lovejoy;science_cosmology,278,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1931–32,"February 17, 1932",1932-02-17,W. Lee Ustick,Goucher College,,Changing Ideals of Aristocratic Character and Conduct in the Sixteenth and Seventeenth Centuries,documented,not_individually_verified,goucher,282,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1931–32,"March 16, 1932",1932-03-16,R. Florence Brinkley,Goucher College,,Political and Literary Use of the Arthurian Legend in the Seventeenth Century,documented,not_individually_verified,women_scholars;goucher;politics,286,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1931–32,"April 27, 1932",1932-04-27,Kent Roberts Greenfield,,Johns Hopkins University (appendix footnote; appointment/rank not established),"Some Currents of Thought on Social Questions in Northern Italy, 1815–1848",documented,not_individually_verified,politics,289,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1932–33,"November 16, 1932",1932-11-16,Buford Johnson,,Johns Hopkins University (appendix footnote; appointment/rank not established),Changing Conceptions in Individual Psychology,documented,not_individually_verified,,295,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1932–33,"December 9, 1932",1932-12-09,Henry Sigerist,,Johns Hopkins University (appendix footnote; appointment/rank not established),Medical Theory and Medical Practice,documented,not_individually_verified,,299,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1932–33,"January 25, 1933",1933-01-25,David Macht,Baltimore,,"Alcohol, Nicotine and Coffee",documented,not_individually_verified,,303,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1932–33,"February 15, 1933",1933-02-15,Irvin C. Holden,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Present Status of Technocracy,documented,not_individually_verified,,307,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1932–33,"March 23, 1933",1933-03-23,Louis I. Bredvold,,Johns Hopkins University (appendix footnote; appointment/rank not established),Pyrrhonism and Dryden’s Catholicism,documented,not_individually_verified,,311,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1933–34,"November, 1933",1933-11,,,,,no_record_as_printed,all_minutes_missing_reconstructed_from_letters_diaries_other_records,,320,speaker_and_topic_unrecorded,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1933–34,"December 12, 1933",1933-12-12,Gordon Harper,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Newman-Froude Letters,documented,all_minutes_missing_reconstructed_from_letters_diaries_other_records,,324,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1933–34,"January 11, 1934",1934-01-11,Dorothy Stimson,Goucher College,,Comenius and the ‘Invisible College’,documented,all_minutes_missing_reconstructed_from_letters_diaries_other_records,women_scholars;goucher,328,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1933–34,"February, 1934",1934-02,Harold Cherniss,,Johns Hopkins University (appendix footnote; appointment/rank not established),Aristotle’s Criticism of the Pre-Socratics,documented,all_minutes_missing_reconstructed_from_letters_diaries_other_records,method_and_warrant;classics,332,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1933–34,"March 8, 1934",1934-03-08,Paul E. Dumont,,Johns Hopkins University (appendix footnote; appointment/rank not established),Primitivism in Ancient India,documented,all_minutes_missing_reconstructed_from_letters_diaries_other_records,primitivism;south_asia;orientalist_specialist,336,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1933–34,"April 12, 1934",1934-04-12,Ray Heffner,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Defense of Constituted Authority by Spenser and Shakespeare,documented,all_minutes_missing_reconstructed_from_letters_diaries_other_records,politics,339,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,"November, 1934",1934-11,,,,,no_record_as_printed,minutes_missing_except_april_reconstructed_from_other_sources,,347,speaker_and_topic_unrecorded,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,"December 13, 1934",1934-12-13,Sidney Painter,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Ideas of Chivalry,documented,minutes_missing_except_april_reconstructed_from_other_sources,,351,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,"January, 1935",1935-01,,,,,no_record_as_printed,minutes_missing_except_april_reconstructed_from_other_sources,,355,speaker_and_topic_unrecorded,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,"February 14, 1935",1935-02-14,W. Stull Holt,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Idea of Scientific History in America,documented,minutes_missing_except_april_reconstructed_from_other_sources,,359,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,"March 14, 1935",1935-03-14,Charles A. Beard,,Johns Hopkins University (appendix footnote; appointment/rank not established),“on the philosophy of history”,documented,minutes_missing_except_april_reconstructed_from_other_sources,,363,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,"April 11, 1935",1935-04-11,Joseph S. Ames,,Johns Hopkins University (appendix footnote; appointment/rank not established),Fifty Years of American University Education,documented,april_minutes_reported_present,,367,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1934–35,November or January?,,Louis Teeter,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Influence of Hobbes on Restoration Drama,documented,minutes_missing_except_april_reconstructed_from_other_sources,,370,date_uncertain_as_printed;year_not_supplied_as_printed,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1935–36,"November 21, 1935",1935-11-21,Isaiah Bowman,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Perils of the Adolescent Idea,documented,not_individually_verified,,376,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1935–36,"December 12, 1935",1935-12-12,Raymond D. Havens,,Johns Hopkins University (appendix footnote; appointment/rank not established),Animism in Wordsworth,documented,not_individually_verified,,380,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1935–36,"February 14, 1936",1936-02-14,Dorothy Miner,Walters Art Gallery,,The Idea of Artistic Originality in the Middle Ages,documented,not_individually_verified,women_scholars;material_visual_workshop,384,same_date_printed_for_two_separate_entries,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1935–36,"February 14, 1936",1936-02-14,Francis D. Murnaghan,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Idea of Number,documented,not_individually_verified,,388,same_date_printed_for_two_separate_entries,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1935–36,"March 14, 1936",1936-03-14,H. Carrington Lancaster,,Johns Hopkins University (appendix footnote; appointment/rank not established),Louis XIV on the Stage,documented,not_individually_verified,,392,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1935–36,"April 9, 1936",1936-04-09,Gustav Grünbaum,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Aspects of Humanism in Italy,documented,not_individually_verified,,395,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1936–37,"November 12, 1936",1936-11-12,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),A Note on the History of Taste,documented,not_individually_verified,,401,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1936–37,"December 10, 1936",1936-12-10,Ludwig Edelstein,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Humanistic Approach to Greek and Roman Science,documented,not_individually_verified,classics,405,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1936–37,"January 14, 1937",1937-01-14,Theodor Mommsen,,Johns Hopkins University (appendix footnote; appointment/rank not established),Early Tuscan Architecture in Terms of Spiritual and Political Science,documented,not_individually_verified,politics,409,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1936–37,"February 27, 1937",1937-02-27,Niels Bohr,University of Copenhagen,,The Problem of Causality in Atomic Theory,documented,not_individually_verified,science_cosmology,413,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1936–37,"April 1, 1937",1937-04-01,Carl Becker,Cornell University,,Some Limitations of Historical Evidence,documented,not_individually_verified,method_and_warrant,416,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1936–37,"April 8, 1937",1937-04-08,William F. Albright,,Johns Hopkins University (appendix footnote; appointment/rank not established),"Art, Architecture and History",documented,not_individually_verified,orientalist_specialist,420,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1937–38,"November 18, 1937",1937-11-18,Leo Spitzer,,Johns Hopkins University (appendix footnote; appointment/rank not established),A Syntactic and Stylistic Feature of the Modern French Novel,documented,not_individually_verified,,426,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1937–38,"December 8, 1937",1937-12-08,Francis D. Murnaghan,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Basic Ideas of Arithmetic and Algebra,documented,not_individually_verified,,430,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1937–38,"January 19, 1938",1938-01-19,Gilbert Chinard,,Johns Hopkins University (appendix footnote; appointment/rank not established),"Planned Economy in the Eighteenth Century: Morelly’s Le Prince, La Basiliade and Code de la Nature",documented,not_individually_verified,,434,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1937–38,"February 10, 1938",1938-02-10,Kemp Malone,,Johns Hopkins University (appendix footnote; appointment/rank not established),Grundtvig’s Philosophy of History,documented,not_individually_verified,,437,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1937–38,"March 10, 1938",1938-03-10,J. von Neumann,"Institute for Advanced Study, Princeton",,Causality and Modern Physics,documented,not_individually_verified,science_cosmology,441,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1937–38,"April 14, 1938",1938-04-14,Eugene N. Curtis,Goucher College,,What was the French Revolution?,documented,not_individually_verified,goucher;politics,445,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1938–39,"November 17, 1938",1938-11-17,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Prolegomena to a Possible History of Ideas concerning the Temporal Infinity of the World,documented,not_individually_verified,lovejoy;method_and_warrant;science_cosmology,451,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1938–39,"December 15, 1938",1938-12-15,Hans Baren,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Social Background of the Florentine Renaissance,documented,not_individually_verified,politics,455,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1938–39,"January 12, 1939",1939-01-12,Owen Lattimore,,Johns Hopkins University (appendix footnote; appointment/rank not established),Central Asian Migrations and Conquests,documented,not_individually_verified,asian_material,458,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1938–39,"February 9, 1939",1939-02-09,Albert K. Weinberg,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Historical Meaning of the American Doctrine of Isolation,documented,not_individually_verified,politics,462,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1938–39,"March 9, 1939",1939-03-09,Ola E. Winslow,Goucher College,,The Significance of Jonathan Edwards in American Religious History,documented,not_individually_verified,women_scholars;goucher,466,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1938–39,"April 14, 1939",1939-04-14,Johannes Mattern,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Use and Abuse of Ideologies,documented,not_individually_verified,politics,470,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1939–40,"November 9, 1939",1939-11-09,Harold Cherniss,,Johns Hopkins University (appendix footnote; appointment/rank not established),"The Biographical Fashion in Literary Criticism, with a reply read by Townsend Scudder, Swarthmore College",documented,not_individually_verified,method_and_warrant,476,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1939–40,"December 14, 1939",1939-12-14,Erwin Goodenough,Yale University,,Pictorial Symbol and Religious Idea in Classical Antiquity,documented,not_individually_verified,material_visual_workshop;classics,479,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1939–40,"January 11, 1940",1940-01-11,Sanford V. Larkey,,Johns Hopkins University (appendix footnote; appointment/rank not established),Magic and the Origin of Medicine,documented,not_individually_verified,,483,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1939–40,"February 8, 1940",1940-02-08,Elio Gianturco,Library of Congress,,The Relation of the Thought of Montesquieu to that of Vico,documented,not_individually_verified,,487,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1939–40,"March 14, 1940",1940-03-14,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),Notes on the Romantic Theory of Knowledge,documented,not_individually_verified,lovejoy;method_and_warrant;classics,491,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1939–40,"April 18, 1940",1940-04-18,Lionello Venturi,New York City,,The Idea of Impressionism,documented,not_individually_verified,,495,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
