source_file,source_batch,source_row,source_field_count,record_id,country,repository,collection_title,collection_id,series_path,component_title,description_level,date_start,date_end,extent,lovejoy_role,other_party,box,folder,item_or_folio,source_status,verification_status,source_url,notes,source_overflow_1
archive_index/lovejoy_global_archive_component_batch96_delta.csv,96,4,20,GLA0039,US,Harvard Law School Library Historical & Special Collections,Roscoe Pound papers,LAW.MMC.084,Microfilm-era Series I/IX arrangement,Lovejoy correspondence preserved on Pound Papers Reel 9,microfilm_correspondence_group,1913-10-21,1915-03-14,at least 2 specifically cited Lovejoy letters,sender,Roscoe Pound,,,Reel 9,scholarly_exact_item_and_reel_citations_plus_official_collection_confirmation,confirmed_microfilm_reel_current_box_folder_crosswalk_pending,https://hollisarchives.lib.harvard.edu/catalog/law00087,Tiede cites Lovejoy to Pound 21 Oct 1913 and Lovejoy to Pound 14 Mar 1915 to Pound Papers Reel 9. Harvard's official finding aid confirms LAW.MMC.084 and explains that the 1986 microfilm reorganization altered Series I/IX and that the current online finding aid restored material to Series I. Current box/folder equivalents for the Reel-9 Lovejoy items therefore require an explicit microfilm-to-current crosswalk. Do not assume the 21 Oct 1913 letter is identical to the separately reported Hopkins Call copy.,
archive_index/lovejoy_global_archive_component_batch96_delta.csv,96,5,21,GLA0040,US,Southern Illinois University Center for Dewey Studies,The Correspondence of John Dewey,Comprehensive Edition,electronic editorial correspondence corpus,Exact Lovejoy-containing Dewey Correspondence records identified by Tiede,digital_derivative_group,1914-05-01,1915-04-05,at least 4 exact editorial records,sender_or_coauthor,Roscoe Pound; John Dewey; Edward Emerson Barnard; Ross Granville Harrison,,,,05403; 02649; 06424; 03202,secondary_exact_editorial_ids_plus_official_editorial_corpus_confirmation,confirmed_derivative_records_original_custody_varies,https://deweycenter.siu.edu/center-information/letters/finding-new-correspondence.php,Tiede cites 1914.05.01 (05403) Lovejoy to Pound; 1914.05.15 (02649) Lovejoy to Dewey; 1914.11.17 (06424) Dewey and Lovejoy to Edward Emerson Barnard; and 1915.04.05? (03202) Lovejoy to Ross Granville Harrison in the Dewey Correspondence. SIU confirms that the Correspondence is an electronic editorial corpus built from photocopies/transcriptions of letters gathered from dispersed repositories; the Center is not an archive of the originals. These IDs are therefore powerful derivative locators but not original-custody locators.
archive_index/lovejoy_global_archive_component_batch98_delta.csv,98,2,20,GLA0041,US,George Washington University Special Collections Research Center,American Association of University Professors archives,,Historical Files,J. E. Creighton to Arthur O. Lovejoy founding correspondence,correspondence_document_group,1913-05-23,1913-11-13,3 specifically cited letters,recipient,J. E. Creighton,,,,scholarly_exact_item_and_series_citations_plus_official_archive_presence,confirmed_specific_documents_current_call_number_container_pending,https://www.aaup.org/about/history/aaup-archives,"Tiede cites Creighton to Lovejoy dated 23 May, 6 Nov and 13 Nov 1913 to AAUP Archives (GWU), Historical Files. The AAUP official archive page independently confirms that the Association archives, dating from the founding era, are housed at George Washington University. Current GWU collection identifier and box/folder remain unresolved.",
archive_index/lovejoy_global_archive_component_batch98_delta.csv,98,3,20,GLA0042,US,George Washington University Special Collections Research Center,American Association of University Professors archives,,Lovejoy Papers / founding files,Lovejoy-related founding records preserved in AAUP organizational archive,organizational_document_group,1913-05-23,1915-01-02,at least one specifically dated incoming letter plus named subject/minutes files,recipient_and_organizational_officer,James McKeen Cattell; AAUP organizing meeting,,,,scholarly_exact_archival_citations_plus_official_archive_presence,confirmed_document_and_named_file_presence_current_call_number_container_pending,https://www.aaup.org/about/history/aaup-archives,"Tiede cites Cattell to Lovejoy, 23 May 1913, to 'AAUP Archives, Lovejoy Papers'; separately cites 'Subjects: Academic Freedom I', 'Subjects: Academic Freedom II', and 'Minutes of the Meeting for the Organization of the American Association of University Professors' to the same archival layer. These references establish an organizational Lovejoy documentary stratum distinct from JHU MS-0038, but the current GWU hierarchy/call number is not publicly resolved. Do not treat every named file as Lovejoy-authored material.",
archive_index/lovejoy_global_archive_component_batch100_delta.csv,100,2,20,GLA0043,US,Columbia University Rare Book and Manuscript Library,"Harlan Fiske Stone Papers, 1911-1924",,office correspondence,Stone-Lovejoy reciprocal correspondence on faculty pensions and governance,correspondence_document_group,1919-01-28,1919-03-08,at least 2 specifically cited letters,correspondent,Harlan Fiske Stone,37,,,scholarly_exact_item_and_box_citations_plus_primary_collection_confirmation,confirmed_specific_documents_box_exact_folder_pending,https://researchworks.oclc.org/archivegrid/archiveComponent/298686860,"Tiede explicitly defines 'Stone Papers' as the Harlan Fiske Stone Papers, 1911-24, Rare Book and Manuscript Library, Columbia University Library, and cites Stone to Lovejoy 28 Jan 1919 plus Lovejoy to Stone 8 Mar 1919 to Box 37. ArchiveGrid independently confirms the Columbia collection, 1911-1924, 33,500 items in 67 boxes plus 2 flat boxes, and notes that Stone's later Supreme Court papers are at the Library of Congress. This disambiguates the 1919 Box 37 citations from the separate LoC Stone collection. Exact folder numbers remain unverified in the present web layer.",
archive_index/lovejoy_global_archive_component_batch100_delta.csv,100,3,20,GLA0044,US,Columbia University Rare Book and Manuscript Library,Carnegie Foundation for the Advancement of Teaching Records,,pensions and insurance correspondence,Lovejoy-Pritchett-TIAA pension and insurance correspondence,correspondence_document_group,1919-02-28,1919-11-12,at least 5 specifically cited Lovejoy-related documents,correspondent_and_committee_member,Henry S. Pritchett; Trustees of TIAA,42,1-2,,scholarly_exact_item_box_folder_citations_plus_official_repository_confirmation,confirmed_specific_documents_exact_box_folder_secondary_primary_collection_confirmed,https://library.columbia.edu/libraries/rbml/collecting/philanthropy/carnegie.html,"Tiede cites Lovejoy to Pritchett 28 Feb 1919, Pritchett to Lovejoy 5 Mar, Lovejoy to Pritchett 8 Mar, and Lovejoy to Pritchett 29 Aug to CFAT Records Box 42 Folder 1; Lovejoy to Trustees of TIAA 12 Nov 1919 to Box 42 Folder 2. Columbia's official Carnegie Collections page confirms RBML as repository for the Carnegie Foundation for the Advancement of Teaching records and links the current finding aid. The current finding-aid endpoint is access-protected in this environment, so Box 42/Folders 1-2 remain exact secondary archival citations pending primary folder inspection.",
archive_index/lovejoy_global_archive_component_batch102_delta.csv,102,2,20,GLA0045,US,George Washington University Special Collections Research Center,American Association of University Professors archives,,,"Arthur O. Lovejoy to Harry Walter Tyler, 6 June 1919",item,1919-06-06,1919-06-06,1 specifically cited letter,sender,Harry Walter Tyler,,,,scholarly_exact_item_archive_citation_plus_official_AAUP_archive_presence,confirmed_specific_document_current_collection_call_number_container_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Hans-Joerg Tiede cites Lovejoy to Tyler, 6 Jun 1919, to the AAUP Archives at GWU. This is a distinct organization-side Lovejoy-Tyler document outside the Lovejoy Papers Box83 cluster. The present citation does not supply the GWU call number, series, box or folder, and no physical manifestation relationship with the JHU Tyler material is inferred.",
archive_index/lovejoy_global_archive_component_batch102_delta.csv,102,3,20,GLA0046,US,George Washington University Special Collections Research Center,American Association of University Professors archives,,Historical Files,"Arthur O. Lovejoy to Harry Walter Tyler, 7 January 1916",item,1916-01-07,1916-01-07,1 specifically cited letter,sender,Harry Walter Tyler,,,,scholarly_exact_item_series_citation_plus_official_AAUP_archive_presence,confirmed_specific_document_series_named_current_call_number_container_pending,https://dokumen.pub/university-reform-the-founding-of-the-american-association-of-university-professors-1421418266-978-1421418261.html,"Tiede cites Lovejoy to Tyler, 7 Jan 1916, AAUP Archives (GWU), Historical Files. This predates the Box83 Tyler cluster and shows that Lovejoy-Tyler correspondence survives on the organization side as well as in Lovejoy's personal papers. Exact GWU call number, box/folder and manifestation form remain unresolved.",
archive_index/lovejoy_global_archive_component_batch105_delta.csv,105,2,20,GLA0047,US,Smithsonian Institution Archives,Science Service Records,Record Unit 7091,"Series 2 Correspondence of the Director (Edwin E. Slosson) and Senior Staff of Science Service, 1920-1929","Correspondence Li - Ly, 1927",folder,1927,1927,1 folder; Lovejoy item count not exposed,correspondent_named_in_folder,Science Service / individual correspondent not exposed,87,2,,official_finding_aid,confirmed_folder_level_name_presence,https://siarchives.si.edu/collections/siris_arc_217249,"The official SIA container list explicitly says correspondents include Arthur O. Lovejoy. Direction, item count, exact dates, and subject of Lovejoy's own correspondence are not exposed. Do not attribute adjacent folder topics or other named correspondents to Lovejoy.",
archive_index/lovejoy_global_archive_component_batch105_delta.csv,105,3,20,GLA0048,US,Smithsonian Institution Archives,Science Service Records,Record Unit 7091,"Series 2 Correspondence of the Director (Edwin E. Slosson) and Senior Staff of Science Service, 1920-1929","Correspondence Li - Ly, 1928",folder,1928,1928,1 folder; Lovejoy item count not exposed,correspondent_named_in_folder,Science Service / individual correspondent not exposed,97,1,,official_finding_aid,confirmed_folder_level_name_presence,https://siarchives.si.edu/collections/siris_arc_217249,The official SIA container list explicitly says correspondents include Arthur O. Lovejoy. Folder-level year is secure; individual document dates/directions remain pending.,
archive_index/lovejoy_global_archive_component_batch105_delta.csv,105,4,20,GLA0049,US,Smithsonian Institution Archives,Science Service Records,Record Unit 7091,"Series 2 Correspondence of the Director (Edwin E. Slosson) and Senior Staff of Science Service, 1920-1929","Correspondence Li - Ly, 1929",folder,1929,1929,1 folder; Lovejoy item count not exposed,correspondent_named_in_folder,Science Service / individual correspondent not exposed,105,1,,official_finding_aid,confirmed_folder_level_name_presence,https://siarchives.si.edu/collections/siris_arc_217249,"The folder description also notes discussion of establishing a Science Service branch in South Africa, but the finding aid does not connect that topic specifically to Lovejoy; no topical attribution is made.",
archive_index/lovejoy_global_archive_component_batch105_delta.csv,105,5,20,GLA0050,US,Smithsonian Institution Archives,Science Service Records,Record Unit 7091,"Series 5 Editorial Correspondence of the Director and Senior Staff of Science Service, 1921-1963","Correspondence Li - L, 1940",folder,1940,1940,1 folder; Lovejoy item count not exposed,correspondent_named_in_folder,Science Service / Watson Davis and senior staff; individual correspondent not exposed,219,8,,official_finding_aid,confirmed_folder_level_name_presence,https://siarchives.si.edu/collections/siris_arc_217249,"The official folder description names Archibald MacLeish, Arthur O. Lovejoy, W. J. Luyten, and Colin C. Turner and notes a description of London during the blitz. The description does not state which correspondent supplied that material, so it is not attributed to Lovejoy.",
archive_index/lovejoy_global_archive_component_batch107_delta.csv,107,2,20,GLA0051,US,Smithsonian Institution Archives,Science Service Records,Accession 90-105,Science Service biographical/informational morgue; portrait files,"Portraits, Loo-Loz-(includes F. W. Loomis; Salvador Luria; Arthur O. Lovejoy; W. C. Lowdermilk in 1960)",folder,,,1 folder; number and form of Lovejoy objects not exposed,subject_named_in_portrait_morgue_folder,Science Service,13,,,official_finding_aid,confirmed_folder_level_subject_presence,https://siarchives.si.edu/collections/siris_arc_254447,"The official SIA container list explicitly names Arthur O. Lovejoy in the Box 13 Portraits Loo-Loz folder. The collection-level description says the morgue contains photographs plus articles, press releases, clippings, papers, obituaries and related information, but the folder title is specifically Portraits. Do not infer the number, date, photographer, publication use, or exact physical form of the Lovejoy material before inspection.",
archive_index/lovejoy_global_archive_component_batch107_delta.csv,107,3,20,GLA0052,US,Smithsonian Institution National Anthropological Archives,"John Joseph Honigmann Papers, 1944-1967",NAA.1993-15,,Lovejoy -- Some Eighteenth Century Evolutionists,archival_component,,,1 named archival component; material form and extent not exposed,author_of_named_reference_work,John Joseph Honigmann / collecting context,,,ref698,official_SOVA_component,confirmed_component_title_material_form_pending,https://sova.si.edu/record/naa.1993-15/ref698,"SOVA exposes a component with the literal title 'Lovejoy -- Some Eighteenth Century Evolutionists' inside the Honigmann Papers. The collection scope includes general reference material and material on the history of anthropology, but SOVA does not expose the physical form, date, box/folder or whether the component is a printed article, notes, excerpt, photocopy, bibliography entry, or another derivative. Record only the archival title-level presence until inspected.",
archive_index/lovejoy_global_archive_component_batch110_delta.csv,110,2,20,GLA0053,US,Johns Hopkins University Special Collections,History of Ideas Club records,RG-15-120,correspondence section; exact folder hierarchy not publicly exposed,Lovejoy collected-papers publication correspondence and handwritten Lovejoy letters,collection_level_explicit_content,1923,1977,collection extent 0.57 cu ft; Lovejoy item count not exposed,creator; author_of_handwritten_letters; subject/participant_in_publication_correspondence,History of Ideas Club and unidentified correspondents,,,,official_finding_aid,confirmed_collection_level_positive_lovejoy_material,https://aspace.library.jhu.edu/repositories/3/resources/1029,"The official scope explicitly identifies a special correspondence file concerning a volume of Lovejoy's collected papers and a number of letters handwritten by Lovejoy. These are at least two documentary classes: Lovejoy-authored letters and organizational/third-party correspondence about the publication. Exact dates, direction, recipients, folders and item counts remain pending; do not collapse them into one correspondence event.",
archive_index/lovejoy_global_archive_component_batch110_delta.csv,110,3,20,GLA0054,US,Johns Hopkins University Special Collections,Daniel J. Wilson transcriptions of Arthur O. Lovejoy letters,MS-0873,,Transcriptions of Arthur O. Lovejoy letters,collection,1872,1962,Box 1; item count not exposed,author_of_transcribed_letters,original correspondents and original repositories not exposed,1,,,official_finding_aid,confirmed_derivative_transcription_collection,https://aspace.library.jhu.edu/agents/people/66,The collection abstract states that the transcriptions are mostly typewritten and some handwritten. MS-0873 is a derivative textual witness and must not be described as physical custody of the original Lovejoy letters. Crosswalk each transcription to an original repository only when source notation or independent evidence supports it.,
archive_index/lovejoy_global_archive_component_batch110_delta.csv,110,4,20,GLA0055,US,Johns Hopkins University Special Collections,Richard Macksey papers,MS-0907,Author Letters / Hopkins Festival,"Arthur O. (Oncken) Lovejoy, 1948-06-16",file,1948,1948,1 archival file; item count not exposed,named_in_exact_author_letters_file,counterpart not exposed,,,,official_authority_record_exact_archival_object,confirmed_exact_file_title_date_hierarchy_material_form_pending,https://aspace.library.jhu.edu/agents/people/66,The Lovejoy authority page exposes an exact dated file under Richard Macksey papers / Author Letters / Hopkins Festival. The direct child page was not retrievable in the current session. Do not infer sender/recipient or original-versus-copy status until the object/container is inspected.,
archive_index/lovejoy_global_archive_component_batch112_delta.csv,112,2,20,GLA0056,US,Stanford University Department of Special Collections and University Archives,"Orrin Leslie Elliott papers, 1891-1936",,Ross affair / Elliott manuscripts; exact internal hierarchy pending,"Arthur O. Lovejoy to O. L. Elliott, 15 April 1901",item_event_with_archival_citation,1901-04-15,1901-04-15,1 specifically cited letter,sender,Orrin Leslie Elliott,,,,scholarly_exact_item_citation_plus_current_union_catalog_collection_confirmation,confirmed_exact_date_sender_recipient_repository_collection_material_form_and_container_pending,https://dokumen.pub/advocacy-amp-objectivity-a-crisis-in-the-professionalization-of-american-social-science-1865-1905-9780813113098-9781412814522.html,"Modern scholarship explicitly cites 'Lovejoy ... letter to O. L. Elliott, 15 April 1901, Elliott MSS' and its manuscript bibliography identifies 'Elliott, Orrin L., MSS. Stanford University Archives.' A current WorldCat archival record independently confirms 'Orrin Leslie Elliott papers, 1891-1936' at Stanford University Department of Special Collections and University Archives (OCLC 701462342). The collection summary includes notes, source citations, reminiscences and copies of documents collected for Elliott's Stanford history, so the surviving manifestation must not yet be assumed to be Lovejoy's received original; original/copy/transcription status and box/folder remain pending.",
