year	volume_issue	role_layer	item_or_count	regional_object	address_type	evidence_status	control_note
1974	2.2	BIBLIOGRAPHIC_SURVEILLANCE	Politics and the Transcendent: Eric Voegelin's Philosophical and Theological Analysis of the Old Testament in the Context of the Ancient Near East	Ancient Near East	BIBLIOGRAPHIC_MONITORING	DIRECT_SAGE_REFERENCE_LIST	Monitoring evidence only; analytical address remains Voegelin/Old Testament and should not be recoded as an internal Near Eastern tradition without text-level control.
1974	2.3	SUBSTANTIVE_DENOMINATOR	6			DIRECT_SAGE_TOC	Skinner symposium three units plus Abbott/McWilliams exchange and Leiss article; excludes reviews/bibliography.
1974	2.4	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Excludes editor note, review and bibliography.
1975	3.1	SUBSTANTIVE_DENOMINATOR	7			DIRECT_SAGE_TOC	Includes Orwin/Pitkin exchange units; excludes reviews/correspondence/bibliography.
1975	3.2	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Excludes editorial and reviews.
1975	3.2	REVIEW_REGIONAL_HIT	Averroes on Plato's Republic	Islamic / Andalusian philosophy	RELATIONAL_REVIEW_TRANSLATION_RECEPTION	DIRECT_SAGE_REVIEW_RECORD	Averroes is visible through review of a translated/commentarial work centered on Plato; non-Western intellectual object appears in review/reception layer.
1975	3.3	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Interest symposium three units plus Springborg and Andrew; communications are separately excluded.
1975	3.4	SUBSTANTIVE_DENOMINATOR	7			DIRECT_SAGE_TOC	Strauss/Machiavelli exchange three units plus Aristotle, de Gaulle/Weber, child-status article and response; communications excluded.
1976	4.1	SUBSTANTIVE_DENOMINATOR	6			DIRECT_SAGE_TOC	Includes Avineri exchange; excludes reviews/bibliography.
1976	4.1	SUBSTANTIVE_REGIONAL_HIT	Coercive Proposals [Rawls and Gandhi]	India / Gandhi	COMPARATIVE_COCASE	DIRECT_SAGE_ARTICLE_RECORD	Gandhi is a named co-case alongside Rawls in normative analysis; article is a sequel to Rawls and Gandhi on Civil Disobedience. Do not code as an internally addressed history of Indian political thought without further textual evidence.
1976	4.2	SUBSTANTIVE_DENOMINATOR	7			DIRECT_SAGE_TOC	Includes Richter introduction and translated Montesquieu essay plus five article/exchange units; communications excluded.
1976	4.3	SUBSTANTIVE_DENOMINATOR	6			DIRECT_SAGE_TOC	Six-part Oakeshott symposium; communications excluded.
1976	4.4	SUBSTANTIVE_DENOMINATOR	6			DIRECT_SAGE_TOC	Six research articles; communications/reviews excluded.
1976	4.4	COMMUNICATION_REGIONAL_HIT	Charles E. Butterworth on Paul Sigmund's review of Ralph Lerner's Averroes on Plato's Republic	Islamic / Andalusian philosophy	REVIEW_FOLLOWUP_COMMUNICATION	DIRECT_SAGE_TOC	A non-Western intellectual object persists from review into communication/rejoinder architecture rather than entering as a new original research article.
1977	5.1	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Five research articles; communications/reviews excluded.
1977	5.2	SUBSTANTIVE_DENOMINATOR	7			DIRECT_SAGE_TOC	Arendt article, two-unit Weber exchange, Marsilius article and three-unit Nozick cluster; communication/review/bibliography excluded.
1977	5.3	SUBSTANTIVE_DENOMINATOR	6			DIRECT_SAGE_TOC	Six research/response units; reviews excluded.
1977	5.4	SUBSTANTIVE_DENOMINATOR	5			DIRECT_SAGE_TOC	Ferguson article, two-unit socialism exchange, Goodin, Kramnick; reviews/bibliography excluded.
1977	AD	PROGRAMME_REGIONAL_CONTROL	SAGE advertisement promises translations of previously untranslated European texts	Europe	PROGRAMME_CARRIER_SCOPE	DIRECT_PAGE_IMAGE	Useful negative/control clue: advertised internationalism and translation infrastructure explicitly names European texts, not global textual traditions.
1973-1977	ALL_20_ISSUES	SUBSTANTIVE_DENOMINATOR_TOTAL	122			DERIVED_FROM_DIRECT_SAGE_TOC	Year totals: 1973=27; 1974=23; 1975=24; 1976=25; 1977=23. This is an analyst-defined role-sensitive denominator, not a SAGE category or acceptance/output statistic.
1973-1977	ALL_20_ISSUES	TITLE_LEVEL_INTERNAL_NONWESTERN_RESEARCH_HIT	0	China/India/Islamic/African/Japanese internal intellectual tradition	INTERNAL_TRADITION_OBJECT	BOUNDED_TITLE_LEVEL_CENSUS	No substantive unit title in the 20-issue census explicitly makes one of these non-Western intellectual traditions itself the independent internal historical/intellectual object. This does not prove absence from article bodies, submissions, authorship, book reviews, or bibliographic monitoring.
