id,notebook_locus,relation_or_claim,witness_W,source_match_S,transmission_T,actor_delta_A,round15_verdict,next_original_image_action
005-06,005 p10 MS17,"Yarrow->Powers moon/coyote source; Brinton line",W2,S2+,T2+,A0/A1,"KEEP Yarrow-Powers as strong candidate; Brinton remains paleographic HOLD","maximum-resolution American Legends V [name] + A Further Contribution title + moon/coyote"
005-07,005 early eschatology,"Brinton as macro field map",W1-W2,S1,T1,A0,"DOWNGRADE causal weight because Marillier directly supplies documented macro problem","seek explicit Brinton title/page; otherwise keep specific-role only"
005-08,005 p62 MS125,"exact Brinton sacrifice bibliography item = Religions of Primitive Peoples 1897",W2,S1-S2,T2candidate,A0,"HOLD exact title; content fit insufficient; article/lecture mismatch matters","priority crop of words after Brinton; no candidate list visible during transcription"
005-09,005 pp79-80 MS159-161,"Grout Zulu prayer and Lovejoy transaction/substitution analysis",W3 key strings/W2-W3 connections,S3,T3,A2,"ROUND16 UPGRADE: Grout source line, 'veritable bargain', anti-deferred-payment contrast, scapegoat label and cow-carries-away-evil formula are image-secure. Clean chronology corrected; later protective-object details remain less diplomatic.","DONE for source seam and causal sequence; remaining low-level wording stays bracketed"
005-10,005 p78 MS157,"Trumbull manuscript numeral versus external p268f/p299 content loci",W3 citation/W2 syntax,S1-S2,T1-T2,A1,"ROUND16 CORRECTION: manuscript citation is only 'Trumbull, Blood-Covenant 2?'. External pp268f/299 remain separate collation targets and must not be back-written into the witness.","DONE for citation numeral; external collation remains separate"
005-11,005 pp85-86 MS173-175,"Trumbull Blood Covenant p118 and p129 anchors",W3,S3,T3,A2,"ROUND16 PROPAGATED: exact image-secure anchors now written into clean JSON: 'V. Trumbull Blood Cov't 118.' and '(quot. Trumbull p.129)'.","DONE exact anchors"
005-12,005 pp85-86,"continuous Trumbull reading pp118-129",W2-W3,S2++,T2++,A2,"KEEP strong inference bracketed by T3 anchors; the notebook reuses Trumbull's sequential facts under narrower curative/protective/transferable-efficacy jobs rather than automatic communion.","Intervening clauses remain summary-level unless independently re-read"
005-13,005 Kingsley run,"Kingsley Travels p511 -> contrast -> p525",W?,S3 if refs visible,T3 if image-secure,A2,"CONDITIONAL: retain Grade A only if page refs came from direct image audit","reconfirm exact 511 and 525 on original"
005-14,005 p103 MS193,"agriculture/domestication chronology stress test targets Jevons",W3 local operation,S0-S1,T1,A2,"KEEP local operation; Jevons direct reading HOLD","recover all authorities around diagram; test for Jevons only after blind read"
005-15,005 p117,"ranked late sacrifice synthesis: alimentary in greatest number; expiatory/propitiatory next most numerous; human sacrifice for union altogether exceptional",W3,S0,T0,A2,"ROUND16 UPGRADE + PROPAGATED: exact distributional grammar recovered from original image and written into clean JSON. One clause immediately after 'while the' remains paleographically uncertain and is excluded from exact quotation.","DONE; preserve diplomatic abbreviations and uncertain comparative clause"
005-16,005 pp16-20,"revision at moral/custom/missionary boundary",W3,S0,T0,A2,"KEEP direct material evidence; direction of deleted thought not inferred","capture deleted/replacement strings where legible"
005-17,005 pp24-27,"numbered/Roman numeral selector schemas",W3,S0,T0,A2,"KEEP direct material evidence; layout is part of the analysis because continuous ethnographic prose is converted into explicit classes and category boundaries are locally revised.","full spreads at high resolution; record insert/overwriting order only when physically demonstrable"
005-18,005 p29,"Marillier - Survivance - 12 June slip",W3,S3,T3 environment,A0/A1,"KEEP explicit source/session node; no claim it is first Marillier encounter","full slip front/back and physical attachment relation"
005-19,005 p47,"Sac. June 6 heading",W3,S3,T3 environment,A0/A1,"KEEP corrected reading; seminar-topic alignment strong","full page to identify exact sources immediately below heading"
005-20,005 p119,"selected human flesh/body parts carry specific virtue or force; some part-function associations visible; part may also represent whole body",W2-W3,S0,T0,A2,"ROUND16 CORRECTION + PROPAGATED: clean JSON now withdraws the normalized arrow set and preserves image-secure fragments plus the part-as-representative-of-whole alternative.","DONE original-image recheck; publication-side collation remains the next bridge task"
