event_date,event_year,witness_year,actor,action_or_document,location_or_locus,source_type,evidence_grade,political_or_methodological_relevance,personal_attribution_limit,source_url,cutoff_status
1895,1895,2014,Elizabeth Watt; West Oakland Settlement,Rents a cottage for the settlement that later becomes the New Century Club,West Oakland; Peralta Street area,scholarly monograph and official publisher abstract,E_context_only,Identifies a second institution that cannot be merged with the Manse Polytechnic,No primary roster links Lovejoy to this institution,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
"1894-1898, precise program dates variable",1894-1898,2014,West Oakland Settlement; neighborhood families,Operates class-bridging and racially integrated charitable work,West Oakland,scholarly monograph; official publisher abstract,E_context_only,Demonstrates that integration and social reform were available positions within the local field,Does not establish Lovejoy joined this house or endorsed its racial policies,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
"1894-1898, precise program dates variable",1894-1898,2014,Elizabeth Watt,Participates in charitable and racially integrated activity without identified commitment to labor unions or women's suffrage,Oakland,scholarly monograph,E_context_only,Counterexample prevents equating settlement participation with organized labor or universal progressive politics,Watt's positions cannot be attributed to Lovejoy,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
1890s; exact dates and Lovejoy connection unverified,1890s,2014,Oakland settlement institutions,"Combine social assistance with class discipline, domestic training, and immigrant assimilation",Oakland,scholarly urban and gender history,E_context_only,Exposes the political ambivalence of reform rather than assigning a single ideological label,Program-specific chronology and Lovejoy's own house and opinions remain unresolved,https://academic.oup.com/chicago-scholarship-online/book/17625/chapter/175275135,pre1899_context_only
1895,1895,1898,Arthur O. Lovejoy; University of California,Earns A.B. degree,"University of California, Berkeley; 1898 award notice",contemporary named institutional publication,B_contemporaneous_institutional,Closes the chronological upper bound for undergraduate settlement activity,The 1898 notice retrospectively confirms the degree but does not name the settlement,https://www.thecrimson.com/article/1898/6/17/graduate-school-fellowships-the-following-nominations/,pre1899_personal_action
1895-1896,1895-1896,1898,Arthur O. Lovejoy; Harvard Club of San Francisco,Holds a Harvard Club of San Francisco scholarship,Harvard Graduate School; San Francisco support network,contemporary named institutional publication,B_contemporaneous_institutional,Documents the institutional bridge from California to Harvard,Web transcription reads 1985-96; 1895-96 is a contextual correction requiring print-image confirmation,https://www.thecrimson.com/article/1898/6/17/graduate-school-fellowships-the-following-nominations/,pre1899_personal_action
1896-03-25,1896,1896,Swami Vivekananda; Graduate Philosophical Society,Addresses Harvard graduate philosophical society on Vedanta,Cambridge; address printed for the society,contemporary printed address,N_negative_control,Demonstrates Indian intellectual participation in the society's environment,Lovejoy's attendance and membership on this specific date are unproved,research_notes/lovejoy_as_orientalist_web_sweep_batch04_harvard_public_orientalism.md,pre1899_negative_control
1896-04-03,1896,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes to father about distinguishing historical and essential elements of religion,Private correspondence; Wilson archival citation,dated personal letter cited by scholarly biographer,C_archival_item_cited_not_examined,Person-specific evidence for religious criticism during the Harvard transition,Original or transcription and full wording have not been directly examined,research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-10-08,1896,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes dated letter later cited alongside Harvard course evidence,Cambridge; correspondence with father,dated personal letter cited by scholarly biographer,C_archival_item_cited_not_examined,Provides person-specific access to contemporary choices and course context,Exact text and document form remain uninspected,research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-10-10,1896,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes dated letter later cited alongside Harvard course evidence,Cambridge; correspondence with father,dated personal letter cited by scholarly biographer,C_archival_item_cited_not_examined,Allows verification of self-description rather than reconstruction from ambient intellectual context,Exact text and document form remain uninspected,research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-10/11,1896,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes another letter cited with the 1896-1897 course list,Cambridge; correspondence with father,approximately dated letter cited by scholarly biographer,C_archival_item_cited_not_examined,Supports verification of comparative-religion and Sanskrit training,"Exact date, wording, and surviving witness require archival inspection",research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-1897,1896-1897,1980,Arthur O. Lovejoy; Charles Carroll Everett,Studies psychology of religion and comparative religion including Asian traditions,Harvard; Everett courses; cited personal course list,personal course list and letters cited by archival biographer,C_archival_item_cited_not_examined,"Demonstrates deliberate enrollment across Christian, Vedic, Buddhist, Mazdean, and Chinese religious materials",Actual course list and classwork require independent archival inspection,research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-1897,1896-1897,1980,Arthur O. Lovejoy; Crawford Howell Toy,Studies Hebrew religion,Harvard; cited personal course list,personal course list and letters cited by archival biographer,C_archival_item_cited_not_examined,Places Hebrew religion inside Lovejoy's own comparative rather than merely departmental formation,"Exact course papers, attendance, and political interpretation remain unverified",research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-1897,1896-1897,1980,Arthur O. Lovejoy; Charles Rockwell Lanman,Studies Sanskrit and some Buddhist sacred texts,Harvard; cited personal course list,personal course list and letters cited by archival biographer,C_archival_item_cited_not_examined,Turns Sanskrit and Buddhist training into a documented personal choice,Formal Pali instruction and degree of independent language proficiency remain unproved,research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1896-1897,1896-1897,1980,Arthur O. Lovejoy; Harvard Religious Union,Joins a religiously heterogeneous student association,Harvard; Wilson's citation of Lovejoy correspondence,scholarly account drawing on cited letters,C_archival_item_cited_not_examined,Documents participation in nonsectarian or confessionally mixed religious organization,"Underlying letter, membership roster, and the organization's exact political program remain unexamined",research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
"1896-1897, second Harvard year",1896-1897,1980,Arthur O. Lovejoy; Graduate Philosophical Society,Serves as secretary of the graduate philosophical society,Harvard; society minutes and letters cited by Wilson,society minutes and private letters cited by scholarly biographer,C_archival_item_cited_not_examined,Demonstrates an organizational office rather than passive exposure to academic debate,Minutes and formal dates of office have not yet been directly inspected,research_notes/lovejoy_as_orientalist_web_sweep_batch04_harvard_public_orientalism.md,pre1899_personal_action
1897-02,1897,1980,Arthur O. Lovejoy; Graduate Philosophical Society,Leads a discussion of the problem of evil,Harvard; Wilson-cited society minutes,dated meeting action cited by scholarly biographer,C_archival_item_cited_not_examined,Places moral suffering and religious philosophy within Lovejoy's own organized activity,Speech contents and political conclusions cannot be supplied without the original minutes,research_notes/lovejoy_as_orientalist_web_sweep_batch04_harvard_public_orientalism.md,pre1899_personal_action
"1896-1898, exact occasions unverified",1896-1898,1980,Arthur O. Lovejoy; Sara Chapman Bull; Cambridge Conferences,Participates generally in Cambridge discussions whose speakers included Indian intellectuals,"Cambridge, Massachusetts",scholarly biography drawing on letters,D_scholarly_retrospective,Documents attraction to cross-religious public discussion beyond formal courses,"No named lecture attendance, personal meeting, or Indian interlocutor is established",research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1897-04-07,1897,1897,Charles Rockwell Lanman; Cambridge Conferences,Schedules or delivers a discussion of practical Buddhist teachings,Cambridge Conferences; contemporary public listing,contemporary event notice,N_negative_control,Provides a specific Buddhist public event within Lovejoy's documented broader milieu,Lovejoy's attendance is unproved and must not be inferred from general conference participation,research_notes/lovejoy_as_orientalist_web_sweep_batch04_harvard_public_orientalism.md,pre1899_negative_control
1897-04-22/24,1897,1897,Arthur O. Lovejoy; American Oriental Society,Buddhist technical-terms paper appears as item 30 and is read by title,Baltimore meeting; JAOS 18:375-390,contemporary named society proceedings,B_contemporaneous_institutional,Shows active entry into technical Orientalist publication before the article's 1898 appearance,Read by title does not establish physical attendance or personal oral delivery,https://www.jstor.org/stable/592308,pre1899_personal_action
1897-04,1897,1897,Arthur O. Lovejoy; American Oriental Society,Is elected corporate member of the American Oriental Society,Baltimore proceedings; revised 1897 membership roll,contemporary named society proceedings and roster,B_contemporaneous_institutional,Establishes formal disciplinary organization and institutional action beyond isolated authorship,"Exact election application, sponsors, dues, and personal attendance remain unidentified",https://www.jstor.org/stable/592308,pre1899_personal_action
1897-05 or revised 1897 roll,1897,1897,Arthur O. Lovejoy; American Oriental Society,Roster identifies Harvard affiliation and Oakland address,1897 American Oriental Society corporate-member list,contemporary named membership register,B_contemporaneous_institutional,"Connects California home affiliation, Harvard training, and Orientalist corporate membership",An Oakland address does not identify the settlement house or a current physical residence,https://www.jstor.org/stable/592308,pre1899_personal_action
1897,1897,1898,Arthur O. Lovejoy; Harvard University,Receives Harvard A.M. degree,Harvard; June 1898 award notice,contemporary named institutional publication,B_contemporaneous_institutional,Anchors graduate chronology and separates degree status from later noncompletion of a doctorate,"Notice does not specify dissertation, comprehensive exams, or political activities",https://www.thecrimson.com/article/1898/6/17/graduate-school-fellowships-the-following-nominations/,pre1899_personal_action
1897 autumn,1897,1980,Arthur O. Lovejoy; unnamed fellow readers,Organizes a small Isaiah reading group,Cambridge; Wilson-cited correspondence,scholarly biography drawing on personal letters,C_archival_item_cited_not_examined,Demonstrates self-directed organization of Hebrew-scriptural study alongside Buddhist research,"Membership, syllabus, and any social-justice interpretation remain unverified",research_notes/lovejoy_harvard_orientalist_training_1895_1898.md,pre1899_personal_action
1897-1898,1897-1898,1898,Arthur O. Lovejoy; Harvard University,Holds a University Scholarship,Harvard Graduate School; June 1898 award notice,contemporary named institutional publication,B_contemporaneous_institutional,Documents financial and institutional support during the Buddhist research period,Award record does not reveal application arguments or sponsor correspondence,https://www.thecrimson.com/article/1898/6/17/graduate-school-fellowships-the-following-nominations/,pre1899_personal_action
circa 1897-1898; exact inscription date unknown,1897-1898,1897-1898,Arthur O. Lovejoy,Writes a Buddhist research program that provisionally sets aside the ethical system,Notebook MS38_004_001_061_004; manuscript page 71; PDF page 20,Lovejoy's own surviving handwritten notebook; corrected transcription,A_self_primary_examined,Creates a direct counterexample to equating social activism with the chosen scope of Buddhist textual analysis,Notebook is not exactly dated; the statement delimits this research task and does not deny concern for ethics generally,archive_transcriptions/MS38_004_001_061_004_p019-036_clean.json,pre1899_personal_action
circa 1897-1898; exact inscription date unknown,1897-1898,1897-1898,Arthur O. Lovejoy; Henry Clarke Warren,Copies Warren's relation claim and inserts his own objection about the present text,Notebook MS38_004_001_061_004; manuscript page 75,Lovejoy's own surviving handwritten notebook; corrected transcription,A_self_primary_examined,Shows an individual intervention concerning inferential consistency rather than a generic disagreement over Buddhist objects,Copying and authorial objection must be distinguished; no political view follows automatically,research_notes/MS38_004_001_061_004_vs_1898_Buddhistic_Technical_Terms.md,pre1899_personal_action
circa 1897-1898; exact inscription date unknown,1897-1898,1897-1898,Arthur O. Lovejoy; Émile Senart,Rejects the inference that composite origins make dependent origination unintelligible,Notebook MS38_004_001_061_004; manuscript page 137; medium-confidence reading,Lovejoy's own surviving handwritten notebook; corrected transcription,A_self_primary_examined,Separates shared source decomposition from disputed rules for judging present philosophical coherence,Precise handwritten hinge is medium confidence and requires renewed image collation,research_notes/MS38_004_001_061_004_vs_1898_Buddhistic_Technical_Terms.md,pre1899_personal_action
circa 1897-1898; exact inscription date unknown,1897-1898,1897-1898,Arthur O. Lovejoy,Tests upadisesa through Buddhist usage and describes a moral condition,Notebook MS38_004_001_061_004; manuscript page 173,Lovejoy's own surviving handwritten notebook; corrected transcription,A_self_primary_examined,Complicates the earlier ethics bracket: moral meanings remain relevant to technical semantic judgment,A moral semantic interpretation is not evidence of a wider political platform,archive_transcriptions/MS38_004_001_061_004_p055-071_clean.json,pre1899_personal_action
1898-04-14/16,1898,1898,Arthur O. Lovejoy; American Oriental Society,Continues as corporate member in the society's Hartford-year register,1898 American Oriental Society proceedings and membership roll,contemporary named membership register,B_contemporaneous_institutional,Demonstrates disciplinary membership continuing into the publication year,No meeting attendance or second paper is established,research_notes/lovejoy_as_orientalist_web_sweep_batch69_AOS_1897_1899_institutional_biography_Deussen_1907_specialist_judgment.md,pre1899_personal_action
1898,1898,1898,Arthur O. Lovejoy,Publishes The Buddhistic technical terms upadana and upadisesa,Journal of the American Oriental Society 19:126-136,contemporary signed publication by Lovejoy,A_self_primary_examined,"Documents firsthand defense of Buddhist conceptual coherence and differentiation between origin, arrangement, and function","The article does not alone establish anti-imperial, anti-racist, or pro-labor political commitments",https://dlbs.liberal.ntu.edu.tw/FULLTEXT/JR-ENG/love.htm,pre1899_personal_action
1898,1898,1898,Arthur O. Lovejoy,Uses semantic context rather than etymology when alternative derivations remain possible,Journal of the American Oriental Society 19:134-136,contemporary signed publication by Lovejoy,A_self_primary_examined,"Demonstrates methodological calibration and distinctions among possible, relevant, and conclusive evidence",Textual caution does not by itself reveal the author's positions on social equality,https://dlbs.liberal.ntu.edu.tw/FULLTEXT/JR-ENG/love.htm,pre1899_personal_action
1898-06-17,1898,1898,Arthur O. Lovejoy; Harvard University,Receives James Walker Fellowship and permission to study abroad,Harvard Crimson graduate fellowship announcement,contemporary named institutional publication,B_contemporaneous_institutional,Shows formal administrative identification with philosophy despite comparative-religion and Buddhist work,"Application, faculty recommendations, and the intended destination remain uninspected",https://www.thecrimson.com/article/1898/6/17/graduate-school-fellowships-the-following-nominations/,pre1899_personal_action
1898-10-17,1898,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes from Paris about study plans and experience,Paris; dated family correspondence cited by Wilson,dated personal letter cited by scholarly biographer,C_archival_item_cited_not_examined,Documents firsthand transition from Harvard philosophy fellowship to comparative-religion work,"Full letter, archival witness, and exact claims require direct inspection",research_notes/lovejoy_as_orientalist_web_sweep_batch05_paris_1898_1899.md,pre1899_personal_action
1898-12-01,1898,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes a dated Paris letter later used in reconstructing comparative-religion studies,Paris; Wilson-cited personal correspondence,dated personal letter cited by scholarly biographer,C_archival_item_cited_not_examined,"Can test the precise relation among courses, library work, Buddhist study, and family obligations",Letter has not been directly inspected; no Dreyfus position can be inferred,research_notes/lovejoy_as_orientalist_web_sweep_batch05_paris_1898_1899.md,pre1899_personal_action
1898-12-05,1898,1980,Arthur O. Lovejoy; Wallace W. Lovejoy,Writes another dated Paris letter later used in reconstructing study decisions,Paris; Wilson-cited personal correspondence,dated personal letter cited by scholarly biographer,C_archival_item_cited_not_examined,Provides a second close contemporary control for actual choices rather than official fellowship labels,Letter has not been directly inspected; no political position can be invented,research_notes/lovejoy_as_orientalist_web_sweep_batch05_paris_1898_1899.md,pre1899_personal_action
1898 autumn; particular sessions unverified,1898,1980,Arthur O. Lovejoy; Maurice Vernes; Jean Réville,Attends or pursues Psalms and Fourth-Gospel historical-religion teaching,Paris; Wilson's reading of Lovejoy correspondence,scholarly biography drawing on dated private letters,C_archival_item_cited_not_examined,Shows continued historical criticism of Christian and Hebrew traditions alongside Asian research,"Exact lecture dates, enrollment documents, and note-taking require direct verification",research_notes/lovejoy_as_orientalist_web_sweep_batch05_paris_1898_1899.md,pre1899_personal_action
1898-1899; precise visits not dated,1898-1899,1980,Arthur O. Lovejoy; Sylvain Lévi,Seeks a Pali Buddhist course and visits Lévi's home to read sacred texts when the course is unavailable,Paris; Wilson's reading of Lovejoy correspondence,scholarly biography drawing on dated private letters,C_archival_item_cited_not_examined,Demonstrates initiative across institutional and disciplinary gaps,"Frequency, text titles, languages, and whether the visits began before 1899 remain unproved",research_notes/lovejoy_as_orientalist_web_sweep_batch05_paris_1898_1899.md,straddles_1898_1899_start_unverified
1898-1899 academic year,1898-1899,1898-1899,Arthur O. Lovejoy; Léon Marillier; EPHE,Is named among active participants in a comparative-religion seminar,EPHE annual report for the 1898-1899 teaching year,contemporary named institutional report,B_contemporaneous_institutional,Provides direct evidence of active comparative-religion participation under a philosophy fellowship,Academic-year listing does not establish first attendance in calendar year 1898 or involvement in the Dreyfus affair,https://www.persee.fr/doc/ephe_0000-0002_1898_num_12_8_19501,straddles_1898_1899_start_unverified
1901-04-15,1901,modern scholarly citation,Arthur O. Lovejoy; Orrin L. Elliott,Writes Elliott about the principles involved in the Ross academic-freedom controversy,Stanford University Archives; Elliott manuscripts,dated personal letter located through scholarly archival citation,C_archival_item_cited_not_examined,Direct later action tests how Lovejoy distinguished faculty freedom from Ross's racial and labor views,"Original, copy, transcription status and exact discussion of Chinese immigration remain unverified",research_notes/lovejoy_global_archive_harvest_batch112_Hamburger_Russell_Stanford_Elliott.md,post_cutoff_direct_continuity_exception
1901,1901,modern institutional history,Arthur O. Lovejoy; E. A. Ross,Resigns from Stanford after Ross is dismissed amid controversy about Chinese immigrant labor,Stanford University,official departmental institutional history,D_scholarly_retrospective,Shows that Lovejoy's direct academic-freedom action intersects with anti-Asian labor politics,Defending procedural freedom does not establish agreement or disagreement with Ross's racial ideology,https://philosophy.stanford.edu/about/history-stanfords-philosophy-department,post_cutoff_direct_continuity_exception
1900-1901,1900-1901,modern institutional history,E. A. Ross; Arthur O. Lovejoy as a separate actor,Ross advances anti-Asian race-suicide arguments in the wider controversy environment,Stanford sociology historical account,official departmental institutional history,E_context_only,Supplies an essential negative control against equating academic-freedom defense with anti-racism,Ross's words belong to Ross and cannot be attributed to Lovejoy,https://sociology.stanford.edu/about/our-history,post_cutoff_direct_continuity_exception
1896 appointment; critical publication later,1896,modern institutional history,Mary Roberts Coolidge; Stanford University,Receives a sociology appointment; later critiques anti-Chinese prejudice,Stanford sociology departmental history,official departmental institutional history,E_context_only,Demonstrates competing positions inside the same institution rather than a single Stanford racial politics,Her later book is not a documented pre-1898 source or a proven influence on Lovejoy,https://sociology.stanford.edu/about/our-history,pre1899_context_with_later_counterexample
1903,1903,1982 bibliography of contemporary primary item,Arthur O. Lovejoy; North Broadway Social Settlement,Authors or provides the annual settlement report and appears among its workers,St. Louis; Annual Report of the North Broadway Social Settlement,Lovejoy-authored contemporary publication identified by scholarly bibliography,C_archival_item_cited_not_examined,Supplies direct continuity between undergraduate settlement participation and later documented institutional labor,"Report itself has not been retrieved; exact duties, political language, and authorial wording remain unverified",https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive,post_cutoff_direct_continuity_exception
1896 onward; different city,1896,modern scholarly digital edition,North Broadway Social Settlement; Neighborhood House of Louisville,A similarly named Louisville settlement operates separately from the St. Louis institution,"Louisville, Kentucky; Jane Addams Digital Edition",scholarly digital archival edition,N_negative_control,"Prevents false transfer of staff, city, institutional history, or Jane Addams connections to Lovejoy",No evidence places Lovejoy in the Louisville institution,https://digital.janeaddams.ramapo.edu/items/show/40,pre1899_negative_control
1903 source cited in 2010 scholarship,1903,2010,Simon Schaffer; Arthur O. Lovejoy,Published bibliography cites Lovejoy's North Broadway settlement work through Wilson,History of Science 48; Lovejoy's Series references,scholarly article reference list,N_negative_control,Prevents claiming prior scholarship never connected Lovejoy and settlement activity,The article body was not fully accessed; claims about its treatment of Oakland would be unsupported,https://journals.sagepub.com/doi/10.1177/007327531004800309,post_cutoff_historiographical_control
1897-1898 notebook; 2026 search,1897-1898,2026,Arthur O. Lovejoy; project transcription corpus,"Structured notebook-004 search finds no explicit politics, race, primitive, savage, social, labor, caste, or mission matches",Four corrected JSON transcription batches comprising 71 image pages,documented corpus-level negative search,N_negative_control,Prevents attributing political vocabulary to the notebook on contextual grounds alone,"A transcription search is not a final visual inspection, and quoted vocabulary must be separated from authorial statements",archive_transcriptions/,pre1899_negative_control
