case_id	year_period	claim_level	unit_primary	unit_secondary	relation_primary	relation_secondary	actor_object	claim_or_operation	proof_burden_or_failure_mode	evidence_status	control_note
LJ005_P103_STRESS_TEST	1898-1905+	OBJECT_LEVEL	U11_ANALYTIC_CONSTRUCT	U4_PRACTICE_RITE_EVENT	R3_TEMPORAL_SEQUENCE_PRIORITY	R4_CAUSATION	Lovejoy agriculture domestication sacrifice hypothesis	branching diagram proposes developmental relation then raises vicious-circle chronological objection	plausible developmental order requires independent sequence evidence	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
SODERBLOM_REDIVISION	1901	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT	U7_INSTITUTIONAL_COLLECTIVE_ARENA	R6_FUNCTION_MECHANISM	R4_CAUSATION	Söderblom / eschatology	explicitly follows Marillier with d'autres divisions and different viewpoint and serializes selectors	shared workshop or source field does not require identical division or aggregation	DIRECT_PRIMARY_CONTROL	research_notes/MS38_004_001_061_005_Marillier_method_to_Lovejoy.md
LJ005_DATED_REUSE	1905	SOURCE_USE	U2_DOCUMENT_TEXTUAL_SEGMENT		R3_TEMPORAL_SEQUENCE_PRIORITY		Lovejoy notebook reuse	page headed Hist. Relig. Dec. 20 1905 proves reuse of notebook	date applies to entry not automatically adjacent or inserted layers	DIRECT_PAGE_IMAGE	research_notes/MS38_004_005_material_form_closure_2026-08-27.md
LOVEJOY_PRIMITIVE_ENERGETICS	1906	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT		R6_FUNCTION_MECHANISM	R7_REPRESENTATIVENESS_DISTRIBUTION	Lovejoy / primitive religion	reaggregates impersonal diffused transferable controllable efficacy as comparative causal family	type identity must be separated from chronology and population representativeness	DIRECT_PRIMARY_CONTROL	research_notes/HANDOFF_Lovejoy_JHI_global_history_2026-08-31.md
LOVEJOY_1914_TYPE_TIME	1914	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT		R1_SEMANTIC_CONCEPTUAL_IDENTITY	R3_TEMPORAL_SEQUENCE_PRIORITY	Lovejoy / dynamism	non-animistic type content strongly asserted while pre-animistic priority only probable	category or type does not establish chronological priority	DIRECT_PRIMARY_CONTROL	research_notes/HANDOFF_Lovejoy_JHI_global_history_2026-08-31.md
SPITZER_LOVEJOY	1944	METHOD_PROGRAMME	U6_TRADITION_CANON	U1_SEMANTIC_PROPOSITIONAL	R9_CONTINUITY_SURVIVAL	R4_CAUSATION	Spitzer / Lovejoy JHI exchange	debate over decomposition continuity and movement explanation with working hypotheses requiring testing	idea presence or similarity does not establish continuity or causal explanation	DIRECT_PRIMARY_CONTROL	research_notes/JHI_Spitzer_Lovejoy_Mandelbaum_empirical_hypotheses_recurrence_control_1944_1948_2026-08-31.md
MANDELBAUM	1948	METHOD_PROGRAMME	U8_TRACEABLE_NETWORK_CHAIN	U1_SEMANTIC_PROPOSITIONAL	R5_TRANSMISSION_INFLUENCE	R9_CONTINUITY_SURVIVAL	Maurice Mandelbaum / Lovejoy method	distinguishes recurrent similar ideas from continuous ideas historically transmitted	semantic recurrence requires separate proof of transmission	DIRECT_PRIMARY_CONTROL	research_notes/JHI_internal_method_lineage_Spitzer_Pearce_Mandelbaum_1944_1953_2026-08-31.md
PEARCE	1948	METHOD_PROGRAMME	U4_PRACTICE_RITE_EVENT	U1_SEMANTIC_PROPOSITIONAL	R6_FUNCTION_MECHANISM	R4_CAUSATION	Roy Harvey Pearce / JHI method	Lovejoyian decomposition treated as pioneer stage and ideas asked to function inside cultural process	analytic decomposition alone does not explain cultural operation	DIRECT_PRIMARY_CONTROL	research_notes/JHI_internal_method_lineage_Spitzer_Pearce_Mandelbaum_1944_1953_2026-08-31.md
RAJU_INDIA	1952	OBJECT_LEVEL	U6_TRADITION_CANON		R9_CONTINUITY_SURVIVAL		P T Raju / Indian thought	Indian philosophy treated as internally developing historical tradition	do not reduce regional tradition to source for Western genealogy	DIRECT_TOC_FULLTEXT_CARRIER	research_notes/JHI_execution_census_nonWestern_roles_1940_1955_seed_2026-08-31.tsv
WIENER_DIRECT	1961	METHOD_PROGRAMME	U3_AGENT_UTTERANCE		R5_TRANSMISSION_INFLUENCE		Philip P Wiener / direct influence	direct textual or personal contact treated as one possible influence route	contact is evidence opportunity not sufficient proof of doctrinal influence	SECONDARY_QUOTE_SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
WIENER_CHAIN	1961	METHOD_PROGRAMME	U8_TRACEABLE_NETWORK_CHAIN		R5_TRANSMISSION_INFLUENCE		Philip P Wiener / mediated influence	intermediaries' minds talk writings can form traceable influence chain	lack of direct contact does not preclude influence but mediation requires chain evidence	SECONDARY_QUOTE_SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
WIENER_PUPIL	1961	METHOD_PROGRAMME	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U3_AGENT_UTTERANCE	R5_TRANSMISSION_INFLUENCE		Philip P Wiener / pupil-disciple	not all pupils are disciples	teacher-pupil institutional proximity does not establish doctrinal uptake	SECONDARY_QUOTE_SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
WIENER_CLIMATE	1961	METHOD_PROGRAMME	U9_DISTRIBUTED_FIELD_LARGE_CORPUS		R4_CAUSATION	R5_TRANSMISSION_INFLUENCE	Philip P Wiener / climate of opinion	asks whether climate of opinion may count as influence	distributed causal field cannot be proven by same route as named source chain	SECONDARY_QUOTE_SKINNER_DIRECT_ACK	research_notes/Wiener_1961_p537_influence_mechanism_reconstruction_addendum_2026-08-31.md
ARDAO_POSITIVISM	1963	OBJECT_LEVEL	U6_TRADITION_CANON		R10_RECEPTION_TRANSFORMATION_REPRODUCTION		Arturo Ardao / Latin America	positivism selectively assimilated and transformed in Latin America	reception is not passive diffusion or identical reproduction	HIGH_GRADE_BIBLIOGRAPHIC	research_notes/JHI_execution_census_nonWestern_roles_1956_1975_seed_2026-08-31.tsv
HT1968_SMITH_ORIGIN_PATTERN	1968	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT	U6_TRADITION_CANON	R3_TEMPORAL_SEQUENCE_PRIORITY	R7_REPRESENTATIVENESS_DISTRIBUTION	Morton Smith / history of religions	history cannot determine the origin or nature of religion as such but can reconstruct individual histories through evidence background interpretation and reliability with pattern generalization only potentially later	particular historical evidence or repeated patterns do not by themselves establish a general origin essence or universal developmental sequence	DIRECT_OFFICIAL_ISSUE_SUMMARY	research_notes/History_and_Theory_1968_history_of_religions_method_categories_origin_object_bridge_to_Lovejoy_2026-08-31.md
HT1968_BAIRD_CATEGORY_OBJECT	1968	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT	U6_TRADITION_CANON	R2_CLASSIFICATORY_INCLUSION	R1_SEMANTIC_CONCEPTUAL_IDENTITY	Robert D. Baird / interpretative categories	named religions such as Hinduism Buddhism and Christianity can function as interpretative categories imposed before historical research and thereby precompose the object as if each possessed a stable essence	inherited category name or classificatory inclusion does not establish historically adequate unit identity or essence	DIRECT_OFFICIAL_ISSUE_SUMMARY	research_notes/History_and_Theory_1968_history_of_religions_method_categories_origin_object_bridge_to_Lovejoy_2026-08-31.md
SKINNER_INFLUENCE	1969	METHOD_PROGRAMME	U3_AGENT_UTTERANCE		R5_TRANSMISSION_INFLUENCE		Quentin Skinner / influence	three tests genuine similarity alternative-source discrimination low probability independent articulation	similarity alone cannot establish influence	DIRECT_PRIMARY_CONTROL	research_notes/Wiener_1961_Skinner_1966_1969_influence_proof_burden_precontextualist_line_2026-08-31.md
SKINNER_SPEECH_ACT	1969+	METHOD_PROGRAMME	U3_AGENT_UTTERANCE		R1_SEMANTIC_CONCEPTUAL_IDENTITY	R6_FUNCTION_MECHANISM	Quentin Skinner / political text	asks what writer was doing with utterance or text within linguistic conventions	textual proposition detached from historical use or intention is insufficient for historical meaning	DIRECT_PRIMARY_CONTROL	research_notes/JHI_Parekh_Berki_1973_Skinner_1974_1976_roundtrip_method_debate_2026-08-31.md
APSR_1971_POLPHIL_CAPACITY	1971-72	INSTITUTIONAL	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U9_DISTRIBUTED_FIELD_LARGE_CORPUS	R7_REPRESENTATIVENESS_DISTRIBUTION	R2_CLASSIFICATORY_INCLUSION	APSR / Volume 65 editorial census	editors audit 46 articles and classify only three as political philosophy while 13 meet their operational formal-theory criterion and 35 contain at least one table or figure	low article representation directly establishes venue output imbalance but not field-specific submission rates rejection rates or discriminatory editorial policy	DIRECT_FULLTEXT_PAGE_IMAGE	research_notes/APSR_1966_1973_political_theory_venue_capacity_Ranney_Polsby_present_absent_2026-08-31.md
APSR_PUB_SUBMISSION_FEEDBACK	1972	INSTITUTIONAL	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U9_DISTRIBUTED_FIELD_LARGE_CORPUS	R6_FUNCTION_MECHANISM	R4_CAUSATION	APSR editors / Present and Absent	editors hypothesize that scholars infer editorial preferences from visible published content and may withhold unlike manuscripts thereby feeding published mix back into future submission mix	contemporaneous actor mechanism hypothesis does not demonstrate causal effect size or prove that any individual author self-selected away from APSR	DIRECT_EDITORIAL_HYPOTHESIS_PAGE_IMAGE	research_notes/APSR_1966_1973_political_theory_venue_capacity_Ranney_Polsby_present_absent_2026-08-31.md
APSR_1972_METHOD_CONTROVERSY_CARRIER	1972	INSTITUTIONAL	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U2_DOCUMENT_TEXTUAL_SEGMENT	R6_FUNCTION_MECHANISM	R10_RECEPTION_TRANSFORMATION_REPRODUCTION	APSR / Miller positivism-historicism controversy	one methodology article is carried in a bounded issue sequence through three differentiated named comments and an author rejoinder	printed article-comment-rejoinder clustering proves controversy capacity but not formal standing policy who solicited each response or cause of any specific reply	DIRECT_ISSUE_ARCHITECTURE_ABSTRACT	research_notes/APSR_1971_1972_comment_rejoinder_method_controversy_carrier_Miller_historicism_2026-08-31.md
SHKLAR_POLSBY_REPLY_INVITE	1972	SOURCE_USE	U8_TRACEABLE_NETWORK_CHAIN	U2_DOCUMENT_TEXTUAL_SEGMENT	R8_SOURCE_DERIVATION_PROVENANCE	R6_FUNCTION_MECHANISM	Shklar / Polsby / APSR reply invitation	archive-citing scholarship identifies Polsby's invitation to Shklar to respond to criticism of After Utopia and Shklar's 19 Dec 1972 reply	an editorial reply opportunity does not establish a published criticism published response formal standing policy or identity of the critical item	SECONDARY_ARCHIVAL_DIRECT_EDITOR_ROLE	research_notes/Shklar_Polsby_APSR_1972_editorial_reply_invitation_theory_controversy_gate_2026-08-31.md
AVERROES_CARRIER_ROLE_MIGRATION	1972-76	INSTITUTIONAL	U6_TRADITION_CANON	U7_INSTITUTIONAL_COLLECTIVE_ARENA	R10_RECEPTION_TRANSFORMATION_REPRODUCTION	R6_FUNCTION_MECHANISM	Averroës / Butterworth / APSR -> Political Theory	Averroës appears as Butterworth's original APSR research object in 1972 then as a PT book-review object in 1975 and Butterworth re-enters through a 1976 PT communication responding to that review	changing carrier role does not prove intellectual ascent decline venue monopoly editorial policy cause or deliberate author migration	DIRECT_APSR_ABSTRACT_PT_METADATA	research_notes/Averroes_Butterworth_APSR_1972_PT_1975_1976_object_carrier_role_migration_2026-08-31.md
PAREKH_BERKI_CONTEXT	1973	METHOD_PROGRAMME	U3_AGENT_UTTERANCE	U6_TRADITION_CANON	R1_SEMANTIC_CONCEPTUAL_IDENTITY	R4_CAUSATION	Parekh and Berki / Skinner	challenge universal necessity of context and readings of definite intention for complex works	necessary contextual task must be distinguished from sufficient exhaustive interpretation	SKINNER_RESPONSE_DIRECT_PB_FULLTEXT_PENDING	research_notes/JHI_Parekh_Berki_1973_Skinner_1974_1976_roundtrip_method_debate_2026-08-31.md
SKINNER_DEMOCRACY_BOUNDARY	1973	METHOD_PROGRAMME	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U11_ANALYTIC_CONSTRUCT	R2_CLASSIFICATORY_INCLUSION	R1_SEMANTIC_CONCEPTUAL_IDENTITY	Skinner / empirical theory of democracy	places empirical democratic theory inside dispute over whether political science can be purely empirical and value-neutral when ostensibly factual inquiry carries normative implications	self-description or classification as empirical scientific inquiry does not establish normative neutrality or one stable method identity	DIRECT_FIRST_PAGE_REFERENCE_ARCHITECTURE	research_notes/Political_Theory_1973_1975_Skinner_democracy_method_venue_execution_sequence_2026-08-31.md
SKINNER_1973_DRAFT_READERS	1973	SOURCE_USE	U8_TRACEABLE_NETWORK_CHAIN	U2_DOCUMENT_TEXTUAL_SEGMENT	R8_SOURCE_DERIVATION_PROVENANCE	R5_TRANSMISSION_INFLUENCE	Skinner democracy article / Burrow Dunn Thompson	Skinner directly credits John Burrow John Dunn and John Thompson with reading and commenting on successive drafts of the 1973 democracy article	draft readership and comments prove circulation opportunity but not formal refereeing editorial control doctrinal uptake or cause of any specific revision	DIRECT_PAGE_IMAGE_AUTHOR_NOTE	research_notes/Political_Theory_1973_1975_Skinner_democracy_method_venue_execution_sequence_2026-08-31.md
PT_BIBLIOGRAPHIC_FIELDMAP	1973-79	INSTITUTIONAL	U11_ANALYTIC_CONSTRUCT	U5_SOURCE_WITNESS_INFRASTRUCTURE	R2_CLASSIFICATORY_INCLUSION	R6_FUNCTION_MECHANISM	Political Theory bibliographic apparatus / Marasco -> Nederman	standing cross-journal surveillance uses named compiler labor core monitoring reader supplements multidisciplinary source intake editorial relevance selection and reclassification to construct a visible political-theory field	bibliographic inclusion does not prove endorsement influence article publication or identity between information horizon and publication-output horizon	DIRECT_METHOD_INTRO_METADATA	research_notes/Political_Theory_1973_1979_bibliographic_field_mapping_compiler_succession_distributed_monitoring_2026-08-31.md
CHING_CONFUCIAN	1974	OBJECT_LEVEL	U6_TRADITION_CANON	U8_TRACEABLE_NETWORK_CHAIN	R5_TRANSMISSION_INFLUENCE	R9_CONTINUITY_SURVIVAL	Julia Ching / Confucian Tao-T'ung	Confucian orthodoxy and succession reconstructed as internal two-millennia transmission	internal succession has its own warrants and is not reducible to West non-West diffusion	DIRECT_TOC_ABSTRACT	research_notes/JHI_execution_census_nonWestern_roles_1956_1975_seed_2026-08-31.tsv
HADDOCK_HOMER_UNIT	1979	METHOD_PROGRAMME	U6_TRADITION_CANON	U3_AGENT_UTTERANCE	R1_SEMANTIC_CONCEPTUAL_IDENTITY	R2_CLASSIFICATORY_INCLUSION	Haddock / Vico / Homer	reconstructs early poetry as product of entire poetic nations and later particular poets as collectors rather than preserving one timeless individual Homer	more context around a named author does not preserve the same historical unit when production is reconstructed collectively and in layers	DIRECT_FULLTEXT_PAGE_IMAGE	research_notes/Haddock_1979_JHI_historical_reconstruction_unit_transformation_relation_proofburden_2026-08-31.md
HADDOCK_VICO_BLACKWELL	1979	METHOD_PROGRAMME	U8_TRACEABLE_NETWORK_CHAIN	U3_AGENT_UTTERANCE	R5_TRANSMISSION_INFLUENCE	R8_SOURCE_DERIVATION_PROVENANCE	Haddock / Vico -> Blackwell influence claim	textual parallels make influence conjecture attractive but competing documented source relations and lack of concrete historical evidence prevent genealogical closure	textual resemblance and explanatory fit do not establish transmission	DIRECT_FULLTEXT_PAGE_IMAGE	research_notes/Haddock_1979_JHI_historical_reconstruction_unit_transformation_relation_proofburden_2026-08-31.md
HADDOCK_ARTIFACT_PRODUCER	1979	METHOD_PROGRAMME	U5_SOURCE_WITNESS_INFRASTRUCTURE	U3_AGENT_UTTERANCE	R1_SEMANTIC_CONCEPTUAL_IDENTITY	R8_SOURCE_DERIVATION_PROVENANCE	Haddock / Vico historical artifact interpretation	meaning and admissible interpretation of documents artifacts and utterances depend on historically controlled propositions about producers practices and modes of thought	artifact presence or wording alone does not license historically adequate meaning across changing categories and rationalities	DIRECT_FULLTEXT_PAGE_IMAGE	research_notes/Haddock_1979_JHI_historical_reconstruction_unit_transformation_relation_proofburden_2026-08-31.md
HADDOCK_CLASSIFICATION_INTERPRETATION	1979	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT	U5_SOURCE_WITNESS_INFRASTRUCTURE	R2_CLASSIFICATORY_INCLUSION	R1_SEMANTIC_CONCEPTUAL_IDENTITY	Haddock / philosophy-philology / artifact classification	selection identification arrangement and classification of artifacts already invoke interpretive criteria and require reciprocal theoretical and philological control	description classification or antiquarian restoration is not a theory-free evidentiary operation	DIRECT_FULLTEXT_PAGE_IMAGE	research_notes/Haddock_1979_JHI_historical_reconstruction_unit_transformation_relation_proofburden_2026-08-31.md
HADDOCK_METHOD_CASE_FEEDBACK	1979	METHOD_PROGRAMME	U11_ANALYTIC_CONSTRUCT	U4_PRACTICE_RITE_EVENT	R6_FUNCTION_MECHANISM	R8_SOURCE_DERIVATION_PROVENANCE	Haddock / Vico method and reconstruction	methodological canon is illuminated by concrete case application while explicit principles are themselves distilled from attempts to reconstruct problematic historical episodes	explicit method text cannot automatically be treated as a pre-existing algorithm simply applied to passive cases	DIRECT_FULLTEXT_PAGE_IMAGE	research_notes/Haddock_1979_JHI_historical_reconstruction_unit_transformation_relation_proofburden_2026-08-31.md
RICHTER_LEXEME	1987	METHOD_PROGRAMME	U1_SEMANTIC_PROPOSITIONAL		R1_SEMANTIC_CONCEPTUAL_IDENTITY	R9_CONTINUITY_SURVIVAL	Melvin Richter / Begriffsgeschichte vs history of ideas	same word recurring across time says nothing by itself about sameness of meaning	lexical identity does not prove semantic continuity	SEARCHABLE_PRIMARY_CONTROL	research_notes/JHI_1987_Great_Chain_fifty_year_reassessment_programme_performance_Begriffsgeschichte_2026-08-31.md
RICHTER_PROGRAMME	1987	METHOD_PROGRAMME	U6_TRADITION_CANON	U7_INSTITUTIONAL_COLLECTIVE_ARENA	R9_CONTINUITY_SURVIVAL	R6_FUNCTION_MECHANISM	Melvin Richter / methods	compare founders' programmes with actual performances of founders and disciples	manifesto cannot stand in for executed historical practice	SEARCHABLE_PRIMARY_CONTROL	research_notes/JHI_1987_Great_Chain_fifty_year_reassessment_programme_performance_Begriffsgeschichte_2026-08-31.md
CANON_TULLY	1988	CANON_MEMORY	U6_TRADITION_CANON		R10_RECEPTION_TRANSFORMATION_REPRODUCTION	R7_REPRESENTATIVENESS_DISTRIBUTION	Tully / Meaning and Context	packages Skinner core essays selected critics and reply as portable controversy	anthology critic set represents debate but is not exhaustive historical argument ecology	DIRECT_CONTENTS_CONTEMP_RECEPTION	research_notes/Tully_1988_Kelley_1990_competing_method_canons_selection_architecture_2026-08-31.md
KELLEY_NEW_IH	1990	CANON_MEMORY	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U6_TRADITION_CANON	R10_RECEPTION_TRANSFORMATION_REPRODUCTION	R9_CONTINUITY_SURVIVAL	Donald R Kelley / new intellectual history	criticizes Lovejoy assumptions but calls new intellectual history extension of encyclopedic eclectic vision in Lovejovian spirit	critique of method does not prove rejection or death of field jurisdiction	SEARCHABLE_PRIMARY_CONTROL	research_notes/Kelley_1990_JHI_self_memory_critique_extension_not_rupture_context_canon_2026-08-31.md
CANON_KELLEY	1990	CANON_MEMORY	U6_TRADITION_CANON		R10_RECEPTION_TRANSFORMATION_REPRODUCTION	R7_REPRESENTATIVENESS_DISTRIBUTION	Kelley / Canon and Variations	packages JHI method history as Founders Followers Questions	selected genealogy reflects editorial problem architecture not complete field history	DIRECT_CONTENTS_LATER_RECEPTION	research_notes/Tully_1988_Kelley_1990_competing_method_canons_selection_architecture_2026-08-31.md
JENCO_HISTORICISM	2017	METHOD_PROGRAMME	U6_TRADITION_CANON	U8_TRACEABLE_NETWORK_CHAIN	R8_SOURCE_DERIVATION_PROVENANCE	R10_RECEPTION_TRANSFORMATION_REPRODUCTION	Leigh Jenco / Chinese reorganization of national heritage	strict historicism draws on Deweyan and Chinese historiographical resources	historicism should not be assigned one Western source route	DIRECT_ACCEPTED_MANUSCRIPT_PUBLISHER_METADATA	research_notes/UNIT_RELATION_matrix_object_form_workshop_redivision_Lovejoy_to_global_contextualism_1898_2026_2026-08-31.md
TAN_TRADITION	2023	METHOD_PROGRAMME	U6_TRADITION_CANON	U4_PRACTICE_RITE_EVENT	R1_SEMANTIC_CONCEPTUAL_IDENTITY	R10_RECEPTION_TRANSFORMATION_REPRODUCTION	Sor-hoon Tan / Chinese classics	Five Classics and Analects meanings co-created through production reproduction consumption and evolving practices	identifiable authorial intention may be inadequate unit for traditional text meaning	DIRECT_PUBLISHER_ABSTRACT_ARTICLE_ROUTE_CONTROL	research_notes/UNIT_RELATION_matrix_object_form_workshop_redivision_Lovejoy_to_global_contextualism_1898_2026_2026-08-31.md
CANON_BLAU	2021-26	CANON_MEMORY	U6_TRADITION_CANON	U7_INSTITUTIONAL_COLLECTIVE_ARENA	R10_RECEPTION_TRANSFORMATION_REPRODUCTION	R7_REPRESENTATIVENESS_DISTRIBUTION	British Academy conference to Blau volume	invitation theme design contributor self-selection route differentiation and revisions produce final portable method platform	absence from final book does not prove editorial exclusion and conference paper does not equal final chapter	DIRECT_PROGRAMME_ACKNOWLEDGEMENTS_OPEN_BOOK	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
IQTIDAR_INTERPRETIVE_CHAIN	2026	METHOD_PROGRAMME	U8_TRACEABLE_NETWORK_CHAIN	U7_INSTITUTIONAL_COLLECTIVE_ARENA	R9_CONTINUITY_SURVIVAL	R1_SEMANTIC_CONCEPTUAL_IDENTITY	Humeira Iqtidar / Islamic political-juridical interpretation	context and intention sensitive interpretation institutionalized from eighth century in long learned chains	Anglo-American canonical novelty does not establish historical priority of analogous interpretive practice	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
BAJPAI_DEBATE	2026	METHOD_PROGRAMME	U7_INSTITUTIONAL_COLLECTIVE_ARENA	U3_AGENT_UTTERANCE	R1_SEMANTIC_CONCEPTUAL_IDENTITY	R6_FUNCTION_MECHANISM	Rochana Bajpai / constitutional parliamentary debates	asks methods for debates as entities and sources of political thought instead of writings of individual thinkers	author-centered historicism may under-specify multi-speaker debate object	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
TOLONEN_RYAN	2026	METHOD_PROGRAMME	U9_DISTRIBUTED_FIELD_LARGE_CORPUS	U8_TRACEABLE_NETWORK_CHAIN	R7_REPRESENTATIVENESS_DISTRIBUTION	R1_SEMANTIC_CONCEPTUAL_IDENTITY	Tolonen and Ryan / computational intellectual history	computational archives and methods integrate with existing theories and sometimes require adjustment	scale expansion does not create automatic foundation and quantitative pattern still needs relation typing	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
BASU_MCQUEEN	2026	METHOD_PROGRAMME	U9_DISTRIBUTED_FIELD_LARGE_CORPUS	U3_AGENT_UTTERANCE	R1_SEMANTIC_CONCEPTUAL_IDENTITY	R4_CAUSATION	Basu and McQueen / computational Hobbes	uses computational and contextual analysis to test anti-textualist contextual principles in computer age	clear utterance content does not by itself establish historical meaning or function	DIRECT_OPEN_JSTOR	research_notes/Skinner_2021_2026_anniversary_canon_conference_route_differentiation_provincialization_2026-08-31.md
