id,date,source_type,author_or_institution,location_or_pages,claim,evidence_status,limitation,url
OW180-11,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.443,Buddhist ethics disciplines desire and its attachment to temporal objects,confirmed authorial interpretation,Interpretation must not be presented as an uncontested description of Buddhism,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-12,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.444,Platonism and Buddhism share logical essence but differ in form,confirmed authorial methodological distinction,Similarity does not establish historical borrowing,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-13,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.445,"Platonic perfectionism structures politics and education at the expense of diversity",confirmed explicit authorial political analysis,Does not establish his stance on any contemporary party or empire,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-14,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process pp.446-447,Affinity between Aristotle and Vedanta does not prove Oriental influence,confirmed rejection of unsupported transmission,Not a blanket rejection of all historical influence claims,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-15,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.454,The good lies in process and social fellowship rather than static perfection,confirmed explicit authorial value claim,Progress language can coexist with civilizational hierarchy,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-16,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.455,Valuable action should possess social and collective significance,confirmed explicit authorial social claim,Does not identify a particular reform organization,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-17,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.457,Rousseau and revolutionary political philosophy are criticized for static perfection,confirmed explicit political comparison,Not identical to the complete 1935 primitivism taxonomy,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-18,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process p.459,Modern religion includes devotion to the service of society,confirmed explicit authorial social-reform language,Does not document specific personal activism,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
OW180-19,1902,primary published book,William James,The Varieties of Religious Experience section on mysticism,Otherworldly mystics can nevertheless exhibit energy and practical action,confirmed contemporary counterexample,Shared term does not prove direction of influence,https://www.gutenberg.org/files/621/621-h/621-h.html
OW180-20,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being pp.24-25,Otherworldliness is not belief in an afterlife and concerns both reality and the good,confirmed near-verbatim conceptual continuity with 1902,Cannot back-project the definition unqualified into undocumented 1898 lecture,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-21,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being p.27,India is discussed before and after infection with the Western plague of nationalism,confirmed authorial phrasing,Western modifies the plague of nationalism and cannot be misquoted as Indian origin,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-22,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being pp.27-28,Otherworldly specialists can acquire direct or indirect political power,confirmed authorial counterexample,Not proof about a particular Indian political leader,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-23,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being p.28,Social and political effects are acknowledged but excluded from the books chosen inquiry,confirmed explicit authorial scope decision,Exclusion from this book does not imply ignorance of politics,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-24,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being pp.28-29,Metaphysical and ethical otherworldliness can occur separately or partially,confirmed conceptual counterexample,Do not treat all instances as one homogeneous civilizational type,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-25,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being p.30,Primitive Buddhism is described as pragmatic otherworldliness,confirmed authorial categorization,This is Lovejoys historically situated interpretation rather than neutral description,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-26,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being p.35,An indigenous Occidental strain is contrasted with imported Oriental varieties,confirmed civilizational framing,Does not establish that every Greek category derives from India,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-27,1936,author-signed book,Arthur O. Lovejoy,The Great Chain of Being p.97,Buddhism is represented as declining merely speculative questions,confirmed later interpretive compression,Compare against the more qualified notebook manuscript p.65,https://archive.org/details/greatchainofbein0000love_b9m4
OW180-28,1898,archival notebook transcription,Arthur O. Lovejoy,MS38_004 notebook original p.65,Buddhist refusals may concern the form of the questions,confirmed manuscript qualification,Transcription should be checked against page image,https://aspace.library.jhu.edu/repositories/3/resources/54
OW180-29,1898,archival notebook transcription,Arthur O. Lovejoy,MS38_004 notebook original p.71,The technical analysis explicitly sets the ethical system aside,confirmed manuscript scope limitation,Does not mean Lovejoy never discussed ethics in other venues,https://aspace.library.jhu.edu/repositories/3/resources/54
OW180-30,1902-07,author-signed article,Arthur O. Lovejoy,Religion and the Time-Process pp.441 and 454,The Hindu and the oriental thinker are used as generalized civilizational types,confirmed authorial generalization,Critical description must distinguish textual evidence from claims about his private intentions,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/478108
