source_file,source_batch,source_row,source_field_count,coverage_id,country,repository_or_portal,query_mode,query_terms,primary_hits,new_components_added,unresolved_leads,negative_result_scope,next_action,checked_at,source_url
archive_index/lovejoy_global_archive_repository_coverage_batch107_delta.csv,107,3,12,COV0028,US,Smithsonian Institution Archives / SOVA,official_personal_papers_and_name_search,Watson Davis Papers SIA.FA13-197; Arthur O. Lovejoy,official Watson Davis Papers 1921-1972 confirmed; no current public Lovejoy component surfaced,0,GAL0041; exact Lovejoy presence in Davis personal papers,No current public name hit is not evidence of absence in a personal collection known to contain extensive correspondence.,search/request Davis papers for Lovejoy with priority 1940 then 1927-1938; compare against RU7091,2026-08-19,https://sova.si.edu/record/sia.fa13-197/
archive_index/lovejoy_global_archive_repository_coverage_batch107_delta.csv,107,4,12,COV0029,US,University of Wyoming American Heritage Center,official_creator_fonds_and_date_container_search,Edwin E. Slosson papers 400016; correspondence 1928; Lovejoy,official Slosson collection plus Box1 Folder1 Correspondence 1928 confirmed; Lovejoy not name-indexed,0,GAL0042; whether Lovejoy appears in 1928 correspondence,The exact chronological container is positive retrieval evidence only; it is not positive Lovejoy presence.,inspect Box1 Folder1 for Arthur O. Lovejoy and compare against Science Service RU7091 B97/F1,2026-08-19,https://archiveswest.orbiscascade.org/ark:/80444/xv319540
archive_index/lovejoy_global_archive_repository_coverage_batch107_delta.csv,107,5,12,COV0030,US,Smithsonian Institution National Anthropological Archives / SOVA,official_component_title_search,John Joseph Honigmann Papers; Lovejoy; Some Eighteenth Century Evolutionists,SOVA exact component ref698 titled Lovejoy -- Some Eighteenth Century Evolutionists,1,"material form; box/folder; date; whether print, notes, photocopy, excerpt or another derivative","The title proves archival reference to a Lovejoy work in Honigmann's papers but does not establish reading, influence, annotation, or the material form of the component.",retrieve ref698/EAD hierarchy and inspect the object before classifying manifestation type,2026-08-19,https://sova.si.edu/record/naa.1993-15/ref698
archive_index/lovejoy_global_archive_repository_coverage_batch107_delta.csv,107,6,12,COV0031,US,Smithsonian Institution Archives,official_related_morgue_finding_aid_search,Science Service Accession 90-068; Lovejoy; philosophy; metaphysics; religion; psychology,official 33-cu-ft Science Service medical/psychological/sociological morgue confirmed; no Lovejoy-specific component surfaced,0,"whether Lovejoy appears under broad topical files such as B Philosophy, BD Metaphysics, BF Psychology, BL Religion","No named Lovejoy hit in an LC-classified topical morgue is not evidence of absence, because materials may be filed by subject rather than personal name.","inspect/search B Philosophy, BD Metaphysics, relevant psychology/religion folders only after establishing a topic from primary Lovejoy-Science Service correspondence; do not reverse-infer topics from the morgue",2026-08-19,https://siarchives.si.edu/collections/siris_arc_254432
archive_index/lovejoy_global_archive_repository_coverage_batch108_delta.csv,108,2,12,COV0032,US,Smithsonian Institution Archives,official_finding_aid_complete_annual_alphabetic_run_audit,Science Service RU7091; 1941-1962; annual L correspondence; missing folders,Exact post-1940 filing map: 19 surviving annual L-position candidate folders for 1942-47 and 1950-62; explicit missing ranges covering Lovejoy in 1941 and 1948; broad general-correspondence loss in 1949,0,whether Lovejoy appears in any surviving candidate folder; material form/date/direction if present; provenance of 1941/1948/1949 missing runs,"Candidate containers are not positive Lovejoy hits. Missing ranges are evidence of archival incompleteness, not evidence that Lovejoy documents once existed. Public folder-description silence is not an item-level negative result.",request surviving candidate folders in three tranches and separately trace the three preservation gaps,2026-08-19,https://siarchives.si.edu/collections/siris_arc_217249
archive_index/lovejoy_global_archive_repository_coverage_batch108_delta.csv,108,3,12,COV0033,US,Smithsonian Institution Archives,official_finding_aid_exact_name_search,Arthur O. Lovejoy; Lovejoy; RU7091,"Current public finding-aid text explicitly names Arthur O. Lovejoy in 1927 B87/F2, 1928 B97/F1, 1929 B105/F1, and 1940 B219/F8",0,whether any post-1940 Lovejoy items survive in aggregate L folders that do not list him selectively,The fact that the edited finding aid does not explicitly name Lovejoy after 1940 cannot be treated as absence; the annual folders selectively enumerate correspondents and many contain unlisted names.,use exact annual candidate-container inspection rather than further name-query inference,2026-08-19,https://siarchives.si.edu/collections/siris_arc_217249
archive_index/lovejoy_global_archive_repository_coverage_batch109_delta.csv,109,2,12,COV0034,US,Smithsonian Institution Archives RU7091,official_finding_aid_gap_context_search,Note on missing 1941 folders; He-Sg; T; Wam-War; Wa-Weav; 1719 N Street; staff memos 1941,"B230/F1 note title plus four distinct 1941 missing correspondence spans; surviving move/admin context at B5/F4-B5/F5, B229/F8, B242/F4",0,"content of B230/F1; whether file relocation, office filing, later processing, or another event explains any gaps",The public finding aid exposes the existence of the note and multiple missing spans but not the note's contents; no cause of loss is established.,"request B230/F1 first; if needed collate B5/F4, B5/F5, B229/F8 and B242/F4 for filing/move evidence",2026-08-19,https://siarchives.si.edu/collections/siris_arc_217249
archive_index/lovejoy_global_archive_repository_coverage_batch109_delta.csv,109,3,12,COV0035,US,Smithsonian Institution Archives,official_exact_name_and_media_search,Arthur O. Lovejoy; Arthur Oncken Lovejoy; Accession 90-105; Image No.,Acc90-105 Box13 Portraits Loo-Loz remains the explicit Lovejoy subject hit; no separate Lovejoy image-level catalog record surfaced in current exact-name web search,0,exact Lovejoy object count/form/local numbers in portrait folder,Failure to surface an item-level media record is bounded to the current public search/index and is not evidence that the folder lacks cataloged or uncataloged photographs.,inspect Box13 folder and search local image/tracking numbers from physical captions or verso marks,2026-08-19,https://siarchives.si.edu/collections/siris_arc_254447
archive_index/lovejoy_global_archive_repository_coverage_batch109_delta.csv,109,4,12,COV0036,US,Smithsonian Institution Archives,official_related_accession_sweep,Science Service 01-122; 01-243; 90-068; 90-105; 93-019; 97-020; 06-134; 06-135,official finding aids confirm multiple separately accessioned Science Service topical/biographical/event morgues; 06-134 explicitly preserves some 1930s Daily Mail Report issues not preserved in RU7091 Series8,0,whether any 1941/1948/1949 correspondence-gap material survives in another accession or curatorial collection,No reviewed related accession currently provides a Lovejoy-specific correspondence replacement for the RU7091 missing years; topical accessions cannot be searched as substitutes without item-derived subject evidence.,"use accession/processing provenance to trace gaps; treat 06-134 survival outside RU7091 as structural precedent, not document identity evidence",2026-08-19,https://siarchives.si.edu/collections/siris_arc_259497
archive_index/lovejoy_global_archive_repository_coverage_batch109_delta.csv,109,5,12,COV0037,US,Smithsonian Institution Archives,official_archival_history_workflow_search,Science Service parallel filing systems; editorial correspondence; biographical morgue; topical morgue,"Smithsonian archival historian states Science Service maintained parallel business/financial, editorial, biographical-morgue and topical-morgue filing systems; material for one activity could appear in any or all groups",0,cross-system counterparts of specific Lovejoy items once primary correspondence is inspected,"The statement supports search architecture and documentary multiplicity, not identity between any two Lovejoy objects.",apply object-first cross-system matching after item inspection: identity -> form -> function -> filing regime -> counterpart search,2026-08-19,https://siarchives.si.edu/blog/science-service-close
archive_index/lovejoy_global_archive_repository_coverage_batch110_delta.csv,110,2,12,COV0038,US,Johns Hopkins University Special Collections ArchivesSpace,official_person_authority_crosscollection_sweep,Lovejoy Arthur O.; authority record; Found in 14 Collections and/or Records,"Lovejoy authority page exposes 14 linked collections/records including MS-0038, MS-0873, RG-15-120 and exact Macksey file dated 1948-06-16; three previously unmapped positive Lovejoy components are separable from authority-only associations",3,ten authority-linked/contextual entries require relation-level or child-record inspection; exact Macksey container/material form remains pending,The authority page is an aggregation mechanism. Inclusion there does not by itself prove a Lovejoy-authored or Lovejoy-addressed document: the Henri Bergson 1931 file explicitly demonstrates Lovejoy can appear under Related Names: Source while Bergson is the creator.,prioritize MS-0873 Box1 inventory; RG-15-120 correspondence folders; Macksey object 247044; then search authority-only collections for exact child records before promotion,2026-08-19,https://aspace.library.jhu.edu/agents/people/66
archive_index/lovejoy_global_archive_repository_coverage_batch110_delta.csv,110,3,12,COV0039,US,Johns Hopkins University Special Collections,official_description_and_processing_layer_audit,MS-0038 processing history; Daniel J. Wilson 1974-75 index; MS-0873 transcriptions; History of Ideas Club,"MS-0038 processing note confirms 1963 Nicolson arrangement layer, 1974-75 Wilson detailed item/correspondence index, 1979 reboxing retaining order, and 1993 container list; MS-0873 separately preserves Wilson transcriptions of Lovejoy letters",0,relationship between Wilson's MS-0038 indexing project and provenance/source selection of MS-0873 transcriptions; source annotations inside MS-0873,Shared processor/editor name does not establish that MS-0873 transcriptions were made solely from MS-0038 or that every transcription has an original in the creator fonds.,inspect MS-0873 headings/source notes and Wilson index apparatus; create original-transcription crosswalk only where document identity is independently supported,2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/54
archive_index/lovejoy_global_archive_repository_coverage_batch111_delta.csv,111,2,12,COV0040,US,Johns Hopkins University Special Collections,official_processing_history_and_derivative_collection_provenance_audit,MS-0038; MS-0873; Daniel J. Wilson; 1974-1975 correspondence index; 1979 reboxing; 1993 container list; 2019 re-description; 2023 revision,MS-0038 official processing history establishes Wilson's 1974-1975 detailed collection index and complete correspondence index; MS-0873 independently confirmed as a separate Box 1 collection of mostly typewritten/some handwritten Lovejoy-letter transcriptions,0,item-level MS-0873 transcription headings; source repositories; original-letter crosswalks; whether any MS-0873 witness derives from a specific MS-0038 item,The public MS-0873 description does not expose item subdivisions or source notes. The shared Wilson name and overlapping Lovejoy-letter subject do not establish source-corpus identity.,"request/inspect MS-0873 Box1 item by item; record transcription heading, date, sender/recipient, source notation, editorial brackets and any original repository reference; crosswalk only after literal evidence",2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/54
archive_index/lovejoy_global_archive_repository_coverage_batch111_delta.csv,111,3,12,COV0041,US,historical multi-repository network named by Daniel J. Wilson (JHU Hamburger; AAUP; UC Berkeley; Harvard; Missouri; Stanford; Washington University St. Louis),published_1982_repository_list_crosschecked_against_existing_project_registry,Wilson 1982 bibliography preface; historical correspondence repositories; Batch76 current-primary re-audit,"Wilson's published method statement confirms that he used a distributed set of smaller correspondence collections in addition to the Hopkins Lovejoy manuscripts; project registry already independently verifies multiple nodes, including Harvard/GWU material and a Missouri 1939 photographic component, but the latter is not the correspondence object Wilson referenced",0,"exact current components corresponding to Wilson's Berkeley, Stanford, Washington University and Missouri correspondence leads; Ferdinand Hamburger Jr. Archives component","This row is a historical-lead provenance audit, not a fresh negative census. Failure to have a current exact component for a Wilson-listed repository does not imply that the correspondence was lost or is absent; names, series, custody, and description may have changed since 1982.","work repository by repository from Wilson's historical list, preferably through recipient/creator fonds and legacy call-number history rather than repeated generic Lovejoy surname search; prioritize Ferdinand Hamburger Jr. Archives and exact secondary citations in Wilson",2026-08-19,https://www.scribd.com/document/940006529/Arthur-O-Lovejoy-an-Annotated-Bibliography-Daniel-J-Wilson-f05ba590096c5ea6f7f8956ea9f51956-Anna-s-Archive
archive_index/lovejoy_global_archive_repository_coverage_batch112_delta.csv,112,2,12,COV0042,US,Johns Hopkins University Special Collections / historical University Archives,repository_identity_and_external_catalogue_crosswalk,Ferdinand Hamburger Jr. Archives; MS-0738; BRACERS 121121; BRACERS 121122; Bertrand Russell; Lovejoy,JHU official finding aid establishes that the University Archives was formally named the Ferdinand Hamburger Jr. Archives in 1977; BRACERS 121122 remains canonical GLA0030 and names that archives as source,0,current JHU record group/collection and box-folder for BRACERS 121121-121122; date and recipient of Lovejoy 121122,The historical source label cannot be read as MS-0738 personal-fonds custody. Current public JHU searches have not yet resolved the 1916-17 document to a modern container.,"search current JHU institutional/President/administrative records for Woods, Goodnow, Russell and 1916-1917; use BRACERS metadata if downloadable to recover date/source details",2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/730
archive_index/lovejoy_global_archive_repository_coverage_batch112_delta.csv,112,3,12,COV0043,US,Stanford University Department of Special Collections and University Archives,secondary_exact_archival_citation_plus_current_collection_catalog_resolution,Arthur O. Lovejoy; O. L. Elliott; 15 April 1901; Elliott MSS; Ross case,scholarship gives exact Lovejoy-to-Orrin-L.-Elliott letter dated 15 Apr 1901 and manuscript bibliography identifies Elliott MSS at Stanford University Archives; current union-catalog record confirms Orrin Leslie Elliott papers,1,"box/folder; physical form; whether received original, copy, or later documentary reproduction; current persistent institutional finding-aid identifier","The exact historical communication is well cited, but the public collection summary says Elliott's papers include copies of documents collected for his Stanford history; therefore material form cannot be inferred.","request/search Elliott papers for 15 Apr 1901 and Ross Affair files; capture literal form, annotations, provenance and container before upgrading manifestation status",2026-08-19,https://search.worldcat.org/title/Orrin-Leslie-Elliott-papers-1891-1936/oclc/701462342
archive_index/lovejoy_global_archive_repository_coverage_batch112_delta.csv,112,4,12,COV0044,US,Stanford University Department of Special Collections and University Archives / OAC,official_finding_aid_filing_history_and_name_search,David Starr Jordan papers SC0058; Lovejoy; Elliott; Ross; 1900-1901,official OAC collection and highly relevant intermingled Jordan-Elliott filing/custodial history confirmed; no exact public Lovejoy component isolated in this pass,0,GAL0043; whether GLA0056 has a parallel/copy manifestation in Jordan/President's Office/letterbook files,No exact indexed Lovejoy hit in SC0058 is not evidence of absence because the finding aid describes large intermixed institutional correspondence series and complex historical segregation/rehousing.,"inspect date-bounded 1900-1901 institutional files and letterbooks; compare any Lovejoy object to GLA0056 by date, text and physical form",2026-08-19,https://oac.cdlib.org/findaid/ark:/13030/tf3f59n6bn
archive_index/lovejoy_global_archive_repository_coverage_batch112_delta.csv,112,5,12,COV0045,US,Johns Hopkins University Special Collections,official_creator_fonds_search_plus_external_record_crosswalk,Frank Johnson Goodnow papers MS-0003; Woods; Bertrand Russell; 1916; 1917; BRACERS 121121,"official JHU finding aid confirms MS-0003 as a roughly 12,000-item collection dominated by Goodnow correspondence; BRACERS independently identifies Woods-to-Goodnow invitation-planning document 121121 from the historical Ferdinand Hamburger Jr. Archives",0,GAL0044; modern container for BRACERS 121121; whether any Lovejoy/Russell planning counterpart appears in MS-0003,No public Lovejoy or Russell component was isolated in the current MS-0003 description; this is not absence because the collection contains extensive correspondence not exhaustively name-indexed.,search MS-0003 1916-1917 correspondence for Woods/Russell and recover 121121; compare its date/routing to GLA0030 without assuming Lovejoy wrote Goodnow,2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/11
archive_index/lovejoy_global_archive_repository_coverage_batch113_delta.csv,113,2,12,COV0046,US,Johns Hopkins University Special Collections / Frank Johnson Goodnow papers MS-0003,official_finding_aid_arrangement_and_digitized_surface_audit,MS-0003; Woods; Bertrand Russell; Arthur O. Lovejoy; writer filing; Goodnow replies,"Official finding aid states correspondence is filed alphabetically by writer with copies of Goodnow replies attached; collection has about 12,000 items, 1880-1940. Public digitized surface exposes four records, none Woods/Russell/Lovejoy.",0,GAL0044; exact current container for BRACERS 121121 and any attached Goodnow reply; whether 121122 belongs in this personal fonds,"Selected correspondent-name and digitized-item silence cannot support absence from the 12,000-item collection. Writer-based filing predicts where to look only after sender/recipient are independently known.",search/request Woods correspondence in the bounded 1916-1917 period; use any recovered literal date and attached-reply evidence to target related records; do not assign 121122 to Goodnow without recipient proof,2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/11
archive_index/lovejoy_global_archive_repository_coverage_batch113_delta.csv,113,3,12,COV0047,US,Stanford University Department of Special Collections and University Archives / David Starr Jordan papers SC0058,official_finding_aid_filing_copying_and_custodial_history_audit,Orrin Leslie Elliott; President's Office; General Letters; University Letters; letterpress books; 59 volumes; Ross; Lovejoy,"Official OAC finding aid states early Jordan/Elliott correspondence files were intermixed, all incoming letters and loose carbons/drafts of outgoing letters were copied into letterpress books, and 59 chronological letter-book volumes later entered Stanford Archives; later Elliott-related segregation and recovery are also documented.",0,"whether canonical GLA0056 (Lovejoy→Elliott, 15 Apr 1901) has a loose institutional counterpart or letterpress copy; exact volume/page/container","The institutional copying practice creates a manifestation opportunity, not proof that this specific Lovejoy letter was copied or survives in SC0058. No exact Lovejoy child surfaced in the public guide.",identify the chronological letter book covering 15 Apr 1901 and inspect date-bounded loose correspondence/Ross material; collate text and physical form before creating any additional manifestation record,2026-08-19,https://oac.cdlib.org/findaid/ark:/13030/tf3f59n6bn
archive_index/lovejoy_global_archive_repository_coverage_batch113_delta.csv,113,4,12,COV0048,US,Johns Hopkins University Special Collections / Office of the President records RG-02-001,official_record_group_and_authority_relation_search,RG-02-001; Frank Goodnow; Woods; Russell; Lovejoy; 1916-1917,"Official record group spans 1878-1997, is arranged into 19 series, was principally transferred by the Office of the President, and Goodnow's authority record links him to the collection. No public Russell/Lovejoy child was isolated in this pass.",0,"GAL0045; modern institutional home, if any, of BRACERS 121121/121122; exact 1916-1917 series/container",Goodnow's role as president and authority linkage do not establish that the BRACERS objects survive in RG-02-001; absence of a public child is not absence from the large institutional record group.,"search 1916-1917 presidential correspondence and administrative files for Woods/Russell/Lovejoy/Philosophy Department; compare any object against MS-0003 and BRACERS by literal date, text and material form",2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/834
archive_index/lovejoy_global_archive_repository_coverage_batch114_delta.csv,114,2,12,COV0049,US,Johns Hopkins University Special Collections MS-0003,official_collection_arrangement_and_public_name_child_audit,Frank Johnson Goodnow papers; Woods; Lovejoy; Russell; correspondence arrangement,"official MS-0003 scope confirms about 12,000 items, majority correspondence, filed alphabetically by writer with Goodnow reply copies attached; current public named-correspondent surface does not isolate Woods or Lovejoy",0,BRACERS 121121 Woods->Goodnow physical locator; whether an attached Goodnow reply survives; any independently established Goodnow-directed Lovejoy item,"Public correspondent-list and child-search silence is bounded to current indexing and is not evidence of absence from 12,000-item collection.",request/search Woods writer file first; do not search Lovejoy file for 121122 unless recipient is independently shown to be Goodnow,2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/11
archive_index/lovejoy_global_archive_repository_coverage_batch114_delta.csv,114,3,12,COV0050,US,Johns Hopkins University Special Collections RG-10-001,official_record_group_temporal_functional_scope,Office of the Secretary records; P. Stewart Macaulay; 1916; correspondence; memoranda; Russell; Lovejoy,official collection list confirms RG-10-001 dates 1916-1993; Subgroup 1 P. Stewart Macaulay 1916-1957; Series 1 1916-1954 primarily correspondence and memoranda,0,GAL0046; 1916-17 Russell invitation/appointment records and possible counterparts of BRACERS 121121/121122,No Lovejoy or Russell component is exposed by the current public result; temporal/functional match is a retrieval basis only.,"inspect 1916-17 Macaulay correspondence/memoranda under Woods, Goodnow, Russell, Lovejoy, Philosophy, lecture, appointment",2026-08-19,https://aspace.library.jhu.edu/repositories/resources?field%5B%5D=title&from_year%5B%5D=&limit=resource%2C+American%2C+interpretation%2C+etc.&op%5B%5D=&page=47&q%5B%5D=%2A&sort=title_sort+asc&to_year%5B%5D=
archive_index/lovejoy_global_archive_repository_coverage_batch114_delta.csv,114,4,12,COV0051,US,Johns Hopkins University Special Collections RG-04-120,official_temporal_scope_exclusion_test,Philosophy Department records; 1916 Russell invitation; Lovejoy; 1922-1993; Administrative Records 1942-1989,official finding aid says record group begins 1922 and Administrative Records begin 1942; it also confirms later Lovejoy Fellowship correspondence,0,whether later copies or retrospective material reference the 1916 Russell episode,Current RG-04-120 temporal coverage does not support treating it as a continuous original departmental filing route for a 1916 transaction; this does not prove the department historically created or kept no 1916 records.,deprioritize RG-04-120 for original 1916 packet; use only for later-copy/retrospective searches after stronger current custody domains,2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/863
archive_index/lovejoy_global_archive_repository_coverage_batch114_delta.csv,114,5,12,COV0052,US,Stanford University Department of Special Collections and University Archives SC0058,official_custodial_history_plus_exact_secondary_series_citations,David Starr Jordan papers; SC0058; incoming letters; letterpress books; Series I-A; Series I-AA; Private Letterbook; 1901-04-15 Lovejoy Elliott,"official OAC confirms intermixed Jordan/Elliott early correspondence and systematic copying of incoming letters plus outgoing carbons/drafts into letterpress books; exact scholarly citations show received Series I-A and outgoing Series I-AA in 1906, plus a Private Letterbook and Stanford Business Correspondence in 1901",0,exact incoming-letterpress series/volume covering 15 Apr 1901; whether GLA0056 has a second manifestation; physical form of Elliott-MSS witness,The existence of several series/form labels and a copying system does not establish that GLA0056 survives in SC0058 or that Series I-AA is the correct incoming-copy location.,ask Stanford for the chronological incoming-letterpress system covering 15 Apr 1901 and inspect Elliott/early intermixed correspondence; collate only after literal match,2026-08-19,https://oac.cdlib.org/findaid/ark:/13030/tf3f59n6bn
archive_index/lovejoy_global_archive_repository_coverage_batch115_delta.csv,115,2,12,COV0053,US,Johns Hopkins University Special Collections RG-02-001,secondary_exact_legacy_locator_to_current_recordgroup_control,Ferdinand Hamburger Jr Archives; Record Group 02.001; Office of the President; Series 1; File 115; Department of Psychology 1913-1919; Goodnow; Watson,published archival research cites multiple 1918-1919 Watson/Goodnow letters under the historical Ferdinand Hamburger Jr Archives label while giving the precise record path RG 02.001 / Office of the President / Series 1 / File 115 Department of Psychology; current JHU confirms RG-02-001 Office of the President records,0,modern child/container equivalence of old File 115; whether BRACERS 121121/121122 map to an analogous 1916 departmental/subject file,"This mapping precedent does not prove that the Russell packet belongs to RG-02-001, and File 115 must not be projected from Psychology to Philosophy.",use the control to prioritize a bounded RG-02-001 search for 1916-17 Department of Philosophy/Russell/Lovejoy/Woods material while preserving MS-0003 and RG-10-001 as distinct domains,2026-08-19,https://aspace.library.jhu.edu/repositories/3/resources/834
