source_file,source_batch,source_row,source_field_count,delta_action,lead_id,country,repository,collection_title,collection_id,lead_basis,person_or_network_pivot,expected_material,primary_presence_status,component_locator_status,source_url,next_query,notes
archive_index/lovejoy_global_archive_leads_batch96_delta.csv,96,3,14,add,GAL0033,US,Wisconsin Historical Society,Richard T. Ely Papers,,Tiede exact item/reel citation plus NHPRC official microfilm confirmation,Richard T. Ely / Committee of Fifteen / 1915 Declaration,Lovejoy letter and committee-document context,secondary_exact_reel_item_primary_microfilm_edition_confirmed,reel52_exact_original_box_folder_pending,https://www.archives.gov/nhprc/projects/catalog/richard-ely,obtain the 78-page microfilm guide and map Reel 52 to original series/box/folder; retrieve Lovejoy to Ely 29 Jun 1915 and inspect adjacent Committee of Fifteen material,"Promoted to GLA0038. Reel 52 also contains Seligman/Ford committee material cited by Tiede, making this a likely document-family node rather than an isolated letter."
archive_index/lovejoy_global_archive_leads_batch96_delta.csv,96,4,14,update_existing,GAL0019,US,Harvard Law School Library Historical & Special Collections,Roscoe Pound papers,LAW.MMC.084,Tiede exact Reel-9 citations plus Harvard current finding aid,Roscoe Pound / AAUP organization and Nearing investigation,Lovejoy letters,secondary_exact_reel_items_primary_collection_confirmed,reel9_exact_current_box_folder_crosswalk_pending,https://hollisarchives.lib.harvard.edu/catalog/law00087,crosswalk 1986 microfilm Reel 9 to current Series I box/folder; isolate Lovejoy to Pound 21 Oct 1913 and 14 Mar 1915; separately test the Hopkins Call lead rather than merging it,Existing Pound lead is upgraded from one unresolved Hopkins-Call copy to a demonstrable Lovejoy correspondence locus on Reel 9. Harvard explicitly warns that the microfilm arrangement and current Series I arrangement differ.
archive_index/lovejoy_global_archive_leads_batch96_delta.csv,96,5,14,add,GAL0034,US,Southern Illinois University Center for Dewey Studies,The Correspondence of John Dewey,Comprehensive Edition,Tiede exact editorial IDs plus SIU official editorial history,John Dewey / AAUP organization / distributed correspondence,photocopies/transcriptions/digital editorial records involving Lovejoy,official_editorial_corpus_plus_secondary_exact_item_ids,derivative_ids_exact_original_repository_crosswalk_pending,https://deweycenter.siu.edu/center-information/letters/finding-new-correspondence.php,"use Correspondence item IDs 05403, 02649, 06424 and 03202 to recover editorial source notes/original custody; generate reciprocal-fonds queries from each named recipient",Promoted to GLA0040 as a derivative archive/editorial witness. SIU explicitly says the Center gathered photocopies from dispersed original repositories and that the Center is not itself the archive of originals.
archive_index/lovejoy_global_archive_leads_batch100_delta.csv,100,2,14,add,GAL0035,US,Columbia University Rare Book and Manuscript Library,"Harlan Fiske Stone Papers, 1911-1924",,Tiede exact reciprocal item/box citations plus ArchiveGrid/Columbia collection confirmation,Harlan Fiske Stone / faculty pensions / university governance,reciprocal Lovejoy-Stone correspondence,secondary_exact_documents_primary_collection_confirmed,box37_exact_folder_pending,https://researchworks.oclc.org/archivegrid/archiveComponent/298686860,inspect/request Box 37; recover Stone to Lovejoy 28 Jan 1919 and Lovejoy to Stone 8 Mar 1919; collate with CFAT Box42/F1 and JHU Box83 traffic,"Promoted to GLA0043. Repository disambiguation is important: Tiede's abbreviation identifies the 1911-24 Columbia Stone Papers, while ArchiveGrid states Stone's later Supreme Court papers are at LoC."
archive_index/lovejoy_global_archive_leads_batch100_delta.csv,100,3,14,add,GAL0036,US,Columbia University Rare Book and Manuscript Library,Carnegie Foundation for the Advancement of Teaching Records,,Tiede exact Box42/F1-F2 citations plus Columbia official Carnegie Collections confirmation,Henry S. Pritchett / Committee P / TIAA,pension and insurance correspondence,secondary_exact_documents_primary_collection_confirmed,box42_folders1_2_exact_secondary_primary_folder_page_access_blocked,https://library.columbia.edu/libraries/rbml/collecting/philanthropy/carnegie.html,inspect Box42 Folder1 full 1919 correspondence run and Folder2 TIAA material; capture all Lovejoy/Stone/Pritchett/Tyler documents rather than sampled citations,"Promoted to GLA0044. Current Columbia page confirms repository and links the finding aid, but Anubis access protection prevents direct component verification in the present environment."
archive_index/lovejoy_global_archive_leads_batch100_delta.csv,100,4,14,update_existing,GAL_CATTELL_BOX27,US,Library of Congress Manuscript Division,James McKeen Cattell Papers,MSS15412,Tiede adds three further exact Box27 Lovejoy dates,James McKeen Cattell / Carnegie pensions / pre-AAUP network,Lovejoy correspondence,secondary_exact_documents_primary_collection_confirmed,box27_at_least_seven_1910_1913_dates_description_conflict_open,https://findingaids.loc.gov/repositories/19/resources/4205,enumerate Box27 Lovejoy items physically or via microfilm and resolve legacy 1904-1909 label,Do not interpret seven cited dates as full extent; they are a lower bound from Tiede's sampled notes.
archive_index/lovejoy_global_archive_leads_batch100_delta.csv,100,5,14,add,GAL0037,US,Library of Congress Manuscript Division,James McKeen Cattell Papers,MSS15412,Tiede exact 22 Jan 1919 Box131 citation with explicit misdating note,James McKeen Cattell / pensions and insurance,Lovejoy letter,secondary_exact_document_primary_collection_confirmed,box131_exact_document_date_conflict_open,https://findingaids.loc.gov/repositories/19/resources/4205,inspect 22 Jan item in Box131 and record literal date versus contextual date,Promoted as an upgrade to GLA0027 rather than new global component; GAC0004 preserves the date conflict.
archive_index/lovejoy_global_archive_leads_batch102_delta.csv,102,2,14,update_existing,GAL0016,US,George Washington University Special Collections Research Center,American Association of University Professors archives,,Tiede exact item citation adds Lovejoy to Tyler 6 Jun 1919 outside the previously mapped Montana File cluster,Harry Walter Tyler / AAUP secretary / Committee A administration,Lovejoy correspondence and organizational file copies,official_archive_presence_plus_secondary_exact_item,multiple_specific_document_clusters_current_call_number_and_containers_pending,https://www.aaup.org/about/history/aaup-archives,resolve current GWU collection identifier; locate the 6 Jun 1919 Lovejoy-to-Tyler item as well as Montana File and Historical Files; map whether they sit in separate series,"Batch95 had already upgraded GAL0016 through the Montana File. Batch102 adds a specifically dated 1919 Lovejoy-to-Tyler item cited simply to AAUP Archives (GWU), showing that the retrieval target extends beyond the Montana investigation file."
archive_index/lovejoy_global_archive_leads_batch102_delta.csv,102,3,14,add,GAL0038,US,Massachusetts Institute of Technology Institute Archives and Special Collections,Harry Walter Tyler Papers,MC 91,published archival citation explicitly identifies Harry Walter Tyler Papers MC 91 at MIT Institute Archives and Special Collections,Harry Walter Tyler / AAUP secretary 1916-1930 / Lovejoy correspondence network,personal and professional correspondence; possible AAUP administrative material,secondary_archival_citation_confirms_collection_current_online_finding_aid_not_recovered,Lovejoy_presence_unverified,https://www.readkong.com/page/bocher-osgood-and-the-ascendance-of-american-mathematics-7643693,"search/request MC 91 for Arthur O. Lovejoy, Harlan Fiske Stone, Henry S. Pritchett, Committee P, AAUP, TIAA, 1917-1920; prioritize 18/25 Feb and 6 Jun 1919 date windows","A published Notices of the AMS article cites the Harry Walter Tyler Papers as MC 91, Institute Archives and Special Collections, MIT Libraries, including a microfilm reel. The current MIT ArchivesSpace endpoint is not accessible in this environment and no Lovejoy-specific Tyler-fonds hit has been verified. Treat as reciprocal-fonds seed only."
archive_index/lovejoy_global_archive_leads_batch103_delta.csv,103,2,14,add,GAL0039,US,Harvard University Archives,"Papers of Allyn Abbott Young, 1898-1928",HUG 1891.xx,JHU Box24 exact Young/Lovejoy and Young/Tyler document citations plus official Harvard chronological correspondence container,Allyn Abbott Young / Committee A / wartime academic freedom,reciprocal correspondence and retained committee traffic,official_collection_and_exact_chronological_correspondence_box_confirmed,Lovejoy_presence_unverified_Box_HUG1891.5_Box2_covers_1913_1921,https://hollisarchives.lib.harvard.edu/,"inspect HUG 1891.5 Box 2 for Arthur O. Lovejoy and H. W. Tyler, especially Jun-Jul and Oct-Nov 1917; compare Young-to-Lovejoy 27 Oct and 5 Nov, Lovejoy-to-Young 9 Oct, and the 14 Jun/Jul Young-to-Tyler conflict","Harvard's official finding aid confirms Papers of Allyn Abbott Young HUG 1891.xx and places Correspondence 1913-1921 in HUG 1891.5 Box2. No Lovejoy name-index hit has been recovered, so this is a date-bounded reciprocal-fonds target, not a confirmed Lovejoy component."
archive_index/lovejoy_global_archive_leads_batch103_delta.csv,103,3,14,add,GAL0040,US,University of Kansas Kenneth Spencer Research Library,Personal papers of Frank Hodder,PP 71,JHU Box24 exact 29 Jan 1918 Hodder citation with recipient conflict plus official KU Hodder collection,Frank H. Hodder / Committee A / wartime academic freedom,reciprocal correspondence and committee material,official_collection_confirmed,Lovejoy_presence_unverified_exact_1918_container_pending,https://archives.lib.ku.edu/repositories/3/resources/5507,"search/inspect PP71 for Arthur O. Lovejoy, Allyn A. Young, AAUP and Committee A in 1917-1920; prioritize 29 Jan 1918 and 25 Feb 1920",KU's official finding aid confirms PP71 and a multi-box papers collection. Current public name searches do not expose Lovejoy. The 29 Jan 1918 JHU citation disagreement makes Hodder's own papers especially useful for testing whether Hodder wrote both Young and Lovejoy on the same day.
archive_index/lovejoy_global_archive_leads_batch107_delta.csv,107,2,14,add,GAL0041,US,Smithsonian Institution Archives,"Watson Davis Papers, 1921-1972",SIA.FA13-197,B105 primary Lovejoy correspondence folders in Science Service RU7091 plus official SOVA Watson Davis personal-papers finding aid,Watson Davis / Science Service / public dissemination of science,personal and professional correspondence; possible recipient-side Lovejoy documents,official_collection_confirmed,Lovejoy_presence_unverified_current_public_search_no_named_component,https://sova.si.edu/record/sia.fa13-197/,search within SIA.FA13-197 for Arthur O. Lovejoy; prioritize 1940 and then 1927-1938; compare any hits against RU7091 B87/F2 B97/F1 B105/F1 and B219/F8,"The official SOVA finding aid confirms Watson Davis Papers 1921-1972. Smithsonian's collections-care account describes the papers as containing extensive correspondence with friends and colleagues, but no Lovejoy-specific component surfaced in the current public search. Treat as reciprocal-fonds seed only; do not assign Watson Davis as the counterpart of RU7091 Lovejoy letters until an item is inspected."
archive_index/lovejoy_global_archive_leads_batch107_delta.csv,107,3,14,add,GAL0042,US,University of Wyoming American Heritage Center,"Edwin E. Slosson papers, 1896-1937",400016,B105 primary Lovejoy presence in Science Service 1927-1929 plus official AHC Slosson papers with a surviving 1928 correspondence folder,Edwin E. Slosson / Science Service director / 1928 Lovejoy folder presence,correspondence and personal/professional papers,official_collection_and_exact_1928_correspondence_container_confirmed,Lovejoy_presence_unverified_Box1_Folder1_correspondence_1928,https://archiveswest.orbiscascade.org/ark:/80444/xv319540,inspect Collection 400016 Box1 Folder1 Correspondence 1928 for Arthur O. Lovejoy; compare any item against RU7091 Box97 Folder1; then check notebooks/articles only if correspondence yields a contextual link,"The AHC finding aid confirms 3 boxes and an exact Box1 Folder1 Correspondence 1928 container. It does not name Lovejoy. This is a narrow reciprocal retrieval test for the year in which RU7091 explicitly names Lovejoy. A separate small Slosson collection PP92 survives at the University of Kansas but its public description is not correspondence-centered, so it is not promoted here as a second Lovejoy lead."
archive_index/lovejoy_global_archive_leads_batch112_delta.csv,112,2,14,add,GAL0043,US,Stanford University Department of Special Collections and University Archives,"David Starr Jordan papers, 1861-1981",SC0058,"Official OAC custodial history shows early President's Office, General Letters and University Letters were intermixed with Orrin L. Elliott's correspondence; later additional Jordan/Elliott material was segregated and transferred through Stanford archival custody. Independent scholarship places Lovejoy's 1901 Ross-case intervention in Elliott MSS.",David Starr Jordan / Orrin Leslie Elliott / Edward A. Ross / Stanford academic freedom 1900-1901,"institutional correspondence, President's Office files, letterbooks, drafts/carbons and Ross-case administrative material that may cross-reference or parallel Lovejoy's 15 Apr 1901 Elliott letter",official_collection_and_relevant_intermixed_filing_history_confirmed,Lovejoy_presence_unverified_in_public_Jordan_finding_aid,https://oac.cdlib.org/findaid/ark:/13030/tf3f59n6bn,"search/inspect 1900-1901 President's Office, General Letters, University Letters, letterbooks and Ross/academic-freedom subject files for Lovejoy; compare with GLA0056 only after literal document identity/form is established",The OAC finding aid explains that Jordan and Elliott used adjacent offices and a common secretary and that their correspondence files were intermixed; it also documents later archival segregation/transfers. This makes SC0058 a high-value reciprocal/institutional search target but does not prove a second Lovejoy manifestation.
archive_index/lovejoy_global_archive_leads_batch112_delta.csv,112,3,14,add,GAL0044,US,Johns Hopkins University Special Collections,Frank Johnson Goodnow papers,MS-0003,"BRACERS 121121 is explicitly Woods to Goodnow about whether Bertrand Russell should lecture at Johns Hopkins and names the historical Ferdinand Hamburger Jr. Archives as source; JHU now confirms a 12,000-item Goodnow papers collection dominated by correspondence.",Frank J. Goodnow / Woods / Bertrand Russell / Johns Hopkins lecture planning 1916-1917,Woods-Goodnow planning correspondence and possible institutional counterparts to the BRACERS Russell-invitation cluster,official_creator_fonds_and_large_correspondence_corpus_confirmed,BRACERS_121121_current_container_and_any_relation_to_121122_unverified,https://aspace.library.jhu.edu/repositories/3/resources/11,"search MS-0003 for Woods and Russell in the 1916-1917 period; recover BRACERS 121121 first, then compare dates/routing with canonical GLA0030 (121122); also check Office of the President RG-02-001 if MS-0003 is negative","Because BRACERS identifies 121121 as addressed to Goodnow, MS-0003 is a tightly controlled reciprocal-fonds target. This does not license inference that Lovejoy's 121122 letter was also addressed to Goodnow or filed in MS-0003."
archive_index/lovejoy_global_archive_leads_batch113_delta.csv,113,2,14,add,GAL0045,US,Johns Hopkins University Special Collections,Office of the President records,RG-02-001,"Batch112 resolved 'Ferdinand Hamburger Jr. Archives' as historical JHU University Archives rather than Hamburger personal papers. Official current RG-02-001 is a large institutional presidential record group, 1878-1997, and Goodnow's authority record links him to it. BRACERS 121121 is Woods→Goodnow and 121122 is a separate Lovejoy/Philosophy Department document in the historical University Archives.","Frank J. Goodnow / Woods / Bertrand Russell / Arthur O. Lovejoy / Johns Hopkins lecture invitation, 1916-1917","presidential correspondence, administrative memoranda, lecture/appointment planning, retained drafts/carbons or routing copies that may correspond to BRACERS 121121/121122/3597",official_record_group_and_goodnow_authority_link_confirmed,Lovejoy_Russell_specific_component_unverified,https://aspace.library.jhu.edu/repositories/3/resources/834,"search 1916-1917 series/containers for Woods, Russell, Lovejoy, Philosophy Department, lecture invitation; compare literal dates and forms with BRACERS; keep RG-02-001 distinct from MS-0003","This is a provenance-domain lead, not a positive Lovejoy component. RG-02-001 and Goodnow MS-0003 can preserve parallel manifestations, but institutional custody and personal-paper custody must not be collapsed."
archive_index/lovejoy_global_archive_leads_batch114_delta.csv,114,2,14,add,GAL0046,US,Johns Hopkins University Special Collections,Office of the Secretary records,RG-10-001,"Official JHU description begins the record group in 1916. Subgroup 1 is P. Stewart Macaulay, 1916-1957; subgroup 1 series 1 covers 1916-1954 and consists primarily of correspondence and memoranda. This is an unusually exact temporal and functional match for the 1916-17 Hopkins-Bertrand Russell invitation administration reconstructed from BRACERS 121121/121122/3597.",P. Stewart Macaulay / Frank J. Goodnow / Woods / Arthur O. Lovejoy / Bertrand Russell / Johns Hopkins lecture and appointment planning,"1916-17 correspondence, memoranda, routing copies, lecture invitation and appointment-planning records; possible office copies or administrative counterparts to BRACERS records",official_record_group_and_temporal_functional_scope_confirmed; no_Lovejoy_or_Russell_component_yet,public_component_locator_unresolved,https://aspace.library.jhu.edu/repositories/resources?field%5B%5D=title&from_year%5B%5D=&limit=resource%2C+American%2C+interpretation%2C+etc.&op%5B%5D=&page=47&q%5B%5D=%2A&sort=title_sort+asc&to_year%5B%5D=,"inspect Subgroup 1 / P. Stewart Macaulay correspondence and memoranda for 1916-17 under Woods, Goodnow, Russell, Lovejoy, Philosophy, lecture, appointment; compare any hit literally with BRACERS 121121/121122 before assigning component identity","This lead is stronger than a generic university-records search because date coverage starts exactly in 1916, but provenance fit is still only a retrieval hypothesis. Do not infer that the Secretary created or retained the BRACERS objects."
archive_index/lovejoy_global_archive_leads_batch120_delta.csv,120,2,14,add,GAL0047,US,Harvard University Archives,"Records of the President of Harvard University, Abbott Lawrence Lowell, 1909-1933",UAI 5.160.x,"Batch119 established that British officials intended the no-passport decision to be communicated to the President of Harvard and that Harvard had already publicly institutionalized Bertrand Russell's 1916-17 teaching plan. Harvard's official HOLLIS finding aid identifies UAI 5.160.x as the President's Office records of Abbott Lawrence Lowell, 1909-1933, documenting almost every aspect of his administration; General Correspondence has a separate index, and the physical folder-list inventory contains a 1914-1917 series.","Abbott Lawrence Lowell / James Haughton Woods / Bertrand Russell / Cecil Spring Rice / British Embassy / Harvard philosophy appointment and passport notification, 1916","President's incoming/outgoing correspondence, appointment and curricular administration, British Embassy or Foreign Office communications, copies/routing records concerning Russell's Harvard engagement and inability to travel",official_collection_series_and_1914_1917_retrieval_domain_confirmed; Russell_specific_child_not_exposed_in_public_search,public_exact_component_unresolved,https://hollisarchives.lib.harvard.edu/catalog/hua03003,"use the General Correspondence index first, then the 1914-1917 physical folder list; search Russell, Bertrand, Woods, James Haughton, Spring Rice, British Embassy, passport, philosophy, appointment, lectures, and Harvard President; capture any cross-reference before requesting physical folder","This is a strong provenance-shaped reciprocal lead, not proof that any specific Russell/Spring Rice document survives in UAI 5.160.x. HOLLIS states that the folder lists are secondary to the index and that the 1914-1917 physical series is not alphabetically arranged, so absence of a literal Russell folder title would not be an absence result."
archive_index/lovejoy_global_archive_leads_batch120_delta.csv,120,3,14,add,GAL0050,US,Harvard University Archives,"Harvard University Corporation records: minutes, 1643-1989",UAI 5.30,"Batch119 upgraded Russell's Harvard role from private offer to publicly institutionalized teaching plan but left the formal appointment instrument unresolved. Harvard's official HOLLIS finding aid states that Corporation minutes document governance decisions; the 1827-1989 formal-minute series has a separate index for 1914-1919, exactly spanning the Russell appointment episode. During concurrent work GAL0048 was assigned in Batch121 to Foakes-Jackson and GAL0049 in Batch122 to Arthur C. McGiffert Sr.; the Harvard governance lead is therefore reconciled to GAL0050.","Harvard Corporation / Abbott Lawrence Lowell / James Haughton Woods / Bertrand Russell / philosophy appointment and course authorization, 1916","formal Corporation votes/minutes, appointment approvals, salary or visiting-instructor authorization, references to Russell's 1916-17 teaching, and possible cancellation/replacement action after non-arrival",official_minutes_collection_and_separate_1914_1919_index_confirmed; Russell_specific_entry_unverified,exact_meeting_date_and_minute_locator_unresolved,https://hollisarchives.lib.harvard.edu/catalog/hua51010,"inspect the separate 1914-1919 Corporation-minutes index for Russell, Woods, Philosophy, appointments, instructors, visiting lecturers; then inspect only the indexed meeting dates and distinguish formal vote from President/Faculty administrative correspondence",Governance plausibility is not proof that the Corporation formally voted on Russell. Promotion requires an indexed or literal minute entry; the public curriculum alone does not establish the legal/governance form of the appointment. Earlier Batch120 commit temporarily used GAL0049 before concurrent Batch122 appeared; current canonical allocation is GAL0050.
archive_index/lovejoy_global_archive_leads_batch121_delta.csv,121,2,14,add,GAL0048,US,"The Burke Library at Union Theological Seminary, Columbia University","Frederick John Foakes-Jackson Papers, 1916-1941",UTS1,"Batch119/BRACERS 122550 identifies F. J. Foakes-Jackson as a New York-based advocate intervening over Bertrand Russell's blocked Harvard appointment. Columbia's official Union Theological Seminary Archives page confirms a dedicated Foakes-Jackson collection. The legacy 2015 finding aid, preserved in web transcription, describes correspondence beginning in April 1916 and a separate 1916 Union Theological Seminary appointment file, creating an unusually exact temporal overlap with the Russell-Harvard passport controversy.","Frederick John Foakes-Jackson / Bertrand Russell / Harvard / Herbert Samuel / Cecil network / British passport controversy, 1916","April-December 1916 correspondence and academic papers; possible retained original/copy or contextual counterpart to the intervention represented by BRACERS 122550, correspondence with Union Theological Seminary presidents or British intermediaries, and records generated during Foakes-Jackson's 1916 move into the New York academic network",official_creator_fonds_confirmed_and_1916_correspondence_scope_reported,Russell_Harvard_or_BRACERS_122550_component_unverified,https://library.columbia.edu/libraries/burke/special-collections/archives/uts.html,"inspect earliest 1916 correspondence and the 1916 appointment file for Russell, Harvard, Woods, Cecil, Samuel, Grey, passport, America/United States, intolerance, propaganda; compare any candidate document literally with BRACERS 122550 before assigning manifestation identity",Reciprocal/network lead only: no Lovejoy component and no Russell item in UTS1 has yet been verified. Columbia's official UTS archive list establishes the collection; detailed box/folder scope is taken from a preserved transcription of Columbia's 2015 legacy finding aid because the current legacy finding-aid endpoint ldpd_4492460 does not reliably render in the browser.
