candidate_id,repository,collection_title,series_path,box,folder,folder_title,date_start,date_end,candidate_basis,lovejoy_name_index_status,verification_status,source_url,notes
IACF0011,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,8,"American Committee for Cultural Freedom- Correspondence",1954,1954,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0012,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,76,9,"American Committee for Cultural Freedom- Correspondence",1955,1955,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0013,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,77,1,"American Committee for Cultural Freedom- Correspondence",1955,1955,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0014,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,77,2,"American Committee for Cultural Freedom- Correspondence",1956,1956,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0015,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,77,3,"American Committee for Cultural Freedom- Correspondence",1956,1957,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact folder."
IACF0016,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series II Correspondence and Subject Files,77,4,"American Committee for Cultural Freedom- General Correspondence",1954,1964,ACCF institutional-network pivot,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Broad general folder; inspect after dated ACCF correspondence."
IACF0017,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,1,4,"K-L",1953,1953,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Lovejoy would alphabetically fall here if represented in this 1953 chronological correspondence series; this is a retrieval hypothesis only."
IACF0018,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,2,7,"L",1954,1954,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0019,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,5,1,"L, January-July",1955,1955,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Only the explicitly exposed January-July L folder is logged; no second-half L folder is invented from pattern."
IACF0020,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,7,6,"L, January-July",1956,1956,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0021,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,7,7,"L, August-December",1956,1956,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0022,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,11,3,"L, January-June",1957,1957,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0023,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,11,4,"L, July-December",1957,1957,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0024,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,15,4,"L, January-April",1958,1958,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0025,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,15,5,"L, May-December",1958,1958,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0026,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,19,7,"L, January-June",1959,1959,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0027,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,20,1,"L, July-December",1959,1959,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0028,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,24,4,"L, January-June",1960,1960,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0029,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,24,5,"L, July-December",1960,1960,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0030,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,28,7,"L, January-June",1961,1961,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0031,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,28,8,"L, July-December",1961,1961,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0032,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,33,3,"L, January-June",1962,1962,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
IACF0033,University of Chicago Hanna Holborn Gray Special Collections Research Center,International Association for Cultural Freedom Records,Series I Correspondence Chronological File,33,4,"L, July-December",1962,1962,alphabetical L retrieval,no_name_match_in_finding_aid,exact_folder_candidate,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.IACF,"Exact alphabetical candidate."
